NAME,DETAILS,TAXONOMY,LATITUDE_MEAN,LONGITUDE_MEAN,LATITUDE,LONGITUDE,PROVINCE,COUNTRY,COLLECTION,Genus,Rank,Infraspecific,Species,Taxon
CN 36553,'CM50',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36554,'CM51',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36555,'CM53',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36556,'CM55',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36558,'CM57',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36559,'Cm58',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36560,'CM59',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36561,'CM60',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36562,'CM63',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36564,'CM65',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36565,'CM66',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36567,'CM69',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36568,'CM70',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36569,'CM71',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36570,'CM72',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36571,'CM73',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36572,'CM77',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36573,'CM78',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36574,'CM79',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36575,'CM80',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36576,'CM81',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36577,'CM82',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36578,'CM83',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36579,'CM84',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36581,'CM86',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31766,PGR 3053,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31107,'Tambovskij Skorospelyi',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31109,'Avangard',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31145,'Tambovskij Skorospelyj',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31146,'Cakinskij 321',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36582,'CM88',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36584,'CM90RR',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36585,'CM91',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36586,'CM93',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36587,'CM94',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36588,'CM95RR',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36589,'CM99',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36590,'CM100',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36591,'CM101',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36592,'CM102',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36593,'CM103',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36594,'CM104',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36595,'CM105',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36596,'CM106',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36597,'CM108',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36598,'CM110',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36599,'Cm112',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 37366,'Ranespely',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 37367,'Yubilejny 60',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 37369,CM526,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 37370,CM587,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31834,PGR 3139,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31851,PGR 3162,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36601,'CM119',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36602,'CM120',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36603,'CM122',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36604,'CM123',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36606,'CM127',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36607,'CM130',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36608,'CM133',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36609,'CM134',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36610,'CM135',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36611,'CM136',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36612,'CM137',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36613,'CM140',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36615,'CM147',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36616,'CM149',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36618,'Cm156',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36619,'CM158',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36620,'CM160',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36621,'CM165',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36622,'CM172',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36623,'CM177',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36624,'CM180',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36625,'CM181',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36626,'CM182',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36627,'CM183',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36629,'CM195',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36630,'CM196',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36631,'CM197',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36632,'CM199',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36633,'CM200',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36635,'Cm214',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36636,'CM216',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36638,'Cm219',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36639,'CM220',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36641,'Cm225',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36643,'CM230',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36644,'CM236',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36646,'CM241',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36647,'CM248',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36649,'CM254',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36650,'CM255',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36652,'CM257',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36653,'CM258',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36655,'CM260',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36656,'CM262',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36657,'CM263',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36658,'CM264',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36659,'CM267',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36660,'CM269',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36661,'CM270',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36662,'CM271',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36663,'CM273',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36664,'CM274',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36666,'CM276',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36667,'CM279',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31597,PGR 2844,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31634,PGR 2892,Helianthus tuberosus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus tuberosus,Helianthus tuberosus  
CN 32625,'Donskoj 47',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 32626,P-9,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 32627,'Podarok',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 32628,'Start',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 32635,No. 327,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 31885,PGR 3214,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36668,'CM281',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36669,'CM283',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36671,'CM291',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36672,'CM299',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36674,'CM302',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36675,'CM303',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36677,'CM308',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36678,'CM311',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36679,'CM316',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36680,'CM320',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36681,'CM348',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36682,'CM351',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36683,'CM352',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36685,'CM374',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36686,'CM382',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36687,'CM414',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36688,'CM464',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36690,'CM503',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36691,'CM533',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36692,'CM552',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36693,'CM554',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36694,'CM559',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36695,'CM560',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36696,'CM561',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36697,'CM562',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36698,'CM563',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36699,'CM565',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36701,'CM567',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36702,'CM568',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36703,'CM569',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36704,'CM570',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36705,'CM571',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36707,'CM573',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36708,'CM574',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36710,'CM578',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36711,'CM580',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36712,'CM581',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36713,'CM582',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36714,'CM585',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36715,'HA290',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36716,'HA301',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36717,'HA302',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36718,'S-37-388',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36719,'54-3',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36720,'Sunrise',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36721,CMS CM338,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36722,CM338,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36724,CM361,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36725,CMS CM379,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36727,CM392,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36728,CMS CM400,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36730,CMS HA300,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36731,HA300,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36732,CM447Rf,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36733,CM469Rf,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36734,CM533Rf,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 36735,CM543Rf,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 46761,'CM594',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 46762,'CM597',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 46763,'CM596',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 44542,'CM595',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 44543,'Cms CM 597',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45039,'CM596',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45040,'CM601',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45041,'CM602',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45042,'CM603',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45043,'CM604',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45044,'CM605',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45046,'CM607',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45047,'CM608',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45049,'CM610',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 45050,'CM611',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51813,'CM457',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51814,'CM480',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51815,'HA232',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51816,'HA821',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51817,'S37-388',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51710,'CM 622',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51711,'CM 623',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51712,'CM 621',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51713,'CM 619',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51714,'CM 620',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51715,'CM 618',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51716,'CM 617',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51718,'CM 615',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51719,'CM 615 (Cms)',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51721,'CM 614 (Cms)',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51722,'CM 613',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51723,'CM 612',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52558,'77AB',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52559,'CM624',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52560,'CM625',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52562,'CM627',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52563,'CM628',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52565,'CM630',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52566,'CM631',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 52567,'CM632',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 51270,'CM 361',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 110817,CN 110817,Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
CN 19152,'AC Sunset',Helianthus annuus L.,,,,,NA,NA,PGRC,Helianthus,,,Helianthus annuus,Helianthus annuus  
