Abies balsamea,balsam fir,7832260,Petawawa Research Forest,S,ON,CAN,45.96667,-77.4,160,10.79,58.5,2018
Abies balsamea,balsam fir,7832280,Petawawa Research Forest,S,ON,CAN,45.96667,-77.4,160,9.23,81.5,2008
Abies balsamea,balsam fir,7832290,Petawawa Research Forest,S,ON,CAN,45.96667,-77.4,160,10.67,30.5,2011
Abies balsamea,balsam fir,7931200,Petawawa Research Forest,S,ON,CAN,45.98333,-77.46667,180,9.95,71.5,2018
Abies balsamea,balsam fir,8205950,Noel Paul Brook,B,NL,CAN,48.53333,-56.61666,330,8.01,38,2018
Abies balsamea,balsam fir,8210044,Deersdale,B,NB,CAN,46.5,-67.05,242,8.04,44,2018
Abies balsamea,balsam fir,8310012,North Grant,B,NS,CAN,45.63334,-62.06667,125,11.24,50,2018
Abies balsamea,balsam fir,8310050,Woodfield,B,NS,CAN,45.51667,-62.38334,215,10.03,36,2018
Abies balsamea,balsam fir,8411449,North Range,B,NS,CAN,44.5,-65.83334,46,10.98,29,2008
Abies balsamea,balsam fir,8411451,Loud Lake,B,NS,CAN,44.5,-65.66666,152,10.76,66,2018
Abies balsamea,balsam fir,8411456,Woodfield,B,NS,CAN,45.53333,-62.41667,200,10.34,78.5,2018
Abies balsamea,balsam fir,8510024,Pleasant Valley,B,NS,CAN,45.68333,-62.06667,150,9.99,57,2018
Abies balsamea,balsam fir,8710012,Spar Lake,B,NS,CAN,45.08333,-62.38334,61,9.53,63.5,2017
Abies balsamea,balsam fir,8710013,Granville Ferry,B,NS,CAN,44.75,-65.46667,40,11.37,83,2018
Abies balsamea,balsam fir,8710027,Sheephouse Brook,B,NB,CAN,47.08333,-65.98333,450,11.44,75.5,2018
Abies balsamea,balsam fir,8800429,Bay d'Espoir,B,NL,CAN,47.66667,-55.51667,200,9.14,81,2018
Abies balsamea,balsam fir,8800430,Roddickton,B,NL,CAN,50.98333,-56.23333,100,8.32,40.5,2011
Abies balsamea,balsam fir,8800431,Port Saunders,B,NL,CAN,50.41667,-57.25,110,7.31,20.5,2018
Abies balsamea,balsam fir,8810043,McKenzie Road,B,NS,CAN,46.36666,-60.8,426,10.1,59,2017
Abies balsamea,balsam fir,8810044,Lower North Grant,B,NS,CAN,45.68333,-62,152,11.13,64.5,2017
Abies balsamea,balsam fir,8810049,Hot Spot Road,B,NS,CAN,46.41667,-60.76667,396,11.41,75.5,2017
Abies balsamea,balsam fir,8810050,West River Station,B,NS,CAN,45.45,-62.88334,170,10.99,66,2017
Abies balsamea,balsam fir,8810051,French River,B,NS,CAN,45.56667,-62.43333,105,11.15,52,2017
