NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION
CN 38748,189,Elymus repens (L.) Gould subsp. repens,"Trabzon, Turkey",PGRC
CN 31284,Dore 00162,Elymus wiegandii Fernald,"Québec, Canada",PGRC
CN 32724,PGR 4278,Elymus caninus (L.) L.,,PGRC
CN 32972,'Revenue',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,PGRC
CN 31730,PGR 3011,Elymus virginicus L.,,PGRC
CN 32775,PGR 4339,Elymus villosus Muhl. ex Willd.,,PGRC
CN 32776,PGR 4340,Elymus virginicus L.,,PGRC
CN 32368,PGR 3835,Elymus canadensis L.,,PGRC
CN 32840,PGR 4409,Hordelymus europaeus (L.) Harz,,PGRC
CN 31614,PGR 2864,Elymus sibiricus L.,,PGRC
CN 31615,PGR 2865,Elymus virginicus L.,,PGRC
CN 31616,PGR 2866,Elymus dahuricus Turcz. ex Griseb.,,PGRC
CN 31644,PGR 2907,Elymus glaucus Buckley,,PGRC
CN 32644,PGR 4189,Elymus sibiricus L.,,PGRC
CN 32663,PGR 4208,Elymus canadensis L.,,PGRC
CN 32464,PGR 3946,Elymus sibiricus L.,,PGRC
CN 18939,'AEC Mountaineer',Elymus trachycaulus (Link) Gould ex Shinners subsp. violaceus (Hornem.) Á. Löve & D. Löve,,PGRC
CN 45952,IB 0717,Elymus tsukushiensis Honda,,PGRC
CN 45955,PGR 19959,Elymus sibiricus L.,,PGRC
CN 45956,IB 0272,Elymus nutans Griseb.,,PGRC
CN 45957,IB 0249,Elymus dahuricus Turcz. ex Griseb. subsp. excelsus (Turcz. ex Griseb.) Tzvelev,,PGRC
CN 45636,'Duo Ye Lao Mang Mai',Elymus sibiricus L.,,PGRC
CN 52657,'AEC Highlander',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,PGRC
CN 52658,'AEC Hillcrest',Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,,PGRC
CN 51223,C7118,Elymus canadensis L.,"Ontario, Canada",PGRC
CN 105172,,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,"British Columbia, Canada",PGRC
CN 108589,'Sprig',Elymus trachycaulus (Link) Gould ex Shinners,,PGRC
CN 108590,'Polar',Elymus lanceolatus (Scribn. & J. G. Sm.) Gould,,PGRC
CN 108688,00-2332,Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,,PGRC
CN 108687,'AC Saltlander',Elymus hoffmannii K. B. Jensen & K. H. Asay,,PGRC
CN 108901,,Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,"Alberta, Canada",PGRC
CN 108694,Sask Selection 13-6,Elymus trachycaulus (Link) Gould ex Shinners,,PGRC
CN 108695,Manitoba Selction 9-4,Elymus trachycaulus (Link) Gould ex Shinners,,PGRC
CN 108696,Alberta 13-6,Elymus trachycaulus (Link) Gould ex Shinners,,PGRC
CN 108666,'James',Elymus dahuricus Turcz. ex Griseb.,,PGRC
CN 108661,'Adanac',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,PGRC
CN 99593,Native 'BC Collection: Site 123',Fragaria virginiana Mill.,"Ontario, Canada",CCG
CN 99593,Native 'BC Collection: Site 123',Fragaria virginiana Mill.,"Ontario, Canada",CCG
CN 102234,Native 'BC Collection: Site 164',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 102240,92-24-96,Fragaria ×vescana Rud. Bauer & A. Bauer,Unknown,CCG
CN 102246,92-55-8,Fragaria ×ananassa Duchesne ex Rozier,Unknown,CCG
CN 100209,Native 'BC Collection: Site 6',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 103891,Native 'BC Collection: Site 6',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99372,Native 'BC Collection: Site 6',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99667,Native 'BC Collection: Site 13',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99699,Native 'BC Collection: Site 13',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99732,Native 'BC Collection: Site 13',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99567,Native 'BC Collection: Site 15',Fragaria vesca L.,"British Columbia, Canada",CCG
CN 99571,Native 'BC Collection: Site 15',Fragaria vesca L.,"British Columbia, Canada",CCG
CN 99574,Native 'BC Collection: Site 15',Fragaria vesca L.,"British Columbia, Canada",CCG
CN 99580,Native 'BC Collection: Site 15',Fragaria vesca L.,"British Columbia, Canada",CCG
CN 99754,Native 'BC Collection: Site 16',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99788,Native 'BC Collection: Site 16',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99821,Native 'BC Collection: Site 16',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99854,Native 'BC Collection: Site 18',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99888,Native 'BC Collection: Site 18',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99921,Native 'BC Collection: Site 18',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99976,Native 'BC Collection: Site 19',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100010,Native 'BC Collection: Site 19',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100043,Native 'BC Collection: Site 19',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100076,Native 'BC Collection: Site 20',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100110,Native 'BC Collection: Site 20',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100176,Native 'BC Collection: Site 20',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100198,Native 'BC Collection: Site 21',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100232,Native 'BC Collection: Site 21',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100298,Native 'BC Collection: Site 25',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100332,Native 'BC Collection: Site 25',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100420,Native 'BC Collection: Site 25',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100432,Native 'BC Collection: Site 25',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100453,Native 'BC Collection: Site 25',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100486,Native 'BC Collection: Site 26',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100519,Native 'BC Collection: Site 26',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
