NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION
CN 27115,CHC 918,Hordeum bulbosum L.,Iran,PGRC
CN 27131,CHC 941,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 27136,CHC 950,Hordeum bulbosum L.,Iran,PGRC
CN 27137,CHC 951,Hordeum bulbosum L.,Iran,PGRC
CN 27138,CHC 957,Hordeum bulbosum L.,Iran,PGRC
CN 27139,CHC 958,Hordeum bulbosum L.,Iran,PGRC
CN 27149,CHC 971,Hordeum brevisubulatum (Trin.) Link subsp. violaceum (Boiss. & Hohen.) Tzvelev,Iran,PGRC
CN 27304,CHC 1208,Hordeum bulbosum L.,Greece,PGRC
CN 27305,CHC 1209,Hordeum bulbosum L.,Greece,PGRC
CN 27306,CHC-1210,Hordeum bulbosum L.,,PGRC
CN 27307,CHC 1211,Hordeum bulbosum L.,Greece,PGRC
CN 27308,CHC 1212,Hordeum bulbosum L.,Greece,PGRC
CN 27309,CHC 1213,Hordeum bulbosum L.,Greece,PGRC
CN 27310,CHC 1214,Hordeum bulbosum L.,Greece,PGRC
CN 27311,CHC 1215,Hordeum bulbosum L.,Greece,PGRC
CN 27312,CHC 1216,Hordeum bulbosum L.,Greece,PGRC
CN 27313,CHC 1217,Hordeum bulbosum L.,Greece,PGRC
CN 27314,CHC 1218,Hordeum bulbosum L.,Greece,PGRC
CN 27315,CHC 1220,Hordeum bulbosum L.,Greece,PGRC
CN 27316,CHC 1221,Hordeum bulbosum L.,Greece,PGRC
CN 27319,CHC 1226,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 27320,CHC 1227,Hordeum bulbosum L.,"Antalya, Turkey",PGRC
CN 27322,CHC 1230,Hordeum bulbosum L.,Turkey,PGRC
CN 27325,CHC 1236,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 27326,CHC 1238,Hordeum bulbosum L.,Iran,PGRC
CN 27327,CHC 1239,Hordeum bulbosum L.,Iran,PGRC
CN 27332,CHC 1245,Hordeum bulbosum L.,"Icel, Turkey",PGRC
CN 27334,CHC 1247,Hordeum bulbosum L.,Iran,PGRC
CN 27335,CHC 1248,Hordeum bulbosum L.,Iran,PGRC
CN 27336,CHC 1251,Hordeum bulbosum L.,Greece,PGRC
CN 26497,CHC 1,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26500,CHC 7,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26501,CHC 8,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26502,CHC 9,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26503,CHC 10,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26504,CHC 11,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26505,CHC 12,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26506,CHC 13,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26507,CHC 14,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26508,CHC 15,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26513,CHC 20,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26514,CHC 21,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26515,CHC 22,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26516,CHC 23,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26517,CHC 24,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26518,CHC 25,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26519,CHC 26,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26521,CHC 28,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26522,CHC 29,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26528,CHC 38,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26708,CHC 351,Hordeum bulbosum L.,"Hatay, Turkey",PGRC
CN 26709,CHC 352,Hordeum bulbosum L.,"Hatay, Turkey",PGRC
CN 26711,CHC 354,Hordeum bulbosum L.,"Hatay, Turkey",PGRC
CN 26713,CHC 356,Hordeum bulbosum L.,"Hatay, Turkey",PGRC
CN 26714,CHC 357,Hordeum bulbosum L.,"Hatay, Turkey",PGRC
CN 26716,CHC 359,Hordeum bulbosum L.,"Hatay, Turkey",PGRC
CN 26719,CHC 363,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26721,CHC 368,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26726,CHC 380,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26728,CHC 383,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26731,CHC 389,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26732,CHC 390,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26734,CHC 394,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26735,CHC 395,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26740,CHC 400,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26743,CHC 403,Hordeum bulbosum L.,"Maras, Turkey",PGRC
CN 26746,CHC 409,Hordeum bulbosum L.,"Ad?yaman, Turkey",PGRC
CN 26747,CHC 410,Hordeum bulbosum L.,"Maras, Turkey",PGRC
CN 26752,CHC 418,Hordeum bulbosum L.,"Maras, Turkey",PGRC
CN 26754,CHC 421,Hordeum bulbosum L.,"Maras, Turkey",PGRC
CN 26755,CHC 422,Hordeum bulbosum L.,"Maras, Turkey",PGRC
CN 26759,CHC 426,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26760,CHC 429,Hordeum bulbosum L.,"Gaziantep, Turkey",PGRC
CN 26763,CHC 436,Hordeum bulbosum L.,"Ad?yaman, Turkey",PGRC
CN 26764,CHC 438,Hordeum bulbosum L.,"Ad?yaman, Turkey",PGRC
CN 26766,CHC 440,Hordeum bulbosum L.,"Ad?yaman, Turkey",PGRC
CN 26767,CHC 441,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26768,CHC 442,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 27338,CHC 1289,Hordeum bulbosum L.,Argentina,PGRC
CN 27345,CHC 1296,Hordeum bulbosum L.,Argentina,PGRC
CN 27347,CHC 1298,Hordeum bulbosum L.,Argentina,PGRC
CN 28488,CHC 2665,Hordeum bulbosum L.,"Tokat, Turkey",PGRC
CN 26771,CHC 445,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26772,CHC 447,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26777,CHC 458,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26778,CHC 459,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 27897,CHC 1952,Hordeum brachyantherum Nevski,"Utah, United States",PGRC
CN 27898,CHC 1953,Hordeum brachyantherum Nevski,"Utah, United States",PGRC
CN 27902,CHC 1958,Hordeum brachyantherum Nevski,"Utah, United States",PGRC
CN 27903,CHC 1959,Hordeum brachyantherum Nevski,"Utah, United States",PGRC
CN 27904,CHC 1960,Hordeum brachyantherum Nevski,"Utah, United States",PGRC
CN 27905,CHC 1961,Hordeum brachyantherum Nevski,"Utah, United States",PGRC
CN 27908,CHC 1965,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27909,CHC 1966,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27910,CHC 1970,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27911,CHC 1971,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27914,CHC 1974,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27916,CHC 1977,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27917,CHC 1978,Hordeum brachyantherum Nevski,"Nevada, United States",PGRC
CN 27918,CHC 1979,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27919,CHC 1980,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27920,CHC 1981,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27922,CHC 1983,Hordeum brachyantherum Nevski subsp. californicum (Covas & Stebbins) Bothmer et al.,"California, United States",PGRC
CN 27926,CHC 1989,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27927,CHC 1990,Hordeum brachyantherum Nevski subsp. californicum (Covas & Stebbins) Bothmer et al.,"California, United States",PGRC
CN 27929,CHC 1992,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27930,CHC 1993,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27931,CHC 1996,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27006,CHC 767,Hordeum bulbosum L.,"Sivas, Turkey",PGRC
CN 27008,CHC 773,Hordeum bulbosum L.,"Nev?ehir, Turkey",PGRC
CN 27013,CHC 782,Hordeum bulbosum L.,"Ankara, Turkey",PGRC
CN 27024,CHC 799,Hordeum brevisubulatum (Trin.) Link subsp. violaceum (Boiss. & Hohen.) Tzvelev,Iran,PGRC
CN 27025,CHC 803,Hordeum bulbosum L.,Iran,PGRC
CN 27026,CHC 804,Hordeum bulbosum L.,Iran,PGRC
CN 27027,CHC 805,Hordeum bulbosum L.,Iran,PGRC
CN 27033,CHC-811,Hordeum bulbosum L.,,PGRC
CN 27034,CHC 812,Hordeum bulbosum L.,Iran,PGRC
CN 27035,CHC 813,Hordeum bulbosum L.,Iran,PGRC
CN 27046,CHC 836,Hordeum bulbosum L.,Iran,PGRC
CN 27932,CHC 1997,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27933,CHC 1999,Hordeum brachyantherum Nevski,"California, United States",PGRC
CN 27934,CHC 2002,Hordeum brachyantherum Nevski,"Oregon, United States",PGRC
CN 27935,CHC 2003,Hordeum brachyantherum Nevski,"Oregon, United States",PGRC
CN 27936,CHC 2007,Hordeum brachyantherum Nevski,"Alberta, Canada",PGRC
CN 27047,CHC 837,Hordeum bulbosum L.,Iran,PGRC
CN 27048,CHC 839,Hordeum bulbosum L.,Iran,PGRC
CN 27052,CHC 843,Hordeum bulbosum L.,Iran,PGRC
CN 27054,CHC 845,Hordeum bulbosum L.,Iran,PGRC
CN 27055,CHC 846,Hordeum bulbosum L.,Iran,PGRC
CN 27064,CHC 856,Hordeum bulbosum L.,Iran,PGRC
CN 27065,CHC 857,Hordeum bulbosum L.,Iran,PGRC
CN 27069,CHC 862,Hordeum bulbosum L.,Iran,PGRC
CN 27070,CHC 864,Hordeum bulbosum L.,Iran,PGRC
CN 27075,CHC 869,Hordeum bulbosum L.,Iran,PGRC
CN 27076,CHC 870,Hordeum bulbosum L.,Iran,PGRC
CN 27080,CHC 874,Hordeum bulbosum L.,Iran,PGRC
CN 26537,CHC 49,Hordeum bulbosum L.,"Ayd?n, Turkey",PGRC
CN 26541,CHC 55,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26542,CHC 56,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26543,CHC 57,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26544,CHC 58,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26545,CHC 59,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26546,CHC 60,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26547,CHC 61,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26558,CHC 72,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26559,CHC 73,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26562,CHC 76,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26564,CHC 79,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26565,CHC 80,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26570,CHC 86,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26571,CHC 87,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26572,CHC 88,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26573,CHC 89,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26574,CHC 90,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26575,CHC 91,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26578,CHC 97,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26579,CHC 98,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26580,CHC 99,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26581,CHC 100,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26582,CHC 101,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26583,CHC 102,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26587,CHC 106,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26588,CHC 107,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26589,CHC 108,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26590,CHC 109,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26591,CHC 110,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26593,CHC 113,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26787,CHC 472,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26794,CHC 480,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26796,CHC 482,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26800,CHC 486,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26807,CHC 493,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26811,CHC 503,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26812,CHC 504,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26813,CHC 506,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26814,CHC 507,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26823,CHC 524,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 28521,CHC 2698,Hordeum bulbosum L.,"Ankara, Turkey",PGRC
CN 28522,CHC 2699,Hordeum bulbosum L.,"Ankara, Turkey",PGRC
CN 28526,CHC 2703,Hordeum bulbosum L.,"Ankara, Turkey",PGRC
CN 28529,CHC 2706,Hordeum bulbosum L.,Turkey,PGRC
CN 28530,CHC 2707,Hordeum bulbosum L.,Turkey,PGRC
CN 28531,CHC 2708,Hordeum bulbosum L.,Turkey,PGRC
CN 28532,CHC 2709,Hordeum bulbosum L.,Turkey,PGRC
CN 28533,CHC 2710,Hordeum bulbosum L.,Turkey,PGRC
CN 28534,CHC 2711,Hordeum bulbosum L.,Turkey,PGRC
CN 28535,CHC 2712,Hordeum bulbosum L.,Turkey,PGRC
CN 28537,CHC 2714,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 28538,CHC 2715,Hordeum bulbosum L.,"Tokat, Turkey",PGRC
CN 28539,CHC 2716,Hordeum bulbosum L.,"Tokat, Turkey",PGRC
CN 28540,CHC 2717,Hordeum bulbosum L.,"Tokat, Turkey",PGRC
CN 28541,CHC 2720,Hordeum bulbosum L.,"Giresun, Turkey",PGRC
CN 28542,CHC 2721,Hordeum bulbosum L.,"Gümü?hane, Turkey",PGRC
CN 28543,CHC 2722,Hordeum bulbosum L.,"Gümü?hane, Turkey",PGRC
CN 28544,CHC 2723,Hordeum bulbosum L.,"Artvin, Turkey",PGRC
CN 28545,CHC 2724,Hordeum bulbosum L.,"Artvin, Turkey",PGRC
CN 26598,CHC 118,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26599,CHC 119,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26603,CHC 123,Hordeum bulbosum L.,"Manisa, Turkey",PGRC
CN 26608,CHC 136,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26828,CHC 530,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26829,CHC 531,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26833,CHC 539,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26835,CHC 541,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26836,CHC 542,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26839,CHC 545,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26841,CHC 548,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26843,CHC 556,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26844,CHC 557,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26847,CHC 560,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26849,CHC 562,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26850,CHC 564,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26852,CHC 567,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26855,CHC 570,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 27959,CHC 2032,Hordeum brachyantherum Nevski,"British Columbia, Canada",PGRC
CN 27961,CHC-2034,Hordeum brachyantherum Nevski,,PGRC
CN 27962,CHC 2036,Hordeum brachyantherum Nevski,"British Columbia, Canada",PGRC
CN 27967,CHC2041,Hordeum brachyantherum Nevski,"Tolima, Colombia",PGRC
CN 27969,CHC 2043,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 27970,CHC 2044,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 27974,CHC 2048,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 27975,CHC 2049,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 27976,CHC 2050,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 27978,CHC 2052,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 27980,CHC 2054,Hordeum brachyantherum Nevski,"Alaska, United States",PGRC
CN 28549,CHC 2732,Hordeum brevisubulatum (Trin.) Link,China,PGRC
CN 28550,CHC 2733,Hordeum brevisubulatum (Trin.) Link,China,PGRC
CN 28551,'TUR',Hordeum brevisubulatum (Trin.) Link subsp. turkestanicum Tzvelev,China,PGRC
CN 28552,CHC 2736,Hordeum brachyantherum Nevski,"British Columbia, Canada",PGRC
CN 28555,CHC 2745,Hordeum bulbosum L.,Russian Federation,PGRC
CN 28572,CHC 2774,Hordeum bulbosum L.,Russian Federation,PGRC
CN 27155,CHC 979,Hordeum brevisubulatum (Trin.) Link subsp. violaceum (Boiss. & Hohen.) Tzvelev,Iran,PGRC
CN 27161,CHC 989,Hordeum bulbosum L.,Iran,PGRC
CN 27162,CHC 990,Hordeum bulbosum L.,Iran,PGRC
CN 27163,CHC 991,Hordeum brevisubulatum (Trin.) Link subsp. violaceum (Boiss. & Hohen.) Tzvelev,Iran,PGRC
CN 27187,CHC 1038,Hordeum bulbosum L.,Iran,PGRC
CN 27188,CHC 1041,Hordeum bulbosum L.,Iran,PGRC
CN 27194,CHC 1049,Hordeum bulbosum L.,Iran,PGRC
CN 27199,CHC-1054,Hordeum bogdanii Wilensky,,PGRC
CN 27200,CHC 1058,Hordeum brevisubulatum (Trin.) Link subsp. violaceum (Boiss. & Hohen.) Tzvelev,Iran,PGRC
CN 27201,CHC 1059,Hordeum brevisubulatum (Trin.) Link subsp. violaceum (Boiss. & Hohen.) Tzvelev,Iran,PGRC
CN 27202,CHC 1061,Hordeum bogdanii Wilensky,Iran,PGRC
CN 27203,CHC 1062,Hordeum brevisubulatum (Trin.) Link,Iran,PGRC
CN 27204,CHC 1063,Hordeum brevisubulatum (Trin.) Link,Iran,PGRC
CN 27205,CHC 1064,Hordeum bogdanii Wilensky,Iran,PGRC
CN 27206,CHC 1065,Hordeum brevisubulatum (Trin.) Link,Iran,PGRC
CN 27207,CHC 1067,Hordeum bogdanii Wilensky,Iran,PGRC
CN 27216,CHC 1082,Hordeum bulbosum L.,Iran,PGRC
CN 27218,CHC 1085,Hordeum bulbosum L.,Iran,PGRC
CN 27221,CHC 1089,Hordeum bulbosum L.,Iran,PGRC
CN 27223,CHC 1091,Hordeum bulbosum L.,Iran,PGRC
CN 27224,CHC 1092,Hordeum bulbosum L.,Iran,PGRC
CN 26610,CHC 138,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26613,CHC 142,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26617,CHC 160,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26618,CHC 161,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26620,CHC 163,Hordeum bulbosum L.,"?zmir, Turkey",PGRC
CN 26624,CHC170,Hordeum bulbosum L.,"Ayd?n, Turkey",PGRC
CN 26626,CHC 172,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26631,CHC 184,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26632,CHC 185,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26633,CHC 186,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26636,CHC 194,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26637,CHC 195,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26638,CHC 196,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26640,CHC 200,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26644,CHC 212,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26645,CHC 213,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26647,CHC 221,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26648,CHC 222,Hordeum bulbosum L.,"Mu?la, Turkey",PGRC
CN 26858,CHC 574,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26859,CHC 575,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26863,CHC 579,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26864,CHC 580,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26866,CHC-582,Hordeum bulbosum L.,,PGRC
CN 26867,CHC 583,Hordeum bulbosum L.,"Urfa, Turkey",PGRC
CN 26871,CHC 587,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26873,CHC 590,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26876,CHC 593,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26878,CHC 595,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26881,CHC 598,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26883,CHC 600,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26651,CHC 232,Hordeum bulbosum L.,Turkey,PGRC
CN 26652,CHC 233,Hordeum bulbosum L.,"Antalya, Turkey",PGRC
CN 26654,CHC 239,Hordeum bulbosum L.,"Antalya, Turkey",PGRC
CN 26655,CHC 240,Hordeum bulbosum L.,"Antalya, Turkey",PGRC
CN 26657,CHC 247,Hordeum bulbosum L.,"Antalya, Turkey",PGRC
CN 26892,CHC 611,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26893,CHC 614,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26894,CHC 615,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26900,CHC 621,Hordeum bulbosum L.,"Mardin, Turkey",PGRC
CN 26901,CHC 622,Hordeum bulbosum L.,"Mardin, Turkey",PGRC
CN 26902,CHC 623,Hordeum bulbosum L.,"Mardin, Turkey",PGRC
CN 26911,CHC 635,Hordeum bulbosum L.,"Mardin, Turkey",PGRC
CN 26916,CHC 641,Hordeum bulbosum L.,"Elaz??, Turkey",PGRC
CN 26918,CHC 643,Hordeum bulbosum L.,"Diyarbak?r, Turkey",PGRC
CN 26923,CHC 653,Hordeum bulbosum L.,"Tunceli, Turkey",PGRC
CN 26925,CHC 657,Hordeum bulbosum L.,"Tunceli, Turkey",PGRC
CN 26926,CHC 658,Hordeum bulbosum L.,"Tunceli, Turkey",PGRC
CN 26928,CHC 660,Hordeum bulbosum L.,"Tunceli, Turkey",PGRC
CN 26929,CHC 661,Hordeum bulbosum L.,"Tunceli, Turkey",PGRC
CN 26931,CHC 667,Hordeum bulbosum L.,"Elaz??, Turkey",PGRC
CN 28032,CHC 2113,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28033,CHC 2114,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28034,CHC 2115,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28035,CHC 2116,Hordeum bulbosum L.,"Cordoba, Spain",PGRC
CN 28036,CHC 2117,Hordeum bulbosum L.,"Cordoba, Spain",PGRC
CN 28037,CHC 2118,Hordeum bulbosum L.,"Cordoba, Spain",PGRC
CN 28038,CHC 2119,Hordeum bulbosum L.,"Cordoba, Spain",PGRC
CN 28039,CHC 2120,Hordeum bulbosum L.,"Cordoba, Spain",PGRC
CN 28040,CHC 2121,Hordeum bulbosum L.,"Sevilla, Spain",PGRC
CN 28041,CHC 2122,Hordeum bulbosum L.,"Sevilla, Spain",PGRC
CN 28042,CHC 2123,Hordeum bulbosum L.,"Sevilla, Spain",PGRC
CN 28043,CHC 2124,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28044,CHC 2125,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28045,CHC 2126,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28046,CHC 2127,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28047,CHC 2128,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28048,CHC 2129,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28049,CHC 2130,Hordeum bulbosum L.,"Oviedo, Spain",PGRC
CN 28050,CHC 2131,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28051,CHC 2132,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28052,CHC 2133,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28053,CHC 2134,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28054,CHC 2135,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28055,CHC 2136,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28056,CHC 2137,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28057,CHC 2138,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28058,CHC 2139,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28059,CHC 2140,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28060,CHC 2147,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28061,CHC 2148,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28062,CHC 2149,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28063,CHC 2150,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28064,CHC 2151,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28065,CHC 2152,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28066,CHC 2153,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28067,CHC 2154,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
CN 28068,CHC 2155,Hordeum bulbosum L.,"Cadiz, Spain",PGRC
