"","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Taxon","Genus","Species","Rank","Infraspecific"
"254","PI 387928","360","Phalaris arundinacea L.","Canada","W6",1974,"","Phalaris arundinacea  ","Phalaris","Phalaris arundinacea","",""
"255","PI 387929","367","Phalaris arundinacea L.","British Columbia, Canada","W6",1974,"","Phalaris arundinacea  ","Phalaris","Phalaris arundinacea","",""
"256","PI 387930","275","Poa alpina L.","Canada","W6",1974,"","Poa alpina  ","Poa","Poa alpina","",""
"257","PI 387932","258","Poa compressa L.","British Columbia, Canada","W6",1974,"","Poa compressa  ","Poa","Poa compressa","",""
"258","PI 387933","241","Poa palustris L.","British Columbia, Canada","W6",1974,"","Poa palustris  ","Poa","Poa palustris","",""
"259","PI 387934","247","Poa palustris L.","Canada","W6",1974,"","Poa palustris  ","Poa","Poa palustris","",""
"260","PI 387935","226","Poa pratensis L.","Alberta, Canada","W6",1974,"","Poa pratensis  ","Poa","Poa pratensis","",""
"261","PI 387938","148","Nassella viridula (Trin.) Barkworth","Alberta, Canada","W6",1974,"","Nassella viridula  ","Nassella","Nassella viridula","",""
"262","PI 445974","2D264","Secale strictum (C. Presl) C. Presl subsp. anatolicum (Boiss.) K. Hammer","Manitoba, Canada","NSGC",1979,"","Secale strictum Subsp. anatolicum","Secale","Secale strictum","Subsp.","anatolicum"
"263","PI 452446","MDR 0780","Elymus trachycaulus (Link) Gould","Canada","W6",1980,"59.50000000, -111.83333333","Elymus trachycaulus  ","Elymus","Elymus trachycaulus","",""
