"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","ECO_NAME"
"1","Acer rubrum","Acer","Acer rubrum","","","Northern Appalachian / Acadian"
"1.2","Acer saccharum","Acer","Acer saccharum","","","Northern Appalachian / Acadian"
"1.3","Abies balsamea","Abies","Abies balsamea","","","Northern Appalachian / Acadian"
"1.7","Acer negundo","Acer","Acer negundo","","","Northern Appalachian / Acadian"
"1.12","Alnus alnobetula","Alnus","Alnus alnobetula","","","Northern Appalachian / Acadian"
"1.20","Alnus incana","Alnus","Alnus incana","","","Northern Appalachian / Acadian"
"1.21","Acer pensylvanicum","Acer","Acer pensylvanicum","","","Northern Appalachian / Acadian"
"1.22","Achillea millefolium","Achillea","Achillea millefolium","","","Northern Appalachian / Acadian"
"1.29","Aralia nudicaulis","Aralia","Aralia nudicaulis","","","Northern Appalachian / Acadian"
"1.31","Acer spicatum","Acer","Acer spicatum","","","Northern Appalachian / Acadian"
"1.47","Arctostaphylos uva-ursi","Arctostaphylos","Arctostaphylos uva-ursi","","","Northern Appalachian / Acadian"
"1.176","Apios americana","Apios","Apios americana","","","Northern Appalachian / Acadian"
"1.187","Amaranthus retroflexus","Amaranthus","Amaranthus retroflexus","","","Northern Appalachian / Acadian"
"1.205","Amelanchier canadensis","Amelanchier","Amelanchier canadensis","","","Northern Appalachian / Acadian"
"1.307","Acer saccharinum","Acer","Acer saccharinum","","","Northern Appalachian / Acadian"
"1.312","Alnus incana subsp. rugosa","Alnus","Alnus incana","subsp.","rugosa","Northern Appalachian / Acadian"
"1.345","Allium tricoccum var. tricoccum","Allium","Allium tricoccum","var.","tricoccum","Northern Appalachian / Acadian"
"1.349","Allium tricoccum","Allium","Allium tricoccum","","","Northern Appalachian / Acadian"
"1.353","Alnus alnobetula subsp. crispa","Alnus","Alnus alnobetula","subsp.","crispa","Northern Appalachian / Acadian"
"1.645","Amphicarpaea bracteata","Amphicarpaea","Amphicarpaea bracteata","","","Northern Appalachian / Acadian"
"1.659","Allium schoenoprasum","Allium","Allium schoenoprasum","","","Northern Appalachian / Acadian"
"1.685","Asarum canadense","Asarum","Asarum canadense","","","Northern Appalachian / Acadian"
"1.957","Amelanchier arborea","Amelanchier","Amelanchier arborea","","","Northern Appalachian / Acadian"
"1.1090","Amelanchier bartramiana","Amelanchier","Amelanchier bartramiana","","","Northern Appalachian / Acadian"
"1.1148","Amelanchier laevis","Amelanchier","Amelanchier laevis","","","Northern Appalachian / Acadian"
"1.3567","Agastache foeniculum","Agastache","Agastache foeniculum","","","Northern Appalachian / Acadian"
"1.3715","Aruncus dioicus","Aruncus","Aruncus dioicus","","","Northern Appalachian / Acadian"
"1.4041","Acer nigrum","Acer","Acer nigrum","","","Northern Appalachian / Acadian"
"1.4534","Amelanchier intermedia","Amelanchier","Amelanchier intermedia","","","Northern Appalachian / Acadian"
"1.4571","Amelanchier sanguinea","Amelanchier","Amelanchier sanguinea","","","Northern Appalachian / Acadian"
"1.6148","Agrostis mertensii","Agrostis","Agrostis mertensii","","","Northern Appalachian / Acadian"
"1.6209","Arctopoa eminens","Arctopoa","Arctopoa eminens","","","Northern Appalachian / Acadian"
"1.6239","Agrostis perennans","Agrostis","Agrostis perennans","","","Northern Appalachian / Acadian"
"1.6701","Amelanchier spicata","Amelanchier","Amelanchier spicata","","","Northern Appalachian / Acadian"
"1.6722","Acer rubrum var. rubrum","Acer","Acer rubrum","var.","rubrum","Northern Appalachian / Acadian"
"1.6736","Amaranthus albus","Amaranthus","Amaranthus albus","","","Northern Appalachian / Acadian"
"1.6797","Amelanchier interior","Amelanchier","Amelanchier interior","","","Northern Appalachian / Acadian"
"1.6925","Allium schoenoprasum var. sibiricum","Allium","Allium schoenoprasum","var.","sibiricum","Northern Appalachian / Acadian"
"1.7503","Amelanchier humilis","Amelanchier","Amelanchier humilis","","","Northern Appalachian / Acadian"
"1.7520","Acer rubrum var. trilobum","Acer","Acer rubrum","var.","trilobum","Northern Appalachian / Acadian"
"1.7563","Allium tricoccum var. burdickii","Allium","Allium tricoccum","var.","burdickii","Northern Appalachian / Acadian"
"1.7676","Amaranthus hybridus","Amaranthus","Amaranthus hybridus","","","Northern Appalachian / Acadian"
"1.7982","Alnus alnobetula subsp. sinuata","Alnus","Alnus alnobetula","subsp.","sinuata","Northern Appalachian / Acadian"
"1.8185","Allium canadense","Allium","Allium canadense","","","Northern Appalachian / Acadian"
"1.8346","Betula alleghaniensis","Betula","Betula alleghaniensis","","","Northern Appalachian / Acadian"
"1.8349","Betula papyrifera","Betula","Betula papyrifera","","","Northern Appalachian / Acadian"
"1.8355","Betula populifolia","Betula","Betula populifolia","","","Northern Appalachian / Acadian"
"1.8378","Calamagrostis canadensis","Calamagrostis","Calamagrostis canadensis","","","Northern Appalachian / Acadian"
"1.8457","Bromus ciliatus","Bromus","Bromus ciliatus","","","Northern Appalachian / Acadian"
"1.8612","Calypso bulbosa var. americana","Calypso","Calypso bulbosa","var.","americana","Northern Appalachian / Acadian"
"1.8724","Carya ovata","Carya","Carya ovata","","","Northern Appalachian / Acadian"
"1.8897","Bromus inermis","Bromus","Bromus inermis","","","Northern Appalachian / Acadian"
"1.9858","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Northern Appalachian / Acadian"
"1.9991","Astragalus eucosmus","Astragalus","Astragalus eucosmus","","","Northern Appalachian / Acadian"
"1.10098","Calypso bulbosa","Calypso","Calypso bulbosa","","","Northern Appalachian / Acadian"
"1.10198","Calamagrostis canadensis var. macouniana","Calamagrostis","Calamagrostis canadensis","var.","macouniana","Northern Appalachian / Acadian"
"1.10233","Blitum capitatum","Blitum","Blitum capitatum","","","Northern Appalachian / Acadian"
"1.10235","Astragalus alpinus","Astragalus","Astragalus alpinus","","","Northern Appalachian / Acadian"
"1.10456","Carya ovalis","Carya","Carya ovalis","","","Northern Appalachian / Acadian"
"1.10457","Carya cordiformis","Carya","Carya cordiformis","","","Northern Appalachian / Acadian"
"1.10524","Bromus pubescens","Bromus","Bromus pubescens","","","Northern Appalachian / Acadian"
"1.10574","Bromus marginatus","Bromus","Bromus marginatus","","","Northern Appalachian / Acadian"
"1.10594","Blitum nuttallianum","Blitum","Blitum nuttallianum","","","Northern Appalachian / Acadian"
"1.10597","Astragalus americanus","Astragalus","Astragalus americanus","","","Northern Appalachian / Acadian"
"1.10602","Bromus kalmii","Bromus","Bromus kalmii","","","Northern Appalachian / Acadian"
"1.10604","Cornus canadensis","Cornus","Cornus canadensis","","","Northern Appalachian / Acadian"
"1.10606","Corylus cornuta","Corylus","Corylus cornuta","","","Northern Appalachian / Acadian"
"1.10608","Cornus sericea","Cornus","Cornus sericea","","","Northern Appalachian / Acadian"
"1.10638","Cornus suecica","Cornus","Cornus suecica","","","Northern Appalachian / Acadian"
"1.10640","Castanea dentata","Castanea","Castanea dentata","","","Northern Appalachian / Acadian"
"1.10649","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Northern Appalachian / Acadian"
"1.10658","Comarum palustre","Comarum","Comarum palustre","","","Northern Appalachian / Acadian"
"1.10663","Elymus virginicus","Elymus","Elymus virginicus","","","Northern Appalachian / Acadian"
"1.10668","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Northern Appalachian / Acadian"
"1.10698","Celtis occidentalis","Celtis","Celtis occidentalis","","","Northern Appalachian / Acadian"
"1.10702","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","Northern Appalachian / Acadian"
"1.10770","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Northern Appalachian / Acadian"
"1.10858","Elymus canadensis","Elymus","Elymus canadensis","","","Northern Appalachian / Acadian"
"1.11167","Claytonia virginica","Claytonia","Claytonia virginica","","","Northern Appalachian / Acadian"
"1.11718","Elymus riparius","Elymus","Elymus riparius","","","Northern Appalachian / Acadian"
"1.11737","Elymus violaceus","Elymus","Elymus violaceus","","","Northern Appalachian / Acadian"
"1.11823","Elymus virginicus var. virginicus","Elymus","Elymus virginicus","var.","virginicus","Northern Appalachian / Acadian"
"1.12207","Chamaenerion angustifolium subsp. angustifolium","Chamaenerion","Chamaenerion angustifolium","subsp.","angustifolium","Northern Appalachian / Acadian"
"1.12980","Crataegus macracantha","Crataegus","Crataegus macracantha","","","Northern Appalachian / Acadian"
"1.13521","Elymus hystrix","Elymus","Elymus hystrix","","","Northern Appalachian / Acadian"
"1.13616","Chamaenerion angustifolium subsp. circumvagum","Chamaenerion","Chamaenerion angustifolium","subsp.","circumvagum","Northern Appalachian / Acadian"
"1.13779","Chenopodium berlandieri var. macrocalycium","Chenopodium","Chenopodium berlandieri","var.","macrocalycium","Northern Appalachian / Acadian"
"1.13825","Chenopodium desiccatum","Chenopodium","Chenopodium desiccatum","","","Northern Appalachian / Acadian"
"1.13826","Cornus sericea subsp. sericea","Cornus","Cornus sericea","subsp.","sericea","Northern Appalachian / Acadian"
"1.14211","Elymus virginicus var. halophilus","Elymus","Elymus virginicus","var.","halophilus","Northern Appalachian / Acadian"
"1.14583","Elymus virginicus var. intermedius","Elymus","Elymus virginicus","var.","intermedius","Northern Appalachian / Acadian"
"1.14585","Fagus grandifolia","Fagus","Fagus grandifolia","","","Northern Appalachian / Acadian"
"1.14594","Gaultheria hispidula","Gaultheria","Gaultheria hispidula","","","Northern Appalachian / Acadian"
"1.14595","Gaultheria procumbens","Gaultheria","Gaultheria procumbens","","","Northern Appalachian / Acadian"
"1.14605","Gaylussacia baccata","Gaylussacia","Gaylussacia baccata","","","Northern Appalachian / Acadian"
"1.14608","Hamamelis virginiana","Hamamelis","Hamamelis virginiana","","","Northern Appalachian / Acadian"
"1.14611","Fraxinus nigra","Fraxinus","Fraxinus nigra","","","Northern Appalachian / Acadian"
"1.14612","Honckenya peploides","Honckenya","Honckenya peploides","","","Northern Appalachian / Acadian"
"1.14617","Fraxinus americana","Fraxinus","Fraxinus americana","","","Northern Appalachian / Acadian"
"1.14631","Fragaria virginiana","Fragaria","Fragaria virginiana","","","Northern Appalachian / Acadian"
"1.14663","Helianthus annuus","Helianthus","Helianthus annuus","","","Northern Appalachian / Acadian"
"1.14694","Helianthus tuberosus","Helianthus","Helianthus tuberosus","","","Northern Appalachian / Acadian"
"1.14701","Juglans cinerea","Juglans","Juglans cinerea","","","Northern Appalachian / Acadian"
"1.14716","Fraxinus pennsylvanica","Fraxinus","Fraxinus pennsylvanica","","","Northern Appalachian / Acadian"
"1.14740","Gaylussacia bigeloviana","Gaylussacia","Gaylussacia bigeloviana","","","Northern Appalachian / Acadian"
"1.14743","Humulus lupulus","Humulus","Humulus lupulus","","","Northern Appalachian / Acadian"
"1.14805","Hordeum jubatum","Hordeum","Hordeum jubatum","","","Northern Appalachian / Acadian"
"1.14806","Fragaria vesca","Fragaria","Fragaria vesca","","","Northern Appalachian / Acadian"
"1.15005","Erythronium americanum","Erythronium","Erythronium americanum","","","Northern Appalachian / Acadian"
"1.15573","Fragaria virginiana subsp. virginiana","Fragaria","Fragaria virginiana","subsp.","virginiana","Northern Appalachian / Acadian"
"1.16189","Fragaria vesca subsp. americana","Fragaria","Fragaria vesca","subsp.","americana","Northern Appalachian / Acadian"
"1.16846","Fragaria vesca subsp. vesca","Fragaria","Fragaria vesca","subsp.","vesca","Northern Appalachian / Acadian"
"1.17107","Festuca rubra","Festuca","Festuca rubra","","","Northern Appalachian / Acadian"
"1.17116","Festuca subverticillata","Festuca","Festuca subverticillata","","","Northern Appalachian / Acadian"
"1.17591","Festuca altaica","Festuca","Festuca altaica","","","Northern Appalachian / Acadian"
"1.17878","Helianthus decapetalus","Helianthus","Helianthus decapetalus","","","Northern Appalachian / Acadian"
"1.18284","Honckenya peploides subsp. robusta","Honckenya","Honckenya peploides","subsp.","robusta","Northern Appalachian / Acadian"
"1.19150","Erythronium americanum subsp. americanum","Erythronium","Erythronium americanum","subsp.","americanum","Northern Appalachian / Acadian"
"1.19276","Helianthus maximiliani","Helianthus","Helianthus maximiliani","","","Northern Appalachian / Acadian"
"1.19277","Helianthus pauciflorus subsp. pauciflorus","Helianthus","Helianthus pauciflorus","subsp.","pauciflorus","Northern Appalachian / Acadian"
"1.19427","Hedysarum americanum","Hedysarum","Hedysarum americanum","","","Northern Appalachian / Acadian"
"1.19445","Festuca rubra subsp. rubra","Festuca","Festuca rubra","subsp.","rubra","Northern Appalachian / Acadian"
"1.19784","Helianthus strumosus","Helianthus","Helianthus strumosus","","","Northern Appalachian / Acadian"
"1.19835","Fragaria virginiana subsp. glauca","Fragaria","Fragaria virginiana","subsp.","glauca","Northern Appalachian / Acadian"
"1.19925","Helianthus giganteus","Helianthus","Helianthus giganteus","","","Northern Appalachian / Acadian"
"1.19926","Helianthus pauciflorus subsp. subrhomboideus","Helianthus","Helianthus pauciflorus","subsp.","subrhomboideus","Northern Appalachian / Acadian"
"1.20059","Honckenya peploides subsp. diffusa","Honckenya","Honckenya peploides","subsp.","diffusa","Northern Appalachian / Acadian"
"1.20309","Larix laricina","Larix","Larix laricina","","","Northern Appalachian / Acadian"
"1.20311","Mitchella repens","Mitchella","Mitchella repens","","","Northern Appalachian / Acadian"
"1.20312","Monotropa uniflora","Monotropa","Monotropa uniflora","","","Northern Appalachian / Acadian"
"1.20319","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Northern Appalachian / Acadian"
"1.20323","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Northern Appalachian / Acadian"
"1.20325","Juniperus communis","Juniperus","Juniperus communis","","","Northern Appalachian / Acadian"
"1.20327","Lupinus polyphyllus","Lupinus","Lupinus polyphyllus","","","Northern Appalachian / Acadian"
"1.20330","Morella pensylvanica","Morella","Morella pensylvanica","","","Northern Appalachian / Acadian"
"1.20336","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","Northern Appalachian / Acadian"
"1.20338","Mentha canadensis","Mentha","Mentha canadensis","","","Northern Appalachian / Acadian"
"1.20383","Juniperus horizontalis","Juniperus","Juniperus horizontalis","","","Northern Appalachian / Acadian"
"1.20389","Maianthemum stellatum","Maianthemum","Maianthemum stellatum","","","Northern Appalachian / Acadian"
"1.20407","Myrica gale","Myrica","Myrica gale","","","Northern Appalachian / Acadian"
"1.20456","Leymus mollis","Leymus","Leymus mollis","","","Northern Appalachian / Acadian"
"1.20549","Monarda fistulosa","Monarda","Monarda fistulosa","","","Northern Appalachian / Acadian"
"1.20561","Juglans nigra","Juglans","Juglans nigra","","","Northern Appalachian / Acadian"
"1.21335","Lonicera involucrata","Lonicera","Lonicera involucrata","","","Northern Appalachian / Acadian"
"1.21794","Lysichiton americanus","Lysichiton","Lysichiton americanus","","","Northern Appalachian / Acadian"
"1.22020","Juniperus communis var. depressa","Juniperus","Juniperus communis","var.","depressa","Northern Appalachian / Acadian"
"1.25182","Leymus mollis subsp. mollis","Leymus","Leymus mollis","subsp.","mollis","Northern Appalachian / Acadian"
"1.25221","Monarda fistulosa var. mollis","Monarda","Monarda fistulosa","var.","mollis","Northern Appalachian / Acadian"
"1.25318","Linum perenne","Linum","Linum perenne","","","Northern Appalachian / Acadian"
"1.25474","Juniperus communis var. saxatilis","Juniperus","Juniperus communis","var.","saxatilis","Northern Appalachian / Acadian"
"1.25539","Lupinus nootkatensis","Lupinus","Lupinus nootkatensis","","","Northern Appalachian / Acadian"
"1.25547","Populus tremuloides","Populus","Populus tremuloides","","","Northern Appalachian / Acadian"
"1.25548","Pinus strobus","Pinus","Pinus strobus","","","Northern Appalachian / Acadian"
"1.25549","Picea rubens","Picea","Picea rubens","","","Northern Appalachian / Acadian"
"1.25550","Populus grandidentata","Populus","Populus grandidentata","","","Northern Appalachian / Acadian"
"1.25551","Populus balsamifera","Populus","Populus balsamifera","","","Northern Appalachian / Acadian"
"1.25555","Pinus banksiana","Pinus","Pinus banksiana","","","Northern Appalachian / Acadian"
"1.25557","Pinus resinosa","Pinus","Pinus resinosa","","","Northern Appalachian / Acadian"
"1.25558","Picea mariana","Picea","Picea mariana","","","Northern Appalachian / Acadian"
"1.25576","Populus deltoides","Populus","Populus deltoides","","","Northern Appalachian / Acadian"
"1.25624","Picea glauca","Picea","Picea glauca","","","Northern Appalachian / Acadian"
"1.25636","Plantago maritima","Plantago","Plantago maritima","","","Northern Appalachian / Acadian"
"1.25638","Panicum dichotomiflorum","Panicum","Panicum dichotomiflorum","","","Northern Appalachian / Acadian"
"1.25674","Podophyllum peltatum","Podophyllum","Podophyllum peltatum","","","Northern Appalachian / Acadian"
"1.25713","Phalaris arundinacea","Phalaris","Phalaris arundinacea","","","Northern Appalachian / Acadian"
"1.25875","Panax trifolius","Panax","Panax trifolius","","","Northern Appalachian / Acadian"
"1.26079","Poa alsodes","Poa","Poa alsodes","","","Northern Appalachian / Acadian"
"1.26187","Panicum capillare","Panicum","Panicum capillare","","","Northern Appalachian / Acadian"
"1.26474","Poa pratensis","Poa","Poa pratensis","","","Northern Appalachian / Acadian"
"1.26529","Panicum philadelphicum","Panicum","Panicum philadelphicum","","","Northern Appalachian / Acadian"
"1.26538","Panicum virgatum","Panicum","Panicum virgatum","","","Northern Appalachian / Acadian"
"1.26700","Pinus rigida","Pinus","Pinus rigida","","","Northern Appalachian / Acadian"
"1.26803","Poa trivialis","Poa","Poa trivialis","","","Northern Appalachian / Acadian"
"1.26814","Poa saltuensis","Poa","Poa saltuensis","","","Northern Appalachian / Acadian"
"1.27460","Poa palustris","Poa","Poa palustris","","","Northern Appalachian / Acadian"
"1.28782","Phleum alpinum","Phleum","Phleum alpinum","","","Northern Appalachian / Acadian"
"1.28799","Phalaris arundinacea var. picta","Phalaris","Phalaris arundinacea","var.","picta","Northern Appalachian / Acadian"
"1.28844","Panicum dichotomiflorum subsp. dichotomiflorum","Panicum","Panicum dichotomiflorum","subsp.","dichotomiflorum","Northern Appalachian / Acadian"
"1.29073","Poa nemoralis","Poa","Poa nemoralis","","","Northern Appalachian / Acadian"
"1.29497","Poa glauca","Poa","Poa glauca","","","Northern Appalachian / Acadian"
"1.29574","Poa alpina","Poa","Poa alpina","","","Northern Appalachian / Acadian"
"1.29658","Oxybasis rubra","Oxybasis","Oxybasis rubra","","","Northern Appalachian / Acadian"
"1.29718","Physalis heterophylla","Physalis","Physalis heterophylla","","","Northern Appalachian / Acadian"
"1.29723","Populus deltoides subsp. deltoides","Populus","Populus deltoides","subsp.","deltoides","Northern Appalachian / Acadian"
"1.29809","Poa glauca subsp. glauca","Poa","Poa glauca","subsp.","glauca","Northern Appalachian / Acadian"
"1.30152","Panax quinquefolius","Panax","Panax quinquefolius","","","Northern Appalachian / Acadian"
"1.30159","Quercus rubra","Quercus","Quercus rubra","","","Northern Appalachian / Acadian"
"1.30160","Prunus serotina","Prunus","Prunus serotina","","","Northern Appalachian / Acadian"
"1.30164","Prunus pensylvanica","Prunus","Prunus pensylvanica","","","Northern Appalachian / Acadian"
"1.30165","Prunella vulgaris","Prunella","Prunella vulgaris","","","Northern Appalachian / Acadian"
"1.30166","Rhododendron groenlandicum","Rhododendron","Rhododendron groenlandicum","","","Northern Appalachian / Acadian"
"1.30197","Prunus virginiana","Prunus","Prunus virginiana","","","Northern Appalachian / Acadian"
"1.30202","Rubus allegheniensis","Rubus","Rubus allegheniensis","","","Northern Appalachian / Acadian"
"1.30248","Quercus alba","Quercus","Quercus alba","","","Northern Appalachian / Acadian"
"1.30254","Ribes hirtellum","Ribes","Ribes hirtellum","","","Northern Appalachian / Acadian"
"1.30266","Ribes lacustre","Ribes","Ribes lacustre","","","Northern Appalachian / Acadian"
"1.30289","Quercus macrocarpa","Quercus","Quercus macrocarpa","","","Northern Appalachian / Acadian"
"1.30382","Rosa virginiana","Rosa","Rosa virginiana","","","Northern Appalachian / Acadian"
"1.30392","Rosa nitida","Rosa","Rosa nitida","","","Northern Appalachian / Acadian"
"1.30428","Ribes americanum","Ribes","Ribes americanum","","","Northern Appalachian / Acadian"
"1.30595","Ribes triste","Ribes","Ribes triste","","","Northern Appalachian / Acadian"
"1.30847","Rosa carolina","Rosa","Rosa carolina","","","Northern Appalachian / Acadian"
"1.30935","Quercus palustris","Quercus","Quercus palustris","","","Northern Appalachian / Acadian"
"1.31007","Rosa palustris","Rosa","Rosa palustris","","","Northern Appalachian / Acadian"
"1.31076","Rosa acicularis","Rosa","Rosa acicularis","","","Northern Appalachian / Acadian"
"1.31146","Prunus pumila","Prunus","Prunus pumila","","","Northern Appalachian / Acadian"
"1.31147","Prunus americana","Prunus","Prunus americana","","","Northern Appalachian / Acadian"
"1.31164","Ribes cynosbati","Ribes","Ribes cynosbati","","","Northern Appalachian / Acadian"
"1.31166","Prunus nigra","Prunus","Prunus nigra","","","Northern Appalachian / Acadian"
"1.31221","Prunella vulgaris subsp. vulgaris","Prunella","Prunella vulgaris","subsp.","vulgaris","Northern Appalachian / Acadian"
"1.31418","Rosa blanda","Rosa","Rosa blanda","","","Northern Appalachian / Acadian"
"1.31707","Ribes aureum","Ribes","Ribes aureum","","","Northern Appalachian / Acadian"
"1.32228","Rhodiola rosea","Rhodiola","Rhodiola rosea","","","Northern Appalachian / Acadian"
"1.32699","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","Northern Appalachian / Acadian"
"1.33548","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Northern Appalachian / Acadian"
"1.33863","Rubus arcticus","Rubus","Rubus arcticus","","","Northern Appalachian / Acadian"
"1.33983","Prunus virginiana var. virginiana","Prunus","Prunus virginiana","var.","virginiana","Northern Appalachian / Acadian"
"1.33987","Prunus serotina var. serotina","Prunus","Prunus serotina","var.","serotina","Northern Appalachian / Acadian"
"1.34018","Pseudotsuga menziesii var. menziesii","Pseudotsuga","Pseudotsuga menziesii","var.","menziesii","Northern Appalachian / Acadian"
"1.34081","Ribes oxyacanthoides","Ribes","Ribes oxyacanthoides","","","Northern Appalachian / Acadian"
"1.34414","Quercus bicolor","Quercus","Quercus bicolor","","","Northern Appalachian / Acadian"
"1.34433","Tsuga canadensis","Tsuga","Tsuga canadensis","","","Northern Appalachian / Acadian"
"1.34434","Typha latifolia","Typha","Typha latifolia","","","Northern Appalachian / Acadian"
"1.34436","Vaccinium angustifolium","Vaccinium","Vaccinium angustifolium","","","Northern Appalachian / Acadian"
"1.34438","Sorbus americana","Sorbus","Sorbus americana","","","Northern Appalachian / Acadian"
"1.34439","Symphoricarpos albus","Symphoricarpos","Symphoricarpos albus","","","Northern Appalachian / Acadian"
"1.34442","Tilia americana","Tilia","Tilia americana","","","Northern Appalachian / Acadian"
"1.34447","Rubus idaeus","Rubus","Rubus idaeus","","","Northern Appalachian / Acadian"
"1.34475","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Northern Appalachian / Acadian"
"1.34481","Taxus canadensis","Taxus","Taxus canadensis","","","Northern Appalachian / Acadian"
"1.34484","Thuja occidentalis","Thuja","Thuja occidentalis","","","Northern Appalachian / Acadian"
"1.34485","Ulmus americana","Ulmus","Ulmus americana","","","Northern Appalachian / Acadian"
"1.34500","Rubus idaeus subsp. strigosus","Rubus","Rubus idaeus","subsp.","strigosus","Northern Appalachian / Acadian"
"1.34501","Rubus chamaemorus","Rubus","Rubus chamaemorus","","","Northern Appalachian / Acadian"
"1.34545","Sium suave","Sium","Sium suave","","","Northern Appalachian / Acadian"
"1.34546","Triglochin maritima","Triglochin","Triglochin maritima","","","Northern Appalachian / Acadian"
"1.34557","Sagittaria latifolia","Sagittaria","Sagittaria latifolia","","","Northern Appalachian / Acadian"
"1.34565","Rubus canadensis","Rubus","Rubus canadensis","","","Northern Appalachian / Acadian"
"1.34566","Urtica dioica","Urtica","Urtica dioica","","","Northern Appalachian / Acadian"
"1.34601","Rubus odoratus","Rubus","Rubus odoratus","","","Northern Appalachian / Acadian"
"1.34622","Sambucus canadensis","Sambucus","Sambucus canadensis","","","Northern Appalachian / Acadian"
"1.34634","Sorbus decora","Sorbus","Sorbus decora","","","Northern Appalachian / Acadian"
"1.34657","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Northern Appalachian / Acadian"
"1.34904","Rubus occidentalis","Rubus","Rubus occidentalis","","","Northern Appalachian / Acadian"
"1.34974","Sanicula marilandica","Sanicula","Sanicula marilandica","","","Northern Appalachian / Acadian"
"1.35113","Rubus pensilvanicus","Rubus","Rubus pensilvanicus","","","Northern Appalachian / Acadian"
"1.35730","Schizachyrium scoparium","Schizachyrium","Schizachyrium scoparium","","","Northern Appalachian / Acadian"
"1.35900","Schoenoplectus acutus","Schoenoplectus","Schoenoplectus acutus","","","Northern Appalachian / Acadian"
"1.36751","Ulmus rubra","Ulmus","Ulmus rubra","","","Northern Appalachian / Acadian"
"1.37868","Rubus flagellaris","Rubus","Rubus flagellaris","","","Northern Appalachian / Acadian"
"1.37926","Salix exigua","Salix","Salix exigua","","","Northern Appalachian / Acadian"
"1.38440","Salix arctica","Salix","Salix arctica","","","Northern Appalachian / Acadian"
"1.38443","Salix richardsonii","Salix","Salix richardsonii","","","Northern Appalachian / Acadian"
"1.38446","Salix arctophila","Salix","Salix arctophila","","","Northern Appalachian / Acadian"
"1.38778","Symphoricarpos albus var. laevigatus","Symphoricarpos","Symphoricarpos albus","var.","laevigatus","Northern Appalachian / Acadian"
"1.38812","Schoenoplectus acutus var. acutus","Schoenoplectus","Schoenoplectus acutus","var.","acutus","Northern Appalachian / Acadian"
"1.39271","Tradescantia virginiana","Tradescantia","Tradescantia virginiana","","","Northern Appalachian / Acadian"
"1.39356","Salix barclayi","Salix","Salix barclayi","","","Northern Appalachian / Acadian"
"1.39362","Rumex occidentalis","Rumex","Rumex occidentalis","","","Northern Appalachian / Acadian"
"1.40091","Taxus brevifolia","Taxus","Taxus brevifolia","","","Northern Appalachian / Acadian"
"1.40107","Vaccinium vitis-idaea","Vaccinium","Vaccinium vitis-idaea","","","Northern Appalachian / Acadian"
"1.40112","Vitis riparia","Vitis","Vitis riparia","","","Northern Appalachian / Acadian"
"1.40114","Viburnum edule","Viburnum","Viburnum edule","","","Northern Appalachian / Acadian"
"1.40124","Vaccinium corymbosum","Vaccinium","Vaccinium corymbosum","","","Northern Appalachian / Acadian"
"1.40136","Viburnum opulus","Viburnum","Viburnum opulus","","","Northern Appalachian / Acadian"
"1.40159","Vaccinium myrtilloides","Vaccinium","Vaccinium myrtilloides","","","Northern Appalachian / Acadian"
"1.40176","Vaccinium oxycoccos","Vaccinium","Vaccinium oxycoccos","","","Northern Appalachian / Acadian"
"1.40298","Viburnum opulus var. americanum","Viburnum","Viburnum opulus","var.","americanum","Northern Appalachian / Acadian"
"1.40321","Vaccinium uliginosum","Vaccinium","Vaccinium uliginosum","","","Northern Appalachian / Acadian"
"1.40327","Viburnum lantana","Viburnum","Viburnum lantana","","","Northern Appalachian / Acadian"
"1.40399","Viburnum opulus var. opulus","Viburnum","Viburnum opulus","var.","opulus","Northern Appalachian / Acadian"
"1.40610","Viburnum lentago","Viburnum","Viburnum lentago","","","Northern Appalachian / Acadian"
"1.40678","Viburnum dentatum","Viburnum","Viburnum dentatum","","","Northern Appalachian / Acadian"
"1.41013","Zizania aquatica","Zizania","Zizania aquatica","","","Northern Appalachian / Acadian"
"1.41198","Vaccinium cespitosum","Vaccinium","Vaccinium cespitosum","","","Northern Appalachian / Acadian"
"1.41797","Vaccinium ovalifolium","Vaccinium","Vaccinium ovalifolium","","","Northern Appalachian / Acadian"
"1.41914","Vaccinium myrtillus","Vaccinium","Vaccinium myrtillus","","","Northern Appalachian / Acadian"
"1.42100","Vaccinium boreale","Vaccinium","Vaccinium boreale","","","Northern Appalachian / Acadian"
"1.42308","Zizania palustris var. palustris","Zizania","Zizania palustris","var.","palustris","Northern Appalachian / Acadian"
