TAXON,GENUS,SPECIES,RANK,verbatimScientificName,INFRASPECIFIC,PROVINCE
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Nova Scotia
Allium cernuum,Allium,Allium cernuum,,Allium cernuum,,Alberta
Acer negundo,Acer,Acer negundo,,Acer negundo,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Nova Scotia
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,Ontario
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,New Brunswick
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,Quebec
Acer circinatum,Acer,Acer circinatum,,Acer circinatum,,British Columbia
Acer pensylvanicum,Acer,Acer pensylvanicum,,Acer pensylvanicum,,Nova Scotia
Acer negundo,Acer,Acer negundo,,Acer negundo,,Nova Scotia
Abies amabilis,Abies,Abies amabilis,,Abies amabilis,,British Columbia
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Ontario
Allium cernuum,Allium,Allium cernuum,,Allium cernuum,,British Columbia
Ambrosia chamissonis,Ambrosia,Ambrosia chamissonis,,Ambrosia chamissonis,,British Columbia
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,Quebec
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Nova Scotia
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,Ontario
Asarum canadense,Asarum,Asarum canadense,,Asarum canadense,,Ontario
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Alberta
Asarum caudatum,Asarum,Asarum caudatum,,Asarum caudatum,,British Columbia
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Nova Scotia
Abies grandis,Abies,Abies grandis,,Abies grandis,,British Columbia
Acer negundo,Acer,Acer negundo,,Acer negundo,,Manitoba
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Alberta
Allium tricoccum var. tricoccum,Allium,Allium tricoccum,var.,Allium tricoccum tricoccum,tricoccum,Ontario
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Manitoba
Acer negundo,Acer,Acer negundo,,Acer negundo,,Saskatchewan
Acer pensylvanicum,Acer,Acer pensylvanicum,,Acer pensylvanicum,,New Brunswick
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Nova Scotia
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Prince Edward Island
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Quebec
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Alberta
Acer glabrum var. douglasii,Acer,Acer glabrum,var.,Acer glabrum douglasii,douglasii,British Columbia
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,New Brunswick
Alnus rubra,Alnus,Alnus rubra,,Alnus rubra,,British Columbia
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Saskatchewan
Acer saccharum,Acer,Acer saccharum,,Acer saccharum,,New Brunswick
Acer saccharum,Acer,Acer saccharum,,Acer saccharum,,Prince Edward Island
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Prince Edward Island
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Nova Scotia
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Newfoundland and Labrador
Acer pensylvanicum,Acer,Acer pensylvanicum,,Acer pensylvanicum,,Quebec
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Ontario
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,Manitoba
Abies lasiocarpa,Abies,Abies lasiocarpa,,Abies lasiocarpa,,British Columbia
Allium acuminatum,Allium,Allium acuminatum,,Allium acuminatum,,British Columbia
Acer pensylvanicum,Acer,Acer pensylvanicum,,Acer pensylvanicum,,Ontario
Acer saccharum,Acer,Acer saccharum,,Acer saccharum,,Quebec
Arnica cordifolia,Arnica,Arnica cordifolia,,Arnica cordifolia,,Alberta
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,British Columbia
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula sinuata,sinuata,British Columbia
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,Amelanchier bartramiana,,Quebec
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Prince Edward Island
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,Quebec
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Saskatchewan
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,Prince Edward Island
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Quebec
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Manitoba
Agastache foeniculum,Agastache,Agastache foeniculum,,Agastache foeniculum,,Ontario
Acmispon denticulatus,Acmispon,Acmispon denticulatus,,Acmispon denticulatus,,British Columbia
Asarum canadense,Asarum,Asarum canadense,,Asarum canadense,,Quebec
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Manitoba
Allium tricoccum var. tricoccum,Allium,Allium tricoccum,var.,Allium tricoccum tricoccum,tricoccum,Quebec
Acer negundo,Acer,Acer negundo,,Acer negundo,,Alberta
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Nova Scotia
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,Ontario
Asimina triloba,Asimina,Asimina triloba,,Asimina triloba,,Ontario
Acer negundo,Acer,Acer negundo,,Acer negundo,,British Columbia
Acer pensylvanicum,Acer,Acer pensylvanicum,,Acer pensylvanicum,,Prince Edward Island
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Yukon
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,New Brunswick
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Saskatchewan
Amaranthus albus,Amaranthus,Amaranthus albus,,Amaranthus albus,,Ontario
Agastache foeniculum,Agastache,Agastache foeniculum,,Agastache foeniculum,,Alberta
Agastache nepetoides,Agastache,Agastache nepetoides,,Agastache nepetoides,,Ontario
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,New Brunswick
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,Amphicarpaea bracteata,,Manitoba
Allium textile,Allium,Allium textile,,Allium textile,,Alberta
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,British Columbia
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Quebec
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Yukon
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Prince Edward Island
Apios americana,Apios,Apios americana,,Apios americana,,Nova Scotia
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,Amelanchier bartramiana,,Nova Scotia
Allium tricoccum,Allium,Allium tricoccum,,Allium tricoccum,,Ontario
Agastache urticifolia,Agastache,Agastache urticifolia,,Agastache urticifolia,,British Columbia
Amelanchier alnifolia var. semiintegrifolia,Amelanchier,Amelanchier alnifolia,var.,Amelanchier alnifolia semiintegrifolia,semiintegrifolia,British Columbia
Apios americana,Apios,Apios americana,,Apios americana,,Quebec
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Manitoba
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Manitoba
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,Amelanchier canadensis,,Quebec
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Manitoba
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,Amphicarpaea bracteata,,Quebec
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Nova Scotia
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,Alnus incana tenuifolia,tenuifolia,British Columbia
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Newfoundland and Labrador
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Ontario
Apios americana,Apios,Apios americana,,Apios americana,,Ontario
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,British Columbia
Alnus incana,Alnus,Alnus incana,,Alnus incana,,British Columbia
Acmispon parviflorus,Acmispon,Acmispon parviflorus,,Acmispon parviflorus,,British Columbia
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,New Brunswick
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Alberta
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Prince Edward Island
Allium tricoccum,Allium,Allium tricoccum,,Allium tricoccum,,Quebec
Allium amplectens,Allium,Allium amplectens,,Allium amplectens,,British Columbia
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Prince Edward Island
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,New Brunswick
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Ontario
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Saskatchewan
Acer negundo,Acer,Acer negundo,,Acer negundo,,Prince Edward Island
Allium stellatum,Allium,Allium stellatum,,Allium stellatum,,Manitoba
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,British Columbia
Agastache foeniculum,Agastache,Agastache foeniculum,,Agastache foeniculum,,Manitoba
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,Quebec
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Newfoundland and Labrador
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,New Brunswick
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,Nova Scotia
Abies lasiocarpa,Abies,Abies lasiocarpa,,Abies lasiocarpa,,Yukon
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Saskatchewan
Abies lasiocarpa,Abies,Abies lasiocarpa,,Abies lasiocarpa,,Alberta
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Alberta
Allium crenulatum,Allium,Allium crenulatum,,Allium crenulatum,,British Columbia
Allium textile,Allium,Allium textile,,Allium textile,,Saskatchewan
Asarum canadense,Asarum,Asarum canadense,,Asarum canadense,,Manitoba
Allium geyeri,Allium,Allium geyeri,,Allium geyeri,,British Columbia
Amelanchier spicata,Amelanchier,Amelanchier spicata,,Amelanchier spicata,,Ontario
Andropogon hallii,Andropogon,Andropogon hallii,,Andropogon hallii,,Manitoba
Acer glabrum,Acer,Acer glabrum,,Acer glabrum,,Alberta
Allium cernuum,Allium,Allium cernuum,,Allium cernuum,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Northwest Territories
Alnus incana,Alnus,Alnus incana,,Alnus incana,,New Brunswick
Acer negundo,Acer,Acer negundo,,Acer negundo,,New Brunswick
Allium cernuum,Allium,Allium cernuum,,Allium cernuum,,Manitoba
Apios americana,Apios,Apios americana,,Apios americana,,New Brunswick
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Yukon
Agrostis perennans,Agrostis,Agrostis perennans,,Agrostis perennans,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Newfoundland and Labrador
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Ontario
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,Nova Scotia
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,Alnus incana tenuifolia,tenuifolia,Northwest Territories
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Yukon
Allium canadense,Allium,Allium canadense,,Allium canadense,,Ontario
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Ontario
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Alberta
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Northwest Territories
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,Nunavut
Arnica cordifolia,Arnica,Arnica cordifolia,,Arnica cordifolia,,Yukon
Amelanchier laevis,Amelanchier,Amelanchier laevis,,Amelanchier laevis,,Ontario
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,New Brunswick
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Yukon
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Manitoba
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Quebec
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Yukon
Amaranthus albus,Amaranthus,Amaranthus albus,,Amaranthus albus,,Saskatchewan
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Northwest Territories
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Quebec
Agastache foeniculum,Agastache,Agastache foeniculum,,Agastache foeniculum,,Saskatchewan
Allium stellatum,Allium,Allium stellatum,,Allium stellatum,,Saskatchewan
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,Alnus incana tenuifolia,tenuifolia,Yukon
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,New Brunswick
Agastache foeniculum,Agastache,Agastache foeniculum,,Agastache foeniculum,,Quebec
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Quebec
Acer negundo,Acer,Acer negundo,,Acer negundo,,Yukon
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Northwest Territories
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Newfoundland and Labrador
Allium geyeri var. tenerum,Allium,Allium geyeri,var.,Allium geyeri tenerum,tenerum,Alberta
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Newfoundland and Labrador
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Quebec
Agrostis exarata,Agrostis,Agrostis exarata,,Agrostis exarata,,British Columbia
Amelanchier laevis,Amelanchier,Amelanchier laevis,,Amelanchier laevis,,Newfoundland and Labrador
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Northwest Territories
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Alberta
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,Newfoundland and Labrador
Allium textile,Allium,Allium textile,,Allium textile,,Manitoba
Allium stellatum,Allium,Allium stellatum,,Allium stellatum,,Ontario
Allium cernuum,Allium,Allium cernuum,,Allium cernuum,,Saskatchewan
Agrostis mertensii,Agrostis,Agrostis mertensii,,Agrostis mertensii Trin.,,Quebec
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,New Brunswick
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,British Columbia
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,Amelanchier bartramiana,,Newfoundland and Labrador
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,Amphicarpaea bracteata,,New Brunswick
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Northwest Territories
Amelanchier sanguinea,Amelanchier,Amelanchier sanguinea,,Amelanchier sanguinea,,Ontario
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Alberta
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Newfoundland and Labrador
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,Amelanchier bartramiana,,Ontario
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,Nova Scotia
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Saskatchewan
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Saskatchewan
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,Amphicarpaea bracteata,,Nova Scotia
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,New Brunswick
Allium tricoccum,Allium,Allium tricoccum,,Allium tricoccum,,Nova Scotia
Arnica cordifolia,Arnica,Arnica cordifolia,,Arnica cordifolia,,Saskatchewan
Amelanchier laevis,Amelanchier,Amelanchier laevis,,Amelanchier laevis,,Nova Scotia
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,British Columbia
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Prince Edward Island
Acmispon americanus,Acmispon,Acmispon americanus,,Acmispon americanus,,British Columbia
Aruncus dioicus,Aruncus,Aruncus dioicus,,Aruncus dioicus,,Ontario
Aruncus dioicus,Aruncus,Aruncus dioicus,,Aruncus dioicus,,Quebec
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,Amelanchier bartramiana,,New Brunswick
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum,,Nova Scotia
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Prince Edward Island
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Newfoundland and Labrador
Amelanchier laevis,Amelanchier,Amelanchier laevis,,Amelanchier laevis,,Quebec
Amelanchier humilis,Amelanchier,Amelanchier humilis,,Amelanchier humilis,,Ontario
Amelanchier spicata,Amelanchier,Amelanchier spicata,,Amelanchier spicata,,Quebec
Asarum canadense,Asarum,Asarum canadense,,Asarum canadense,,Nova Scotia
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,Prince Edward Island
Acer spicatum,Acer,Acer spicatum,,Acer spicatum,,Saskatchewan
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Prince Edward Island
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Newfoundland and Labrador
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,Newfoundland and Labrador
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana rugosa,rugosa,Manitoba
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Alberta
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Manitoba
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Manitoba
Amelanchier interior,Amelanchier,Amelanchier interior,,Amelanchier wiegandii,,Nova Scotia
Amelanchier humilis,Amelanchier,Amelanchier humilis,,Amelanchier humilis,,Quebec
Amelanchier sanguinea,Amelanchier,Amelanchier sanguinea,,Amelanchier amabilis,,Quebec
Amaranthus albus,Amaranthus,Amaranthus albus,,Amaranthus albus,,British Columbia
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,New Brunswick
Allium canadense var. canadense,Allium,Allium canadense,var.,Allium canadense canadense,canadense,Ontario
Asarum canadense,Asarum,Asarum canadense,,Asarum canadense,,New Brunswick
Aruncus dioicus var. acuminatus,Aruncus,Aruncus dioicus,var.,Aruncus dioicus acuminatus,acuminatus,British Columbia
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula sinuata,sinuata,Yukon
Agrostis mertensii,Agrostis,Agrostis mertensii,,Agrostis mertensii,,Ontario
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum L.,,Saskatchewan
Agastache foeniculum,Agastache,Agastache foeniculum,,Agastache foeniculum (Pursh) Kuntze,,British Columbia
Allium schoenoprasum,Allium,Allium schoenoprasum,,Allium schoenoprasum L.,,Manitoba
Allium canadense,Allium,Allium canadense,,Allium canadense L.,,Quebec
Amaranthus hybridus,Amaranthus,Amaranthus hybridus,,Amaranthus hybridus L.,,Quebec
Amaranthus albus,Amaranthus,Amaranthus albus,,Amaranthus albus L.,,Quebec
Amelanchier alnifolia var. alnifolia,Amelanchier,Amelanchier alnifolia,var.,Amelanchier alnifolia alnifolia,alnifolia,Yukon
Alnus alnobetula,Alnus,Alnus alnobetula,,Alnus alnobetula,,Saskatchewan
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,Amelanchier canadensis,,Nova Scotia
Amaranthus tuberculatus,Amaranthus,Amaranthus tuberculatus,,Amaranthus tuberculatus,,Quebec
Aruncus dioicus,Aruncus,Aruncus dioicus,,Aruncus sylvester,,Alberta
Agrostis mertensii,Agrostis,Agrostis mertensii,,Agrostis mertensii,,Nunavut
Amphicarpaea bracteata var. comosa,Amphicarpaea,Amphicarpaea bracteata,var.,Amphicarpaea bracteata var. comosa,comosa,Ontario
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,Alnus viridis subsp. sinuata,sinuata,Alberta
Amelanchier interior,Amelanchier,Amelanchier interior,,Amelanchier interior,,Ontario
Agrostis perennans,Agrostis,Agrostis perennans,,Agrostis perennans,,Quebec
Aruncus dioicus,Aruncus,Aruncus dioicus,,Aruncus dioicus,,Nova Scotia
Aruncus dioicus,Aruncus,Aruncus dioicus,,Aruncus dioicus,,New Brunswick
Agrostis exarata,Agrostis,Agrostis exarata,,Agrostis exarata,,Yukon
Agrostis mertensii,Agrostis,Agrostis mertensii,,Agrostis mertensii,,Newfoundland and Labrador
Alnus incana,Alnus,Alnus incana,,Alnus incana,,Alberta
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,Prince Edward Island
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,Prince Edward Island
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,Amelanchier canadensis,,Ontario
Amaranthus albus,Amaranthus,Amaranthus albus,,Amaranthus albus L.,,Alberta
Amelanchier intermedia,Amelanchier,Amelanchier intermedia,,Amelanchier × intermedia,,New Brunswick
Amelanchier arborea,Amelanchier,Amelanchier arborea,,Amelanchier arborea,,New Brunswick
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Northwest Territories
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,Quebec
Acer negundo,Acer,Acer negundo,,Acer negundo,,Newfoundland and Labrador
Allium tricoccum,Allium,Allium tricoccum,,Allium tricoccum,,New Brunswick
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Nunavut
Amelanchier interior,Amelanchier,Amelanchier interior,,Amelanchier wiegandii Nielsen,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Nunavut
Amelanchier laevis,Amelanchier,Amelanchier laevis,,Amelanchier laevis,,New Brunswick
Agrostis mertensii,Agrostis,Agrostis mertensii,,Agrostis mertensii Trin.,,Yukon
Amaranthus albus,Amaranthus,Amaranthus albus,,Amaranthus albus L.,,Manitoba
Amaranthus hybridus,Amaranthus,Amaranthus hybridus,,Amaranthus hybridus,,Ontario
Allium canadense,Allium,Allium canadense,,Allium canadense,,New Brunswick
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,Amaranthus retroflexus,,Northwest Territories
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus alnobetula crispa,crispa,Saskatchewan
Amelanchier alnifolia var. semiintegrifolia,Amelanchier,Amelanchier alnifolia,var.,Amelanchier alnifolia semiintegrifolia,semiintegrifolia,Alberta
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,Alnus viridis subsp. crispa,crispa,Northwest Territories
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana subsp. rugosa,rugosa,Newfoundland and Labrador
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,Amelanchier bartramiana,,Prince Edward Island
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana subsp. rugosa,rugosa,Alberta
Agrostis mertensii,Agrostis,Agrostis mertensii,,Agrostis mertensii,,New Brunswick
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,Alnus incana subsp. rugosa,rugosa,Saskatchewan
Amelanchier pumila,Amelanchier,Amelanchier pumila,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. pumila (Torr. & A. Gray) C.K. Schneid.,,British Columbia
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,Alnus viridis (Vill.) DC. subsp. intermediate between subsp. fruticosa (Rupr.) Nyman and subsp. sinuata (Regel) Love & Love,sinuata,Northwest Territories
