TAXON,GENUS,SPECIES,RANK,verbatimScientificName,INFRASPECIFIC,PROVINCE
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,British Columbia
Acer glabrum,Acer,Acer glabrum,,Acer glabrum,,British Columbia
Acer rubrum,Acer,Acer rubrum,,Acer rubrum,,Nova Scotia
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,British Columbia
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Ontario
Acer saccharum,Acer,Acer saccharum,,Acer saccharum,,Ontario
Acer macrophyllum,Acer,Acer macrophyllum,,Acer macrophyllum,,British Columbia
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,Amelanchier alnifolia,,British Columbia
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,Ontario
Arbutus menziesii,Arbutus,Arbutus menziesii,,Arbutus menziesii,,British Columbia
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Ontario
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,Achillea millefolium,,British Columbia
Arctostaphylos columbiana,Arctostaphylos,Arctostaphylos columbiana,,Arctostaphylos columbiana,,British Columbia
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,Amphicarpaea bracteata,,Ontario
Acer saccharinum,Acer,Acer saccharinum,,Acer saccharinum,,Ontario
Acer saccharum,Acer,Acer saccharum,,Acer saccharum,,Nova Scotia
Abies balsamea,Abies,Abies balsamea,,Abies balsamea,,Nova Scotia
Arnica cordifolia,Arnica,Arnica cordifolia,,Arnica cordifolia,,British Columbia
Aruncus dioicus,Aruncus,Aruncus dioicus,,Aruncus dioicus,,British Columbia
Acer negundo,Acer,Acer negundo,,Acer negundo,,Ontario
Aralia nudicaulis,Aralia,Aralia nudicaulis,,Aralia nudicaulis,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,Arctostaphylos uva-ursi,,Manitoba
