"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"1.11372","Aruncus dioicus var. acuminatus","Aruncus","Aruncus dioicus","var.","acuminatus","British Columbia"
"1.12732","Agastache foeniculum","Agastache","Agastache foeniculum","","","British Columbia"
"1.22672","Amelanchier alnifolia var. alnifolia","Amelanchier","Amelanchier alnifolia","var.","alnifolia","British Columbia"
"1.22800","Arctopoa eminens","Arctopoa","Arctopoa eminens","","","British Columbia"
"1.22841","Amelanchier alnifolia var. cusickii","Amelanchier","Amelanchier alnifolia","var.","cusickii","British Columbia"
"1.22863","Acer saccharum","Acer","Acer saccharum","","","British Columbia"
"1.22907","Allium geyeri var. tenerum","Allium","Allium geyeri","var.","tenerum","British Columbia"
"1.22913","Allium geyeri","Allium","Allium geyeri","","","British Columbia"
"1.23360","Agrostis mertensii","Agrostis","Agrostis mertensii","","","British Columbia"
"1.23444","Abies balsamea","Abies","Abies balsamea","","","British Columbia"
"1.23471","Alnus alnobetula subsp. crispa","Alnus","Alnus alnobetula","subsp.","crispa","British Columbia"
"1.23478","Acmispon americanus var. americanus","Acmispon","Acmispon americanus","var.","americanus","British Columbia"
"1.23750","Amaranthus tuberculatus","Amaranthus","Amaranthus tuberculatus","","","British Columbia"
"1.23756","Allium schoenoprasum var. sibiricum","Allium","Allium schoenoprasum","var.","sibiricum","British Columbia"
"1.23806","Agrostis hyemalis","Agrostis","Agrostis hyemalis","","","British Columbia"
"1.24330","Acer spicatum","Acer","Acer spicatum","","","British Columbia"
"1.25087","Asarum canadense","Asarum","Asarum canadense","","","British Columbia"
"1.25484","Betula occidentalis","Betula","Betula occidentalis","","","British Columbia"
"1.25486","Balsamorhiza sagittata","Balsamorhiza","Balsamorhiza sagittata","","","British Columbia"
"1.25487","Bromus inermis","Bromus","Bromus inermis","","","British Columbia"
"1.25492","Calamagrostis canadensis","Calamagrostis","Calamagrostis canadensis","","","British Columbia"
"1.25496","Blitum capitatum","Blitum","Blitum capitatum","","","British Columbia"
"1.25497","Astragalus miser","Astragalus","Astragalus miser","","","British Columbia"
"1.25499","Betula papyrifera","Betula","Betula papyrifera","","","British Columbia"
"1.25514","Camassia quamash","Camassia","Camassia quamash","","","British Columbia"
"1.25517","Caltha leptosepala","Caltha","Caltha leptosepala","","","British Columbia"
"1.25530","Calypso bulbosa var. americana","Calypso","Calypso bulbosa","var.","americana","British Columbia"
"1.25552","Astragalus agrestis","Astragalus","Astragalus agrestis","","","British Columbia"
"1.25555","Astragalus purshii","Astragalus","Astragalus purshii","","","British Columbia"
"1.25577","Astragalus collinus","Astragalus","Astragalus collinus","","","British Columbia"
"1.25646","Carex obnupta","Carex","Carex obnupta","","","British Columbia"
"1.25657","Calypso bulbosa var. occidentalis","Calypso","Calypso bulbosa","var.","occidentalis","British Columbia"
"1.25664","Calypso bulbosa","Calypso","Calypso bulbosa","","","British Columbia"
"1.25772","Balsamorhiza deltoidea","Balsamorhiza","Balsamorhiza deltoidea","","","British Columbia"
"1.25793","Astragalus americanus","Astragalus","Astragalus americanus","","","British Columbia"
"1.25866","Camassia leichtlinii","Camassia","Camassia leichtlinii","","","British Columbia"
"1.25963","Astragalus bourgovii","Astragalus","Astragalus bourgovii","","","British Columbia"
"1.25968","Astragalus vexilliflexus","Astragalus","Astragalus vexilliflexus","","","British Columbia"
"1.25983","Astragalus alpinus","Astragalus","Astragalus alpinus","","","British Columbia"
"1.25985","Astragalus robbinsii","Astragalus","Astragalus robbinsii","","","British Columbia"
"1.25986","Astragalus canadensis","Astragalus","Astragalus canadensis","","","British Columbia"
"1.26039","Bromus ciliatus","Bromus","Bromus ciliatus","","","British Columbia"
"1.26062","Bromus vulgaris","Bromus","Bromus vulgaris","","","British Columbia"
"1.26319","Camassia leichtlinii subsp. suksdorfii","Camassia","Camassia leichtlinii","subsp.","suksdorfii","British Columbia"
"1.26889","Camassia quamash subsp. maxima","Camassia","Camassia quamash","subsp.","maxima","British Columbia"
"1.27373","Astragalus sclerocarpus","Astragalus","Astragalus sclerocarpus","","","British Columbia"
"1.27888","Astragalus purshii var. purshii","Astragalus","Astragalus purshii","var.","purshii","British Columbia"
"1.27979","Carya cordiformis","Carya","Carya cordiformis","","","British Columbia"
"1.27999","Bromus marginatus","Bromus","Bromus marginatus","","","British Columbia"
"1.28147","Astragalus umbellatus","Astragalus","Astragalus umbellatus","","","British Columbia"
"1.28257","Astragalus laxmannii","Astragalus","Astragalus laxmannii","","","British Columbia"
"1.28278","Astragalus beckwithii","Astragalus","Astragalus beckwithii","","","British Columbia"
"1.28465","Astragalus robbinsii var. minor","Astragalus","Astragalus robbinsii","var.","minor","British Columbia"
"1.28504","Astragalus eucosmus","Astragalus","Astragalus eucosmus","","","British Columbia"
"1.29186","Bromus sitchensis","Bromus","Bromus sitchensis","","","British Columbia"
"1.29253","Carya ovata","Carya","Carya ovata","","","British Columbia"
"1.29446","Bromus anomalus","Bromus","Bromus anomalus","","","British Columbia"
"1.29518","Astragalus tenellus","Astragalus","Astragalus tenellus","","","British Columbia"
"1.29744","Astragalus filipes","Astragalus","Astragalus filipes","","","British Columbia"
"1.29747","Astragalus miser var. serotinus","Astragalus","Astragalus miser","var.","serotinus","British Columbia"
"1.29932","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","British Columbia"
"1.30023","Blitum nuttallianum","Blitum","Blitum nuttallianum","","","British Columbia"
"1.30064","Bromus pacificus","Bromus","Bromus pacificus","","","British Columbia"
"1.30080","Bromus porteri","Bromus","Bromus porteri","","","British Columbia"
"1.30156","Astragalus lentiginosus var. salinus","Astragalus","Astragalus lentiginosus","var.","salinus","British Columbia"
"1.30240","Astragalus canadensis var. brevidens","Astragalus","Astragalus canadensis","var.","brevidens","British Columbia"
"1.30495","Astragalus canadensis var. canadensis","Astragalus","Astragalus canadensis","var.","canadensis","British Columbia"
"1.30504","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","British Columbia"
"1.30609","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","British Columbia"
"1.30678","Astragalus vexilliflexus var. vexilliflexus","Astragalus","Astragalus vexilliflexus","var.","vexilliflexus","British Columbia"
"1.30689","Astragalus lentiginosus","Astragalus","Astragalus lentiginosus","","","British Columbia"
"1.30700","Astragalus beckwithii var. weiserensis","Astragalus","Astragalus beckwithii","var.","weiserensis","British Columbia"
"1.30888","Astragalus purshii var. glareosus","Astragalus","Astragalus purshii","var.","glareosus","British Columbia"
"1.30889","Astragalus lotiflorus","Astragalus","Astragalus lotiflorus","","","British Columbia"
"1.30996","Astragalus collinus var. collinus","Astragalus","Astragalus collinus","var.","collinus","British Columbia"
"1.31007","Astragalus canadensis var. mortonii","Astragalus","Astragalus canadensis","var.","mortonii","British Columbia"
"1.31191","Bromus sitchensis var. aleutensis","Bromus","Bromus sitchensis","var.","aleutensis","British Columbia"
"1.31547","Bromus sitchensis var. sitchensis","Bromus","Bromus sitchensis","var.","sitchensis","British Columbia"
"1.32169","Camassia quamash subsp. quamash","Camassia","Camassia quamash","subsp.","quamash","British Columbia"
"1.32369","Astragalus crassicarpus","Astragalus","Astragalus crassicarpus","","","British Columbia"
"1.32416","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","British Columbia"
"1.32418","Cornus sericea","Cornus","Cornus sericea","","","British Columbia"
"1.32423","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","British Columbia"
"1.32425","Empetrum nigrum","Empetrum","Empetrum nigrum","","","British Columbia"
"1.32426","Comarum palustre","Comarum","Comarum palustre","","","British Columbia"
"1.32431","Dicentra formosa","Dicentra","Dicentra formosa","","","British Columbia"
"1.32435","Cornus unalaschkensis","Cornus","Cornus unalaschkensis","","","British Columbia"
"1.32440","Cornus canadensis","Cornus","Cornus canadensis","","","British Columbia"
"1.32445","Claytonia sibirica","Claytonia","Claytonia sibirica","","","British Columbia"
"1.32468","Crataegus douglasii","Crataegus","Crataegus douglasii","","","British Columbia"
"1.32612","Cornus sericea subsp. occidentalis","Cornus","Cornus sericea","subsp.","occidentalis","British Columbia"
"1.32695","Corylus cornuta","Corylus","Corylus cornuta","","","British Columbia"
"1.32808","Claytonia lanceolata","Claytonia","Claytonia lanceolata","","","British Columbia"
"1.33286","Claytonia perfoliata","Claytonia","Claytonia perfoliata","","","British Columbia"
"1.33426","Drymocallis glandulosa","Drymocallis","Drymocallis glandulosa","","","British Columbia"
"1.33705","Elymus violaceus","Elymus","Elymus violaceus","","","British Columbia"
"1.33728","Crataegus macracantha","Crataegus","Crataegus macracantha","","","British Columbia"
"1.33818","Elymus elymoides","Elymus","Elymus elymoides","","","British Columbia"
"1.34331","Claytonia perfoliata subsp. perfoliata","Claytonia","Claytonia perfoliata","subsp.","perfoliata","British Columbia"
"1.34502","Elymus glaucus","Elymus","Elymus glaucus","","","British Columbia"
"1.35063","Elymus glaucus subsp. glaucus","Elymus","Elymus glaucus","subsp.","glaucus","British Columbia"
"1.35245","Chenopodium leptophyllum","Chenopodium","Chenopodium leptophyllum","","","British Columbia"
"1.35276","Daucus pusillus","Daucus","Daucus pusillus","","","British Columbia"
"1.35282","Cornus sericea subsp. sericea","Cornus","Cornus sericea","subsp.","sericea","British Columbia"
"1.36254","Elymus canadensis","Elymus","Elymus canadensis","","","British Columbia"
"1.36437","Elymus lanceolatus","Elymus","Elymus lanceolatus","","","British Columbia"
"1.38026","Elymus lanceolatus subsp. lanceolatus","Elymus","Elymus lanceolatus","subsp.","lanceolatus","British Columbia"
"1.38027","Elymus hirsutus","Elymus","Elymus hirsutus","","","British Columbia"
"1.39595","Corylus americana","Corylus","Corylus americana","","","British Columbia"
"1.41631","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","British Columbia"
"1.41695","Claytonia megarhiza","Claytonia","Claytonia megarhiza","","","British Columbia"
"1.41927","Drymocallis glandulosa var. glandulosa","Drymocallis","Drymocallis glandulosa","var.","glandulosa","British Columbia"
"1.43045","Chenopodium hians","Chenopodium","Chenopodium hians","","","British Columbia"
"1.43061","Elymus alaskanus subsp. alaskanus","Elymus","Elymus alaskanus","subsp.","alaskanus","British Columbia"
"1.43078","Elymus canadensis var. canadensis","Elymus","Elymus canadensis","var.","canadensis","British Columbia"
"1.43090","Chamaenerion angustifolium subsp. angustifolium","Chamaenerion","Chamaenerion angustifolium","subsp.","angustifolium","British Columbia"
"1.43094","Chamaenerion angustifolium subsp. circumvagum","Chamaenerion","Chamaenerion angustifolium","subsp.","circumvagum","British Columbia"
"1.43121","Elymus elymoides subsp. californicus","Elymus","Elymus elymoides","subsp.","californicus","British Columbia"
"1.43136","Chenopodium berlandieri","Chenopodium","Chenopodium berlandieri","","","British Columbia"
"1.43201","Chenopodium fremontii","Chenopodium","Chenopodium fremontii","","","British Columbia"
"1.43252","Castanea dentata","Castanea","Castanea dentata","","","British Columbia"
"1.43406","Elymus sibiricus","Elymus","Elymus sibiricus","","","British Columbia"
"1.43576","Elymus albicans","Elymus","Elymus albicans","","","British Columbia"
"1.43678","Elymus elymoides subsp. elymoides","Elymus","Elymus elymoides","subsp.","elymoides","British Columbia"
"1.43724","Elymus alaskanus","Elymus","Elymus alaskanus","","","British Columbia"
"1.43961","Chenopodium desiccatum","Chenopodium","Chenopodium desiccatum","","","British Columbia"
"1.44101","Chenopodiastrum simplex","Chenopodiastrum","Chenopodiastrum simplex","","","British Columbia"
"1.44407","Elymus macrourus","Elymus","Elymus macrourus","","","British Columbia"
"1.45432","Chenopodium berlandieri var. zschackei","Chenopodium","Chenopodium berlandieri","var.","zschackei","British Columbia"
"1.45772","Fragaria virginiana","Fragaria","Fragaria virginiana","","","British Columbia"
"1.45773","Holodiscus discolor","Holodiscus","Holodiscus discolor","","","British Columbia"
"1.45777","Gaultheria shallon","Gaultheria","Gaultheria shallon","","","British Columbia"
"1.45778","Fragaria vesca","Fragaria","Fragaria vesca","","","British Columbia"
"1.45804","Gaillardia aristata","Gaillardia","Gaillardia aristata","","","British Columbia"
"1.45812","Fragaria chiloensis","Fragaria","Fragaria chiloensis","","","British Columbia"
"1.45837","Fritillaria affinis","Fritillaria","Fritillaria affinis","","","British Columbia"
"1.45840","Honckenya peploides","Honckenya","Honckenya peploides","","","British Columbia"
"1.45846","Gaultheria ovatifolia","Gaultheria","Gaultheria ovatifolia","","","British Columbia"
"1.45847","Humulus lupulus","Humulus","Humulus lupulus","","","British Columbia"
"1.45849","Hordeum jubatum","Hordeum","Hordeum jubatum","","","British Columbia"
"1.45853","Frangula purshiana","Frangula","Frangula purshiana","","","British Columbia"
"1.46007","Gaultheria hispidula","Gaultheria","Gaultheria hispidula","","","British Columbia"
"1.46011","Fritillaria pudica","Fritillaria","Fritillaria pudica","","","British Columbia"
"1.46151","Helianthus annuus","Helianthus","Helianthus annuus","","","British Columbia"
"1.46156","Erythronium grandiflorum","Erythronium","Erythronium grandiflorum","","","British Columbia"
"1.46163","Fritillaria camschatcensis","Fritillaria","Fritillaria camschatcensis","","","British Columbia"
"1.46262","Erythronium oregonum","Erythronium","Erythronium oregonum","","","British Columbia"
"1.46296","Gaultheria humifusa","Gaultheria","Gaultheria humifusa","","","British Columbia"
"1.46580","Hosackia pinnata","Hosackia","Hosackia pinnata","","","British Columbia"
"1.46708","Hedysarum occidentale","Hedysarum","Hedysarum occidentale","","","British Columbia"
"1.46927","Festuca occidentalis","Festuca","Festuca occidentalis","","","British Columbia"
"1.46952","Juglans cinerea","Juglans","Juglans cinerea","","","British Columbia"
"1.46970","Festuca subulata","Festuca","Festuca subulata","","","British Columbia"
"1.47069","Hedysarum sulphurescens","Hedysarum","Hedysarum sulphurescens","","","British Columbia"
"1.47152","Erythronium revolutum","Erythronium","Erythronium revolutum","","","British Columbia"
"1.47362","Festuca altaica","Festuca","Festuca altaica","","","British Columbia"
"1.47765","Hordeum brachyantherum","Hordeum","Hordeum brachyantherum","","","British Columbia"
"1.47905","Hedysarum boreale","Hedysarum","Hedysarum boreale","","","British Columbia"
"1.48168","Festuca subuliflora","Festuca","Festuca subuliflora","","","British Columbia"
"1.48584","Hosackia gracilis","Hosackia","Hosackia gracilis","","","British Columbia"
"1.50387","Festuca rubra","Festuca","Festuca rubra","","","British Columbia"
"1.50750","Hamamelis virginiana","Hamamelis","Hamamelis virginiana","","","British Columbia"
"1.51824","Heuchera chlorantha","Heuchera","Heuchera chlorantha","","","British Columbia"
"1.51937","Fragaria virginiana subsp. platypetala","Fragaria","Fragaria virginiana","subsp.","platypetala","British Columbia"
"1.53270","Fragaria vesca subsp. americana","Fragaria","Fragaria vesca","subsp.","americana","British Columbia"
"1.56738","Erythronium grandiflorum subsp. grandiflorum","Erythronium","Erythronium grandiflorum","subsp.","grandiflorum","British Columbia"
"1.56949","Fragaria virginiana subsp. glauca","Fragaria","Fragaria virginiana","subsp.","glauca","British Columbia"
"1.57556","Fraxinus americana","Fraxinus","Fraxinus americana","","","British Columbia"
"1.57578","Fraxinus pennsylvanica","Fraxinus","Fraxinus pennsylvanica","","","British Columbia"
"1.57762","Honckenya peploides subsp. major","Honckenya","Honckenya peploides","subsp.","major","British Columbia"
"1.59244","Fragaria virginiana subsp. virginiana","Fragaria","Fragaria virginiana","subsp.","virginiana","British Columbia"
"1.59249","Helianthus maximiliani","Helianthus","Helianthus maximiliani","","","British Columbia"
"1.59265","Helianthus nuttallii subsp. rydbergii","Helianthus","Helianthus nuttallii","subsp.","rydbergii","British Columbia"
"1.59407","Fragaria vesca subsp. bracteata","Fragaria","Fragaria vesca","subsp.","bracteata","British Columbia"
"1.59424","Festuca rubra subsp. pruinosa","Festuca","Festuca rubra","subsp.","pruinosa","British Columbia"
"1.59731","Festuca viridula","Festuca","Festuca viridula","","","British Columbia"
"1.59816","Festuca rubra subsp. rubra","Festuca","Festuca rubra","subsp.","rubra","British Columbia"
"1.59845","Hedysarum boreale subsp. boreale","Hedysarum","Hedysarum boreale","subsp.","boreale","British Columbia"
"1.59973","Helianthus tuberosus","Helianthus","Helianthus tuberosus","","","British Columbia"
"1.60520","Festuca rubra subsp. secunda","Festuca","Festuca rubra","subsp.","secunda","British Columbia"
"1.60540","Festuca rubra subsp. vallicola","Festuca","Festuca rubra","subsp.","vallicola","British Columbia"
"1.60552","Helianthus pauciflorus subsp. subrhomboideus","Helianthus","Helianthus pauciflorus","subsp.","subrhomboideus","British Columbia"
"1.60556","Fragaria chiloensis subsp. lucida","Fragaria","Fragaria chiloensis","subsp.","lucida","British Columbia"
"1.60638","Fragaria chiloensis subsp. pacifica","Fragaria","Fragaria chiloensis","subsp.","pacifica","British Columbia"
"1.60666","Helianthus nuttallii","Helianthus","Helianthus nuttallii","","","British Columbia"
"1.60673","Festuca rubra subsp. aucta","Festuca","Festuca rubra","subsp.","aucta","British Columbia"
"1.60824","Fritillaria affinis var. affinis","Fritillaria","Fritillaria affinis","var.","affinis","British Columbia"
"1.60892","Hedysarum boreale subsp. mackenziei","Hedysarum","Hedysarum boreale","subsp.","mackenziei","British Columbia"
"1.60988","Hedysarum americanum","Hedysarum","Hedysarum americanum","","","British Columbia"
"1.61217","Holodiscus discolor var. discolor","Holodiscus","Holodiscus discolor","var.","discolor","British Columbia"
"1.61420","Helianthus pauciflorus","Helianthus","Helianthus pauciflorus","","","British Columbia"
"1.61601","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","British Columbia"
"1.61602","Opuntia fragilis","Opuntia","Opuntia fragilis","","","British Columbia"
"1.61603","Oplopanax horridus","Oplopanax","Oplopanax horridus","","","British Columbia"
"1.61604","Lysichiton americanus","Lysichiton","Lysichiton americanus","","","British Columbia"
"1.61606","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","British Columbia"
"1.61607","Juniperus communis","Juniperus","Juniperus communis","","","British Columbia"
"1.61609","Juniperus scopulorum","Juniperus","Juniperus scopulorum","","","British Columbia"
"1.61617","Larix occidentalis","Larix","Larix occidentalis","","","British Columbia"
"1.61618","Maianthemum dilatatum","Maianthemum","Maianthemum dilatatum","","","British Columbia"
"1.61620","Lomatium macrocarpum","Lomatium","Lomatium macrocarpum","","","British Columbia"
"1.61624","Maianthemum stellatum","Maianthemum","Maianthemum stellatum","","","British Columbia"
"1.61629","Lonicera involucrata","Lonicera","Lonicera involucrata","","","British Columbia"
"1.61633","Monotropa uniflora","Monotropa","Monotropa uniflora","","","British Columbia"
"1.61637","Lomatium ambiguum","Lomatium","Lomatium ambiguum","","","British Columbia"
"1.61652","Juniperus horizontalis","Juniperus","Juniperus horizontalis","","","British Columbia"
"1.61658","Kalmia microphylla","Kalmia","Kalmia microphylla","","","British Columbia"
"1.61678","Mahonia nervosa","Mahonia","Mahonia nervosa","","","British Columbia"
"1.61704","Lonicera ciliosa","Lonicera","Lonicera ciliosa","","","British Columbia"
"1.61732","Leymus mollis","Leymus","Leymus mollis","","","British Columbia"
"1.61733","Myrica gale","Myrica","Myrica gale","","","British Columbia"
"1.61740","Lupinus polyphyllus","Lupinus","Lupinus polyphyllus","","","British Columbia"
"1.61771","Lilium columbianum","Lilium","Lilium columbianum","","","British Columbia"
"1.61808","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis","","","British Columbia"
"1.61823","Lonicera utahensis","Lonicera","Lonicera utahensis","","","British Columbia"
"1.61852","Lathyrus littoralis","Lathyrus","Lathyrus littoralis","","","British Columbia"
"1.61983","Lomatium nudicaule","Lomatium","Lomatium nudicaule","","","British Columbia"
"1.62057","Oenanthe sarmentosa","Oenanthe","Oenanthe sarmentosa","","","British Columbia"
"1.62198","Micromeria douglasii","Micromeria","Micromeria douglasii","","","British Columbia"
"1.62478","Lomatium utriculatum","Lomatium","Lomatium utriculatum","","","British Columbia"
"1.62592","Larix lyallii","Larix","Larix lyallii","","","British Columbia"
"1.62633","Leymus innovatus","Leymus","Leymus innovatus","","","British Columbia"
"1.62706","Juglans nigra","Juglans","Juglans nigra","","","British Columbia"
"1.62762","Mentha canadensis","Mentha","Mentha canadensis","","","British Columbia"
"1.62777","Lomatium dissectum","Lomatium","Lomatium dissectum","","","British Columbia"
"1.62786","Lomatium foeniculaceum subsp. foeniculaceum","Lomatium","Lomatium foeniculaceum","subsp.","foeniculaceum","British Columbia"
"1.62815","Leymus cinereus","Leymus","Leymus cinereus","","","British Columbia"
"1.62844","Mahonia repens","Mahonia","Mahonia repens","","","British Columbia"
"1.63531","Lomatium geyeri","Lomatium","Lomatium geyeri","","","British Columbia"
"1.63718","Juniperus communis var. depressa","Juniperus","Juniperus communis","var.","depressa","British Columbia"
"1.63868","Lathyrus nevadensis","Lathyrus","Lathyrus nevadensis","","","British Columbia"
"1.63945","Lomatium triternatum","Lomatium","Lomatium triternatum","","","British Columbia"
"1.64219","Lupinus nootkatensis","Lupinus","Lupinus nootkatensis","","","British Columbia"
"1.64299","Monarda fistulosa","Monarda","Monarda fistulosa","","","British Columbia"
"1.64445","Linum lewisii","Linum","Linum lewisii","","","British Columbia"
"1.64734","Nymphaea tetragona","Nymphaea","Nymphaea tetragona","","","British Columbia"
"1.65015","Lactuca pulchella","Lactuca","Lactuca pulchella","","","British Columbia"
"1.65930","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","British Columbia"
"1.66447","Melica subulata","Melica","Melica subulata","","","British Columbia"
"1.67064","Larix laricina","Larix","Larix laricina","","","British Columbia"
"1.67517","Lonicera involucrata var. involucrata","Lonicera","Lonicera involucrata","var.","involucrata","British Columbia"
"1.67589","Kalmia microphylla var. occidentalis","Kalmia","Kalmia microphylla","var.","occidentalis","British Columbia"
"1.67936","Linum perenne","Linum","Linum perenne","","","British Columbia"
"1.68843","Lupinus littoralis","Lupinus","Lupinus littoralis","","","British Columbia"
"1.72697","Kalmia microphylla var. microphylla","Kalmia","Kalmia microphylla","var.","microphylla","British Columbia"
"1.73701","Juniperus communis var. charlottensis","Juniperus","Juniperus communis","var.","charlottensis","British Columbia"
"1.74262","Opuntia polyacantha","Opuntia","Opuntia polyacantha","","","British Columbia"
"1.85476","Leymus mollis subsp. mollis","Leymus","Leymus mollis","subsp.","mollis","British Columbia"
"1.87785","Lomatium foeniculaceum","Lomatium","Lomatium foeniculaceum","","","British Columbia"
"1.90692","Monarda fistulosa var. menthifolia","Monarda","Monarda fistulosa","var.","menthifolia","British Columbia"
"1.90791","Nicotiana attenuata","Nicotiana","Nicotiana attenuata","","","British Columbia"
"1.90813","Melica bulbosa","Melica","Melica bulbosa","","","British Columbia"
"1.90881","Lupinus polyphyllus var. polyphyllus","Lupinus","Lupinus polyphyllus","var.","polyphyllus","British Columbia"
"1.91002","Leymus innovatus subsp. innovatus","Leymus","Leymus innovatus","subsp.","innovatus","British Columbia"
"1.91162","Lupinus nootkatensis var. nootkatensis","Lupinus","Lupinus nootkatensis","var.","nootkatensis","British Columbia"
"1.91384","Linum lewisii var. lewisii","Linum","Linum lewisii","var.","lewisii","British Columbia"
"1.91419","Juniperus communis var. saxatilis","Juniperus","Juniperus communis","var.","saxatilis","British Columbia"
"1.91472","Lathyrus nevadensis var. nevadensis","Lathyrus","Lathyrus nevadensis","var.","nevadensis","British Columbia"
"1.91489","Monarda fistulosa var. mollis","Monarda","Monarda fistulosa","var.","mollis","British Columbia"
"1.91569","Leymus triticoides","Leymus","Leymus triticoides","","","British Columbia"
"1.93563","Phalaris arundinacea","Phalaris","Phalaris arundinacea","","","British Columbia"
"1.93564","Pinus ponderosa","Pinus","Pinus ponderosa","","","British Columbia"
"1.93567","Populus tremuloides","Populus","Populus tremuloides","","","British Columbia"
"1.93568","Pinus contorta","Pinus","Pinus contorta","","","British Columbia"
"1.93573","Philadelphus lewisii","Philadelphus","Philadelphus lewisii","","","British Columbia"
"1.93581","Poa pratensis","Poa","Poa pratensis","","","British Columbia"
"1.93582","Plantago maritima","Plantago","Plantago maritima","","","British Columbia"
"1.93604","Pinus contorta var. latifolia","Pinus","Pinus contorta","var.","latifolia","British Columbia"
"1.93605","Pinus albicaulis","Pinus","Pinus albicaulis","","","British Columbia"
"1.93621","Pinus monticola","Pinus","Pinus monticola","","","British Columbia"
"1.93631","Picea sitchensis","Picea","Picea sitchensis","","","British Columbia"
"1.93656","Pinus contorta var. contorta","Pinus","Pinus contorta","var.","contorta","British Columbia"
"1.93717","Pinus banksiana","Pinus","Pinus banksiana","","","British Columbia"
"1.93738","Populus balsamifera","Populus","Populus balsamifera","","","British Columbia"
"1.93789","Phleum alpinum","Phleum","Phleum alpinum","","","British Columbia"
"1.93927","Physaria douglasii","Physaria","Physaria douglasii","","","British Columbia"
"1.94122","Poa secunda subsp. secunda","Poa","Poa secunda","subsp.","secunda","British Columbia"
"1.94146","Picea engelmannii","Picea","Picea engelmannii","","","British Columbia"
