"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"1","Aralia nudicaulis","Aralia","Aralia nudicaulis","","","British Columbia"
"1.1","Acer glabrum","Acer","Acer glabrum","","","British Columbia"
"1.2","Arctostaphylos uva-ursi","Arctostaphylos","Arctostaphylos uva-ursi","","","British Columbia"
"1.5","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia","","","British Columbia"
"1.7","Achillea millefolium","Achillea","Achillea millefolium","","","British Columbia"
"1.8","Arctostaphylos columbiana","Arctostaphylos","Arctostaphylos columbiana","","","British Columbia"
"1.11","Acer macrophyllum","Acer","Acer macrophyllum","","","British Columbia"
"1.13","Arbutus menziesii","Arbutus","Arbutus menziesii","","","British Columbia"
"1.16","Arnica cordifolia","Arnica","Arnica cordifolia","","","British Columbia"
"1.18","Aruncus dioicus","Aruncus","Aruncus dioicus","","","British Columbia"
"1.36","Acer circinatum","Acer","Acer circinatum","","","British Columbia"
"1.46","Abies amabilis","Abies","Abies amabilis","","","British Columbia"
"1.53","Allium cernuum","Allium","Allium cernuum","","","British Columbia"
"1.54","Ambrosia chamissonis","Ambrosia","Ambrosia chamissonis","","","British Columbia"
"1.72","Asarum caudatum","Asarum","Asarum caudatum","","","British Columbia"
"1.75","Abies grandis","Abies","Abies grandis","","","British Columbia"
"1.178","Alnus rubra","Alnus","Alnus rubra","","","British Columbia"
"1.205","Abies lasiocarpa","Abies","Abies lasiocarpa","","","British Columbia"
"1.207","Allium acuminatum","Allium","Allium acuminatum","","","British Columbia"
"1.275","Amaranthus retroflexus","Amaranthus","Amaranthus retroflexus","","","British Columbia"
"1.276","Alnus alnobetula subsp. sinuata","Alnus","Alnus alnobetula","subsp.","sinuata","British Columbia"
"1.366","Acmispon denticulatus","Acmispon","Acmispon denticulatus","","","British Columbia"
"1.472","Acer negundo","Acer","Acer negundo","","","British Columbia"
"1.636","Allium schoenoprasum","Allium","Allium schoenoprasum","","","British Columbia"
"1.738","Agastache urticifolia","Agastache","Agastache urticifolia","","","British Columbia"
"1.1654","Alnus alnobetula","Alnus","Alnus alnobetula","","","British Columbia"
"1.1754","Alnus incana","Alnus","Alnus incana","","","British Columbia"
"1.1765","Acmispon parviflorus","Acmispon","Acmispon parviflorus","","","British Columbia"
"1.1876","Allium amplectens","Allium","Allium amplectens","","","British Columbia"
"1.2047","Acer saccharinum","Acer","Acer saccharinum","","","British Columbia"
"1.2363","Allium crenulatum","Allium","Allium crenulatum","","","British Columbia"
"1.2620","Acer glabrum var. douglasii","Acer","Acer glabrum","var.","douglasii","British Columbia"
"1.6621","Agrostis exarata","Agrostis","Agrostis exarata","","","British Columbia"
"1.6857","Acer rubrum","Acer","Acer rubrum","","","British Columbia"
"1.7895","Amelanchier arborea","Amelanchier","Amelanchier arborea","","","British Columbia"
"1.10339","Amaranthus albus","Amaranthus","Amaranthus albus","","","British Columbia"
"1.11007","Acmispon americanus","Acmispon","Acmispon americanus","","","British Columbia"
