TAXON,DMS,,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 65.9W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.8N, 65.2W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.1N, 65.9W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.3N, 64.9W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 66.1W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.1N, 64.6W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.1N, 64.6W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"55.8N, 124.8W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"56.1N, 125.2W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"56.0N, 122.2W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"53.3N, 132.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"53.3N, 132.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"51.1N, 125.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"54.5N, 128.5W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"54.0N, 126.7W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"59.6N, 129.2W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"55.2N, 121.3W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"56.9N, 125.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"58.7N, 122.5W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"56.9N, 125.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"55.2N, 121.3W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"55.3N, 123.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"55.4N, 122.6W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"54.0N, 126.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"53.7N, 122.7W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.2N, 125.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"52.9N, 127.1W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"52.8N, 121.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"52.8N, 121.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"52.8N, 121.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 124.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"58.8N, 122.7W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.2N, 124.6W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.6N, 124.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.5N, 123.3W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"53.1N, 132.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"53.6N, 131.9W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.1N, 120.8W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"54.2N, 130.3W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"65.8N, 129.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.3N, 124.6W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.1N, 125.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"48.4N, 123.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"51.3N, 117.5W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.0N, 121.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.2N, 121.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.4N, 122.0W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"49.2N, 121.4W",,,,,,,,,,,,
Elymus glaucus subsp. virescens,"53.1N, 121.5W",,,,,,,,,,,,
Fragaria ×ananassa,"52.3N, 113.8W",,,,,,,,,,,,
Fragaria ×ananassa,"49.6N, 125.1W",,,,,,,,,,,,
Fragaria ×ananassa,"49.5N, 123.3W",,,,,,,,,,,,
Fragaria ×ananassa,"49.8N, 122.9W",,,,,,,,,,,,
Fragaria ×ananassa,"49.9N, 125.1W",,,,,,,,,,,,
Fragaria ×ananassa,"43.6N, 79.4W",,,,,,,,,,,,
