"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE"
"1","×Duarctopoa labradorica","×Duarctopoa","×Duarctopoa labradorica",NA,NA,"Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"2","Acer negundo var. texanum","Acer","Acer negundo","var.","texanum","Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"3","Allium geyeri var. geyeri","Allium","Allium geyeri","var.","geyeri","Allium",NA,"Y","Y","Y","Geyer's onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"4","Amaranthus tuberculatus var. rudis","Amaranthus","Amaranthus tuberculatus","var.","rudis","Amaranth",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Cereals and pseudocereals","Ornamental","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"5","Amaranthus tuberculatus var. tuberculatus","Amaranthus","Amaranthus tuberculatus","var.","tuberculatus","Amaranth",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Cereals and pseudocereals","Ornamental","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"6","Amelanchier alnifolia var. pumila","Amelanchier","Amelanchier alnifolia","var.","pumila","Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"7","Amelanchier alnifolia var. semiintegrifloia","Amelanchier","Amelanchier alnifolia","var.","semiintegrifloia","Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"8","Amelanchier amabilis","Amelanchier","Amelanchier amabilis",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"9","Amelanchier canadensis var. canadensis","Amelanchier","Amelanchier canadensis","var.","canadensis","Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"10","Amelanchier cusickii","Amelanchier","Amelanchier cusickii",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"11","Amelanchier nantucketensis","Amelanchier","Amelanchier nantucketensis",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"12","Arctous alpina","Arctous","Arctous alpina",NA,NA,"Bearberry",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"13","Arctous rubra","Arctous","Arctous rubra",NA,NA,"Bearberry",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"14","Aruncus dioicus var. vulgaris","Aruncus","Aruncus dioicus","var.","vulgaris","Goatsbeard",NA,"Y","N","Y","","N","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"15","Asarum caudatum var. caudatum","Asarum","Asarum caudatum","var.","caudatum","Wild-ginger",NA,"Y","N","Y","wild ginger; rhizomes as condiment","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"16","Astragalus gilviflorus var. gilviflorus","Astragalus","Astragalus gilviflorus","var.","gilviflorus","Milk-vetch",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"17","Astragalus gracilis","Astragalus","Astragalus gracilis",NA,NA,"Milk-vetch",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"18","Astragalus microcystis","Astragalus","Astragalus microcystis",NA,NA,"Milk-vetch",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
