"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE"
"1","Amelanchier pumila","Amelanchier","Amelanchier pumila",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"2","Arctostaphylos alpina","Arctous","Arctous alpina",NA,NA,"Bearberry",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"3","Coleataenia longifolia var. longifolia","Coleataenia","Coleataenia longifolia","subsp.","longifolia","Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"4","Elymus glaucus subsp. virescens ","Elymus","Elymus glaucus","subsp.","virescens","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"5","Fragaria ×ananassa","Fragaria","Fragaria ×ananassa",NA,NA,"Strawberry",NA,"N","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"6","Helianthus ×laetiflorus","Helianthus","Helianthus ×laetiflorus",NA,NA,"Sunflower",NA,"Y","Y","N","","N","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021",""
"7","Leymus mollis subsp. villosissimus","Leymus","Leymus mollis","subsp.","villosissimus","Barley","Wheat","Y","Y","Y","wild rye grass; grains","Y","Food","","Food","Cereals and pseudocereals","","","Cereals and pseudocereals","1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"8","Poa pratensis subsp. irrigata","Poa","Poa pratensis","subsp.","irrigata","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"9","Rubus ×paracaulis","Rubus","Rubus ×paracaulis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"10","Rubus ×setosus","Rubus","Rubus ×setosus",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"11","Rubus chloocladus","Rubus","Rubus chloocladus",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"12","Sedum oreganum subsp. oreganum","Sedum","Sedum oreganum","subsp.","oreganum","Sedum",NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
