"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"2474","Rosa palustris","Rosa","Rosa palustris","","","Nova Scotia"
"2475","Ribes viscosissimum","Ribes","Ribes viscosissimum","","","Alberta"
"2476","Ribes hudsonianum","Ribes","Ribes hudsonianum","","","Alberta"
"2477","Prunus nigra","Prunus","Prunus nigra","","","Manitoba"
"2478","Ribes americanum","Ribes","Ribes americanum","","","Alberta"
"2479","Populus trichocarpa","Populus","Populus trichocarpa","","","Alberta"
"2480","Rosa acicularis","Rosa","Rosa acicularis","","","Prince Edward Island"
"2481","Ribes oxyacanthoides","Ribes","Ribes oxyacanthoides","","","British Columbia"
"2482","Ribes triste","Ribes","Ribes triste","","","Northwest Territories"
"2483","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Quebec"
"2484","Rosa arkansana","Rosa","Rosa arkansana","","","British Columbia"
"2485","Ribes hudsonianum","Ribes","Ribes hudsonianum","","","Ontario"
"2486","Prunus americana","Prunus","Prunus americana","","","Quebec"
"2487","Prunus pumila","Prunus","Prunus pumila","","","New Brunswick"
"2488","Prunus nigra","Prunus","Prunus nigra","","","New Brunswick"
"2489","Ribes aureum","Ribes","Ribes aureum","","","Quebec"
"2490","Ribes lobbii","Ribes","Ribes lobbii","","","British Columbia"
"2491","Ribes cereum var. cereum","Ribes","Ribes cereum","var.","cereum","British Columbia"
"2492","Rubus paracaulis","Rubus","Rubus paracaulis","","","Newfoundland and Labrador"
"2493","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","Alberta"
"2494","Ribes inerme var. inerme","Ribes","Ribes inerme","var.","inerme","Alberta"
"2495","Ribes triste","Ribes","Ribes triste","","","Newfoundland and Labrador"
"2496","Rubus arcticus","Rubus","Rubus arcticus","","","Quebec"
"2497","Prunus nigra","Prunus","Prunus nigra","","","Nova Scotia"
"2498","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Ontario"
"2499","Rubus allegheniensis","Rubus","Rubus allegheniensis","","","New Brunswick"
"2500","Rosa blanda","Rosa","Rosa blanda","","","New Brunswick"
"2501","Rosa gymnocarpa var. gymnocarpa","Rosa","Rosa gymnocarpa","var.","gymnocarpa","British Columbia"
"2502","Prunus serotina var. serotina","Prunus","Prunus serotina","var.","serotina","Quebec"
"2503","Prunus pumila","Prunus","Prunus pumila","","","Quebec"
"2504","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Newfoundland and Labrador"
"2505","Rosa acicularis","Rosa","Rosa acicularis","","","Quebec"
"2506","Ribes hirtellum","Ribes","Ribes hirtellum","","","Quebec"
"2507","Rosa pisocarpa","Rosa","Rosa pisocarpa","","","British Columbia"
"2508","Quercus rubra","Quercus","Quercus rubra","","","Newfoundland and Labrador"
"2509","Ribes aureum","Ribes","Ribes aureum","","","Newfoundland and Labrador"
"2510","Ribes lacustre","Ribes","Ribes lacustre","","","Newfoundland and Labrador"
"2511","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","Alberta"
"2512","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Alberta"
"2513","Rosa woodsii subsp. woodsii","Rosa","Rosa woodsii","subsp.","woodsii","Alberta"
"2514","Rhododendron neoglandulosum","Rhododendron","Rhododendron neoglandulosum","","","British Columbia"
"2515","Rubus arcticus subsp. stellatus","Rubus","Rubus arcticus","subsp.","stellatus","British Columbia"
"2516","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","Saskatchewan"
"2517","Rosa carolina","Rosa","Rosa carolina","","","Quebec"
"2518","Rosa woodsii","Rosa","Rosa woodsii","","","Ontario"
"2519","Rosa arkansana","Rosa","Rosa arkansana","","","Ontario"
"2520","Ribes hudsonianum var. petiolare","Ribes","Ribes hudsonianum","var.","petiolare","British Columbia"
"2521","Prunus pumila var. besseyi","Prunus","Prunus pumila","var.","besseyi","Ontario"
"2522","Prunus virginiana var. virginiana","Prunus","Prunus virginiana","var.","virginiana","Saskatchewan"
"2523","Rubus allegheniensis","Rubus","Rubus allegheniensis","","","Prince Edward Island"
"2524","Ribes hudsonianum","Ribes","Ribes hudsonianum","","","Manitoba"
"2525","Ribes oxyacanthoides","Ribes","Ribes oxyacanthoides","","","Ontario"
