issue,new_taxon,TAXON,GENUS,SPECIES,RANK,INFRASPECIFC,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,CATEGORY,TIER,GENEPOOL,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
synonym,Panicum boreale,Dichanthelium boreale,Dichanthelium,Dichanthelium boreale,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum clandestinum,Dichanthelium clandestinum,Dichanthelium,Dichanthelium clandestinum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum depauperatum,Dichanthelium depauperatum,Dichanthelium,Dichanthelium depauperatum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum dichotomum,Dichanthelium dichotomum,Dichanthelium,Dichanthelium dichotomum,NA,NA,Proso millet,NA,N,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
ambiguous acceptance,,Dichanthelium dichotomum subsp. dichotomum,Dichanthelium,Dichanthelium dichotomum,subsp.,dichotomum,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum acuminatum,Dichanthelium implicatum,Dichanthelium,Dichanthelium implicatum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum latifolium,Dichanthelium latifolium,Dichanthelium,Dichanthelium latifolium,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum leibergii,Dichanthelium leibergii,Dichanthelium,Dichanthelium leibergii,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum linearifolium,Dichanthelium linearifolium,Dichanthelium,Dichanthelium linearifolium,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum meridionale,Dichanthelium meridionale,Dichanthelium,Dichanthelium meridionale,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum linearifolium,Dichanthelium perlongum,Dichanthelium,Dichanthelium perlongum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum acuminatum,Dichanthelium praecocius,Dichanthelium,Dichanthelium praecocius,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum sphaerocarpon,Dichanthelium sphaerocarpon,Dichanthelium,Dichanthelium sphaerocarpon,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum aciculare,Dichanthelium subvillosum,Dichanthelium,Dichanthelium subvillosum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum wilcoxianum,Dichanthelium wilcoxianum,Dichanthelium,Dichanthelium wilcoxianum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Panicum xanthophysum,Dichanthelium xanthophysum,Dichanthelium,Dichanthelium xanthophysum,NA,NA,Proso millet,NA,Y,Y,N,,Y,Food,,Na,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Elymus sajanensis,Elymus alaskanus subsp. hyperarcticus,Elymus,Elymus alaskanus,subsp.,hyperarcticus,Wheat,Wild-rye,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Elymus canadensis,Elymus canadensis var. brachystachys,Elymus,Elymus canadensis,var.,brachystachys,Wheat,Wild-rye,Y,Y,Y,wild rye grass; grains,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Elymus glaucus subsp. virescens ,Elymus,Elymus glaucus,subsp.,virescens,Wheat,Wild-rye,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Elymus canadensis,Elymus wiegandii ,Elymus,Elymus wiegandii,,NA,Wheat,Wild-rye,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Festuca richardsonii,Festuca rubra subsp. arctica,Festuca,Festuca rubra,subsp.,arctica,Fescue,NA,Y,Y,N,,Y,Food,Cultural,NA,Forage and Feed,Ornamentals,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Festuca richardsonii,Festuca rubra subsp. mediana,Festuca,Festuca rubra,subsp.,mediana,Fescue,NA,Y,Y,N,,Y,Food,Cultural,NA,Forage and Feed,Ornamentals,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
occurrence points but no download? Try to manually add them to the next GBIF output,,Fragaria ×ananassa,Fragaria,Fragaria ×ananassa,NA,NA,Strawberry,NA,N,Y,Y,strawberry; fruit,N,Food,,NA,Fruits,,,NA,1A,1,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Fragaria ×ananassa subsp. ananassa,Fragaria,Fragaria ×ananassa,subsp.,ananassa,Strawberry,NA,Y,Y,Y,strawberry; fruit,N,Food,,NA,Fruits,,,NA,1A,1,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Fragaria ×ananassa subsp. cuneifolia,Fragaria,Fragaria ×ananassa,subsp.,cuneifolia,Strawberry,NA,Y,Y,Y,strawberry; fruit,N,Food,,NA,Fruits,,,NA,1A,1,Primary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Frangula purshiana subsp. purshiana,Frangula,Frangula purshiana,subsp.,purshiana,Buckthorn,NA,Y,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Hedysarum occidentale,Hedysarum occidentale var. occidentale,Hedysarum,Hedysarum occidentale,var.,occidentale,Sainfoin,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
occurrence points but no download? Try to manually add them to the next GBIF output,,Helianthus ×laetiflorus,Helianthus,Helianthus ×laetiflorus,NA,NA,Sunflower,NA,Y,Y,N,,N,Food,,NA,Oils,,,NA,1C,1,Tertiary,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,GRIN-Global 2021,GRIN-Global 2021,
occurrence points but no download? Try to manually add them to the next GBIF output,,Helianthus petiolaris subsp. petiolaris,Helianthus,Helianthus petiolaris,subsp.,petiolaris,Sunflower,NA,Y,Y,N,,Y,Food,,NA,Oils,,,NA,1B,1,Secondary,,,,Disease Resistance (B),,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Heracleum sphondylium subsp. montanum,Heracleum maximum,Heracleum,Heracleum maximum,NA,NA,Cow-parsnip,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Hordeum depressum,Hordeum,Hordeum depressum,NA,NA,Barley,NA,Y,Y,N,,N,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
occurrence points but no download? Try to manually add them to the next GBIF output,,Hordeum pusillum,Hordeum,Hordeum pusillum,NA,NA,Barley,NA,Y,Y,N,,N,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
occurrence points but no download? Try to manually add them to the next GBIF output,,Lathyrus lanszwertii,Lathyrus,Lathyrus lanszwertii,NA,NA,Lathyrus,NA,N,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
occurrence points but no download? Try to manually add them to the next GBIF output,,Lathyrus lanszwertii var. bijugatus,Lathyrus,Lathyrus lanszwertii,var.,bijugatus,Lathyrus,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Leymus villosissimus,Leymus mollis subsp. villosissimus,Leymus,Leymus mollis,subsp.,villosissimus,Barley,Wheat,Y,Y,Y,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,1C,1,Tertiary,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Linum rigidum var. rigidum,Linum,Linum rigidum,var.,rigidum,Flax,NA,Y,Y,N,,Y,Materials,,NA,Materials,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
occurrence points but no download? Try to manually add them to the next GBIF output,,Linum virginianum,Linum,Linum virginianum,NA,NA,Flax,NA,Y,Y,N,,Y,Materials,,NA,Materials,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Lupinus burkei,Lupinus polyphyllus var. burkei,Lupinus,Lupinus polyphyllus,var.,burkei,Andean lupin,NA,Y,Y,Y,used directly as an ornamental,Y,Food,Cultural,NA,Pulses,Ornamentals,,NA,1A,1,Progenitor,,,,,,Gene Transfer (F),Ornamental Features (AG),Crop Quality (AG),High Yield (AG),,GRIN-Global 2021,GRIN-Global 2021,Khoury et al. 2020
synonym,Mahonia aquifolium,Mahonia aquifolia,Mahonia,Mahonia aquifolia,NA,NA,Barberry,NA,Y,N,Y,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Sinomalus fusca,Malus fusca,Malus,Malus fusca,NA,NA,Apple,NA,Y,Y,Y,fruit,Y,Food,,NA,Fruits,,,NA,1A,1,Tertiary,Graftstock,,,Disease Resistance (B),,Gene Transfer (F),,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
synonym,Nuphar polysepalum,Nuphar polysepala,Nuphar,Nuphar polysepala,NA,NA,Water-lily,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
occurrence points but no download? Try to manually add them to the next GBIF output,,Oxybasis rubra var. rubra,Oxybasis,Oxybasis rubra,var.,rubra,Quinoa,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
synonym,Elymus smithii,Pascopyrum smithii,Pascopyrum,Pascopyrum smithii,NA,NA,Wheat,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
