TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Northwest Territories
Amelanchier alnifolia var. alnifolia,Amelanchier,Amelanchier alnifolia,var.,alnifolia,British Columbia
Amelanchier alnifolia var. cusickii,Amelanchier,Amelanchier alnifolia,var.,cusickii,British Columbia
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,Alberta
Acer saccharum,Acer,Acer saccharum,,,British Columbia
Allium geyeri var. tenerum,Allium,Allium geyeri,var.,tenerum,British Columbia
Amelanchier alnifolia var. humptulipensis,Amelanchier,Amelanchier alnifolia,var.,humptulipensis,British Columbia
Acer negundo,Acer,Acer negundo,,,Northwest Territories
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Saskatchewan
Acer glabrum var. douglasii,Acer,Acer glabrum,var.,douglasii,Alberta
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Northwest Territories
Agrostis exarata,Agrostis,Agrostis exarata,,,Northwest Territories
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Manitoba
Amelanchier intermedia,Amelanchier,Amelanchier intermedia,,,Quebec
Agrostis mertensii,Agrostis,Agrostis mertensii,,,British Columbia
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,British Columbia
Acmispon americanus var. americanus,Acmispon,Acmispon americanus,var.,americanus,British Columbia
Amaranthus tuberculatus,Amaranthus,Amaranthus tuberculatus,,,British Columbia
Agrostis hyemalis,Agrostis,Agrostis hyemalis,,,British Columbia
Agrostis hyemalis,Agrostis,Agrostis hyemalis,,,Quebec
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Yukon
Acer spicatum,Acer,Acer spicatum,,,British Columbia
Acer macrophyllum,Acer,Acer macrophyllum,,,Newfoundland and Labrador
Agrostis perennans,Agrostis,Agrostis perennans,,,British Columbia
Acer glabrum var. douglasii,Acer,Acer glabrum,var.,douglasii,Newfoundland and Labrador
Agrostis perennans,Agrostis,Agrostis perennans,,,Prince Edward Island
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Northwest Territories
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Prince Edward Island
Acer rubrum var. trilobum,Acer,Acer rubrum,var.,trilobum,Ontario
Acmispon americanus,Acmispon,Acmispon americanus,,,Manitoba
Amelanchier spicata,Amelanchier,Amelanchier spicata,,,Nova Scotia
Agastache foeniculum,Agastache,Agastache foeniculum,,,New Brunswick
Agrostis perennans,Agrostis,Agrostis perennans,,,Nova Scotia
Acer rubrum var. rubrum,Acer,Acer rubrum,var.,rubrum,Nova Scotia
Acer rubrum var. rubrum,Acer,Acer rubrum,var.,rubrum,New Brunswick
Amaranthus albus,Amaranthus,Amaranthus albus,,,New Brunswick
Amelanchier interior,Amelanchier,Amelanchier interior,,,Prince Edward Island
Amelanchier laevis,Amelanchier,Amelanchier laevis,,,Prince Edward Island
Amelanchier intermedia,Amelanchier,Amelanchier intermedia,,,Prince Edward Island
Alnus alnobetula,Alnus,Alnus alnobetula,,,Nunavut
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Northwest Territories
Agrostis perennans,Agrostis,Agrostis perennans,,,New Brunswick
Amelanchier alnifolia var. alnifolia,Amelanchier,Amelanchier alnifolia,var.,alnifolia,Ontario
Arnica cordifolia,Arnica,Arnica cordifolia,,,Northwest Territories
Amelanchier sanguinea,Amelanchier,Amelanchier sanguinea,,,New Brunswick
Amaranthus tuberculatus,Amaranthus,Amaranthus tuberculatus,,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Nunavut
Acmispon americanus var. americanus,Acmispon,Acmispon americanus,var.,americanus,Manitoba
Amelanchier humilis,Amelanchier,Amelanchier humilis,,,Manitoba
Acer negundo var. negundo,Acer,Acer negundo,var.,negundo,Manitoba
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,,New Brunswick
Amelanchier alnifolia var. semiintegrifolia,Amelanchier,Amelanchier alnifolia,var.,semiintegrifolia,Northwest Territories
Agrostis exarata,Agrostis,Agrostis exarata,,,Alberta
Asarum canadense,Asarum,Asarum canadense,,,British Columbia
Asarum canadense,Asarum,Asarum canadense,,,Alberta
Acer rubrum var. trilobum,Acer,Acer rubrum,var.,trilobum,Quebec
Acer negundo var. negundo,Acer,Acer negundo,var.,negundo,Quebec
Agastache nepetoides,Agastache,Agastache nepetoides,,,Quebec
Agrostis perennans,Agrostis,Agrostis perennans,,,Newfoundland and Labrador
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,Manitoba
Arnica cordifolia,Arnica,Arnica cordifolia,,,Ontario
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Yukon
Acer glabrum,Acer,Acer glabrum,,,Newfoundland and Labrador
Allium geyeri,Allium,Allium geyeri,,,Alberta
Amaranthus californicus,Amaranthus,Amaranthus californicus,,,Alberta
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,Saskatchewan
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Alberta
Acer saccharinum,Acer,Acer saccharinum,,,Saskatchewan
Acer rubrum var. trilobum,Acer,Acer rubrum,var.,trilobum,Nova Scotia
Amelanchier intermedia,Amelanchier,Amelanchier intermedia,,,Nova Scotia
Allium schoenoprasum var. schoenoprasum,Allium,Allium schoenoprasum,var.,schoenoprasum,Quebec
Amphicarpaea bracteata var. comosa,Amphicarpaea,Amphicarpaea bracteata,var.,comosa,Quebec
Allium canadense var. canadense,Allium,Allium canadense,var.,canadense,Quebec
Amaranthus hybridus,Amaranthus,Amaranthus hybridus,,,Nova Scotia
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Quebec
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Ontario
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Newfoundland and Labrador
Amelanchier intermedia,Amelanchier,Amelanchier intermedia,,,Ontario
Amelanchier humilis,Amelanchier,Amelanchier humilis,,,New Brunswick
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,,Prince Edward Island
Amelanchier humilis,Amelanchier,Amelanchier humilis,,,Prince Edward Island
Amaranthus albus,Amaranthus,Amaranthus albus,,,Nova Scotia
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,Nova Scotia
Allium stellatum,Allium,Allium stellatum,,,Alberta
Betula papyrifera,Betula,Betula papyrifera,,,Ontario
