GARDEN_CODE,INSTITUTION,TAXON,GENUS,SPECIES,RANK,INFRASPECIFC,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,CATEGORY,TIER,GENEPOOL,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
24,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,6
25,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,4
26,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,2
27,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
28,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,2
29,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,8
30,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
31,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,4
32,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
33,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,30
34,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,6
35,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
36,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
37,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,18
38,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
39,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
40,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,5
41,BG,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
42,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
43,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
44,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,2
45,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,2
46,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,10
47,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,12
48,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
49,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,3
50,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
51,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,6
52,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
53,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
54,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,27
55,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
56,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,5
57,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
58,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
59,BG,Acer rubrum,Acer,Acer rubrum,NA,NA,Maple,NA,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,2
60,BG,Acer saccharinum,Acer,Acer saccharinum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
61,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
62,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
63,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,5
64,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
65,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,6
66,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
67,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
68,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
69,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
70,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
71,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
72,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
73,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
74,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
75,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
76,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,2
77,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
78,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
79,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
80,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,12
81,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,4
82,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,3
83,BG,Acer saccharum,Acer,Acer saccharum,NA,NA,Maple,NA,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1A,1,Progenitor,G,, ,,,,1
84,BG,Acer spicatum,Acer,Acer spicatum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
85,BG,Acer spicatum,Acer,Acer spicatum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,15
86,BG,Acer spicatum,Acer,Acer spicatum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,6
87,BG,Acer spicatum,Acer,Acer spicatum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,5
88,BG,Acer spicatum,Acer,Acer spicatum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,1
89,BG,Acer spicatum,Acer,Acer spicatum,NA,NA,Maple,NA,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1C,1,Assume distant,G,, ,,,,5
90,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,mass
91,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,8
92,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,20
93,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,mass
94,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,27
95,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,mass
96,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,mass
97,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,7
98,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,18
99,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,mass
100,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,3
101,BG,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,Yarrow,NA,Y,N,Y,medicinal properties,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,mass
102,BG,Agastache foeniculum,Agastache,Agastache foeniculum,NA,NA,Hyssop,NA,Y,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,2,2,NA,G,, ,,,,mass
103,BG,Agastache foeniculum,Agastache,Agastache foeniculum,NA,NA,Hyssop,NA,Y,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,2,2,NA,G,, ,,,,8
104,BG,Agastache foeniculum,Agastache,Agastache foeniculum,NA,NA,Hyssop,NA,Y,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,2,2,NA,G,, ,,,,mass
105,BG,Agastache foeniculum,Agastache,Agastache foeniculum,NA,NA,Hyssop,NA,Y,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,2,2,NA,G,, ,,,,mass
106,BG,Agastache nepetoides,Agastache,Agastache nepetoides,NA,NA,Hyssop,NA,Y,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,2,2,NA,G,, ,,,,1
107,BG,Allium cernuum,Allium,Allium cernuum,NA,NA,Allium,NA,Y,Y,Y,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,mass
108,BG,Allium cernuum,Allium,Allium cernuum,NA,NA,Allium,NA,Y,Y,Y,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,mass
109,BG,Allium cernuum,Allium,Allium cernuum,NA,NA,Allium,NA,Y,Y,Y,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,mass
110,BG,Allium cernuum,Allium,Allium cernuum,NA,NA,Allium,NA,Y,Y,Y,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,mass
111,BG,Allium cernuum,Allium,Allium cernuum,NA,NA,Allium,NA,Y,Y,Y,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,mass
112,BG,Allium schoenoprasum,Allium,Allium schoenoprasum,NA,NA,Allium,NA,N,Y,Y,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,1C,1,Tertiary,G,, ,,,,mass
113,BG,Allium schoenoprasum,Allium,Allium schoenoprasum,NA,NA,Allium,NA,N,Y,Y,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,1C,1,Tertiary,G,, ,,,,mass
114,BG,Allium schoenoprasum,Allium,Allium schoenoprasum,NA,NA,Allium,NA,N,Y,Y,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,1C,1,Tertiary,G,, ,,,,1
115,BG,Allium schoenoprasum,Allium,Allium schoenoprasum,NA,NA,Allium,NA,N,Y,Y,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,1C,1,Tertiary,G,, ,,,,9
116,BG,Allium schoenoprasum,Allium,Allium schoenoprasum,NA,NA,Allium,NA,N,Y,Y,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,1C,1,Tertiary,G,, ,,,,5
117,BG,Allium stellatum,Allium,Allium stellatum,NA,NA,Allium,NA,Y,Y,Y,"prairie onion or pink flowered onion, both the bulbs and greens consumed",Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,12
118,BG,Allium stellatum,Allium,Allium stellatum,NA,NA,Allium,NA,Y,Y,Y,"prairie onion or pink flowered onion, both the bulbs and greens consumed",Y,Food,,NA,Vegetables,,,NA,1C,1,Assume distant,G,, ,,,,mass
119,BG,Alnus alnobetula,Alnus,Alnus alnobetula,NA,NA,Alder,NA,N,N,Y,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
120,BG,Alnus alnobetula,Alnus,Alnus alnobetula,NA,NA,Alder,NA,N,N,Y,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,3
121,BG,Alnus alnobetula,Alnus,Alnus alnobetula,NA,NA,Alder,NA,N,N,Y,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
122,BG,Alnus incana,Alnus,Alnus incana,NA,NA,Alder,NA,N,N,Y,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
123,BG,Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,NA,NA,Saskatoon,NA,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Cultural,NA,Fruits,Ornamental,,NA,1,1,NA,G,, ,,,,1
124,BG,Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,NA,NA,Saskatoon,NA,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Cultural,NA,Fruits,Ornamental,,NA,1,1,NA,G,, ,,,,1
125,BG,Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,NA,NA,Saskatoon,NA,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Cultural,NA,Fruits,Ornamental,,NA,1,1,NA,G,, ,,,,15
126,BG,Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,NA,NA,Saskatoon,NA,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Cultural,NA,Fruits,Ornamental,,NA,1,1,NA,G,, ,,,,3
127,BG,Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,NA,NA,Saskatoon,NA,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Cultural,NA,Fruits,Ornamental,,NA,1,1,NA,G,, ,,,,1
