"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","NAME","COMMON.NAME","FAMILY","NATIVITY","NSC","LOCATION.and.QUANTITY","ACCN..","PT","LATITUDE","LONGITUDE","PSOURCE","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis","Pacific silver fir","Pinaceae","WNA (BC to Oregon)","!TC","22A (1)                                                 ","1985-0007"," "," "," ","Unknown","Abies","amabilis","","","","","Abies amabilis"
"2","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea","balsam fir","Pinaceae","N Amer","!TC","8 (1)                                                 ","1991-0683"," "," "," ","MontrealBG","Abies","balsamea","","","","","Abies balsamea"
"3","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis","grand fir","Pinaceae","WNA (BC to California)","!TC","15A (1), 13C (2)","1995-0452"," "," "," ","Misc.","Abies","grandis","","","","","Abies grandis"
"4","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis","grand fir","Pinaceae","WNA (BC to California)","!TC","22A (1)                                                 ","1974-0303"," "," "," ","Rose","Abies","grandis","","","","","Abies grandis"
"5","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa","subalpine fir","Pinaceae","WNA (Alaska & BC to Wash)","!TC","24E (2), 83 (1)","1977-0122"," "," "," ","Watson, S","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"6","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa","subalpine fir","Pinaceae","WNA (Alaska & BC to Wash)","!TC","148 (1)                                                 ","1994-0009"," "," "," ","MBPL","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"7","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","117 (2)                                                 ","1989-0503"," "," "," ","Dunlop","Acer","circinatum","","","","","Acer circinatum"
"8","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum 'Pacific Fire'","red-bark vine maple","Sapindaceae","Garden Origin","!TD","118 (4)                                                 ","2014-0020"," "," "," ","Cedar Rim","Acer","circinatum","","","","","Acer circinatum"
"9","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","135C (10), 135B (2)","1996-0301"," "," "," ","ReidCollins","Acer","circinatum","","","","","Acer circinatum"
"10","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","4 (2)                                                 ","2011-0269"," "," "," ","Linnaea","Acer","circinatum","","","","","Acer circinatum"
"11","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum [Pacific Purple] = 'JFS-Purple'","vine maple","Sapindaceae","Garden Origin","!TD","22A (1)                                                 ","2014-0139"," "," "," ","Linnaea","Acer","circinatum","","","","","Acer circinatum"
"12","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum 'Monroe'","cutleaf vine maple","Sapindaceae","Garden Origin","!SD","22A (1)                                                 ","1984-0543"," "," "," ","Costley","Acer","circinatum","","","","","Acer circinatum"
"13","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","96B (6), 81A (1), 81D (1), 80B (7)","2017-0331"," "," "," ","Misc.","Acer","circinatum","","","","","Acer circinatum"
"14","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","4 (1)                                                 ","1982-1007"," "," "," ","Simmons","Acer","circinatum","","","","","Acer circinatum"
"15","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","23B (1)                                                 ","1995-0444"," "," "," ","Plant Sale","Acer","circinatum","","","","","Acer circinatum"
"16","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","23B (1), 22B (1)","2012-0145"," "," "," ","Kato's","Acer","circinatum","","","","","Acer circinatum"
"17","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","24E (1)                                                 ","1976-0025"," "," "," ","Langara","Acer","circinatum","","","","","Acer circinatum"
"18","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","135C (10), 137C (5)","1995-0777"," "," "," ","Hutchinson","Acer","circinatum","","","","","Acer circinatum"
"19","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","15C (3)                                                 ","1975-0082"," "," "," ","Sunset","Acer","circinatum","","","","","Acer circinatum"
"20","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","22B (3), 24E (8), 23B (1)","1977-0533"," "," "," ","Collins","Acer","circinatum","","","","","Acer circinatum"
"21","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","4 (2), 118 (8)","2009-0559"," "," "," ","Linnaea","Acer","circinatum","","","","","Acer circinatum"
"22","Acer glabrum","Acer","Acer glabrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer glabrum","Rocky Mountain maple","Sapindaceae","WNA","!TD","118 (1)                                                 ","1979-1577"," "," "," ","ReidCollins","Acer","glabrum","","","","","Acer glabrum"
"23","Acer glabrum var. douglasii","Acer","Acer glabrum","var.","douglasii","Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer glabrum var. douglasii","Douglas maple, Rocky Mountain maple","Sapindaceae","WNA (Ala & BC to Ore & Alta)","!TD","117 (1), 135C (2)","1996-0302"," "," "," ","ReidCollins","Acer","glabrum","douglasii","","var.","douglasii","Acer glabrum"
"24","Acer glabrum var. douglasii","Acer","Acer glabrum","var.","douglasii","Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer glabrum var. douglasii","Douglas maple, Rocky Mountain maple","Sapindaceae","WNA (Ala & BC to Ore & Alta)","!TD","117 (1)                                                 ","1997-0540","W"," "," ","Justice, C","Acer","glabrum","douglasii","","var.","douglasii","Acer glabrum"
"25","Acer macrophyllum","Acer","Acer macrophyllum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer macrophyllum","bigleaf maple","Sapindaceae","WNA (BC to S Calif)","!TD","84 (1)                                                 ","2001-0064"," "," "," ","Sunset","Acer","macrophyllum","","","","","Acer macrophyllum"
"26","Acer negundo","Acer","Acer negundo",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer negundo","box elder","Sapindaceae","N&C Amer","!TD","60 (1)                                                 ","1973-0214"," "," "," ","Unknown","Acer","negundo","","","","","Acer negundo"
"27","Acer negundo","Acer","Acer negundo",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer negundo 'Flamingo'","variegated box elder","Sapindaceae","Garden Origin","!TD","159 (2), 76 (2), 117 (2)","1989-0426"," "," "," ","Homestead","Acer","negundo","","","","","Acer negundo"
"28","Acer pensylvanicum","Acer","Acer pensylvanicum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer pensylvanicum","moosewood","Sapindaceae","ENA","!TD","107B (1)                                                 ","2016-0224"," "," "," ","Specimen","Acer","pensylvanicum","","","","","Acer pensylvanicum"
"29","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Autumn Flame'","red maple","Sapindaceae","Garden Origin","!TD","115 (1)                                                 ","2001-0068"," "," "," ","Sunset","Acer","rubrum","","","","","Acer rubrum"
"30","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Morgan'","hybrid maple (Cdn cv)","Sapindaceae","Garden Origin","!TD","107T (1)                                                 ","1994-0050"," "," "," ","Specimen","Acer","rubrum","","","","","Acer rubrum"
"31","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Scanlon'","red maple","Sapindaceae","Garden Origin","!TD","33A (1)                                                 ","1978-0137"," "," "," ","Surrey","Acer","rubrum","","","","","Acer rubrum"
"32","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Red Sunset'","red maple","Sapindaceae","Garden Origin","!TD","107T (1)                                                 ","1993-0939"," "," "," ","Jones Nurs","Acer","rubrum","","","","","Acer rubrum"
"33","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Red Sunset'","red maple","Sapindaceae","Garden Origin","!TD","107T (1)                                                 ","1996-0329"," "," "," ","Plant Sale","Acer","rubrum","","","","","Acer rubrum"
"34","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Autumn Flame'","red maple","Sapindaceae","Garden Origin","!TD","135A (1)                                                 ","1990-0201"," "," "," ","Cannor","Acer","rubrum","","","","","Acer rubrum"
"35","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum","red maple","Sapindaceae","ENA","!TD","147 (1)                                                 ","1979-0785"," "," "," ","Hillier","Acer","rubrum","","","","","Acer rubrum"
"36","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'October Glory'","red maple","Sapindaceae","Garden Origin","!TD","107T (1)                                                 ","1994-0061"," "," "," ","Specimen","Acer","rubrum","","","","","Acer rubrum"
"37","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Bowhall'","red maple","Sapindaceae","Garden Origin","!TD","107T (1)                                                 ","1994-0060"," "," "," ","Specimen","Acer","rubrum","","","","","Acer rubrum"
"38","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Armstrong'","red maple","Sapindaceae","Garden Origin","!TD","115 (1)                                                 ","2001-0067"," "," "," ","Sunset","Acer","rubrum","","","","","Acer rubrum"
"39","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum","red maple","Sapindaceae","ENA","!TD","46F (1)                                                 ","1978-0140"," "," "," ","Surrey","Acer","rubrum","","","","","Acer rubrum"
"40","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum","red maple","Sapindaceae","ENA","!TD","33A (2)                                                 ","1972-0345"," "," "," ","VancTree","Acer","rubrum","","","","","Acer rubrum"
"41","Acer saccharinum","Acer","Acer saccharinum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer saccharinum","silver maple","Sapindaceae","ENA","!TD","107A (1), 10 (1)","1974-1364"," "," "," ","Berry","Acer","saccharinum","","","","","Acer saccharinum"
"42","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","137D (3)                                                 ","1990-0652"," "," "," ","Cannor","Acer","saccharum","","","","","Acer saccharum"
"43","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","137D (10)                                                 ","1990-0196","W","43°32'  N","80°13'  W","Guelph Arb","Acer","saccharum","","","","","Acer saccharum"
"44","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum 'Legacy'","sugar maple","Sapindaceae","Garden Origin","!TD","115 (2)                                                 ","1990-0658"," "," "," ","Cannor","Acer","saccharum","","","","","Acer saccharum"
"45","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","137D (15)                                                 ","1990-0217","W","47°  N","71°  W","Misc.","Acer","saccharum","","","","","Acer saccharum"
"46","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","107T (1), 117 (1)","1990-0472"," "," "," ","MontrealBG","Acer","saccharum","","","","","Acer saccharum"
"47","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","137D (8)                                                 ","1990-0202"," "," "," ","Cannor","Acer","saccharum","","","","","Acer saccharum"
"48","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum 'Legacy'","sugar maple","Sapindaceae","Garden Origin","!TD","117 (2), 136 (1)","1995-0717"," "," "," ","Hutchinson","Acer","saccharum","","","","","Acer saccharum"
"49","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","117 (6)                                                 ","1997-0648"," "," "," ","Misc.","Acer","saccharum","","","","","Acer saccharum"
"50","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","115 (1)                                                 ","1978-0400"," "," "," ","Hillier","Acer","saccharum","","","","","Acer saccharum"
"51","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","137D (1)                                                 ","1991-0217"," "," "," ","Piroche Plts","Acer","saccharum","","","","","Acer saccharum"
"52","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","107T (1), 137D (21)","1990-0215","W"," "," ","Eden","Acer","saccharum","","","","","Acer saccharum"
"53","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","137D (20)                                                 ","1990-0473","W"," "," ","AGCAN-Ottawa","Acer","saccharum","","","","","Acer saccharum"
"54","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","sugar maple","Sapindaceae","ENA","!TD","107T (1), 137D (9)","1990-0123","W"," "," ","Hamilton BG","Acer","saccharum","","","","","Acer saccharum"
"55","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea millefolium 'Cerise Queen'","common yarrow","Asteraceae","Garden Origin","!HD","158 (152), 156 (32), 157 (48)","2006-0010"," "," "," ","NW Hort","Achillea","millefolium","","","","","Achillea millefolium"
"56","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea millefolium","yarrow","Asteraceae","N hemisphere  (Europe & W Asia, N America)","!HD","137F (2)                                                 ","1991-0223"," "," "," ","UBC-BG","Achillea","millefolium","","","","","Achillea millefolium"
"57","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea millefolium","yarrow","Asteraceae","N hemisphere  (Europe & W Asia, N America)","!HD","24B (72)                                                 ","2012-0173"," "," "," ","Peels","Achillea","millefolium","","","","","Achillea millefolium"
"58","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea millefolium","yarrow","Asteraceae","N hemisphere  (Europe & W Asia, N America)","!HD","24A (12), 88 (14)","2009-0582"," "," "," ","Linnaea","Achillea","millefolium","","","","","Achillea millefolium"
"59","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea millefolium 'Cassis'","common yarrow","Asteraceae","Garden Origin","!HD","68 (9)                                                 ","2011-0143"," "," "," ","Valleybrook","Achillea","millefolium","","","","","Achillea millefolium"
"60","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea millefolium","yarrow","Asteraceae","N hemisphere  (Europe & W Asia, N America)","!HD","41C (1)                                                 ","2009-0669"," "," "," ","Richters","Achillea","millefolium","","","","","Achillea millefolium"
"61","Agastache foeniculum","Agastache","Agastache foeniculum",NA,NA,"Hyssop",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Agastache foeniculum","anise hyssop, hummingbird mint","Lamiaceae","Canada & USA","!HD","50C (3), 50F (3)","2018-0207"," "," "," ","Free Spirit","Agastache","foeniculum","","","","","Agastache foeniculum"
