GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
NPGS,G,Acer rubrum,,NA,,NA,NA,NA,Not Available
NPGS,G,Acer rubrum,DEVELOPED,United States,,NA,NA,District of Columbia,Not Available
NPGS,G,Acer rubrum,DEVELOPED,United States,,NA,NA,District of Columbia,Not Available
NPGS,G,Acer rubrum,,NA,,NA,NA,NA,Not Available
NPGS,G,Acer rubrum,,NA,,NA,NA,NA,Not Available
NPGS,G,Acer rubrum,,NA,,NA,NA,NA,Not Available
NPGS,G,Acer saccharinum,,NA,,NA,NA,NA,Not Available
NPGS,G,Acer saccharum,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Acer saccharum,COLLECTED,United States,,NA,NA,Tennessee,Not Available
NPGS,G,Acer saccharum,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Acer spicatum,COLLECTED,United States,,47.345,-91.21416667,Minnesota,Add to cart
NPGS,G,Acer spicatum,COLLECTED,United States,,45.74666667,-84.90777778,Michigan,Add to cart
NPGS,G,Acer spicatum,COLLECTED,United States,,35.32691,-82.87906,North Carolina,Add to cart
NPGS,G,Acer spicatum,COLLECTED,United States,,NA,NA,West Virginia,Not Available
NPGS,G,Acer spicatum,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Acer spicatum,COLLECTED,United States,,47.34444444,-91.23,Minnesota,Add to cart
NPGS,G,Acer spicatum,COLLECTED,United States,,36.11304,-82.1023,Tennessee,Not Available
NPGS,G,Acer spicatum,COLLECTED,United States,,35.22804,-83.0882,North Carolina,Not Available
NPGS,G,Acer spicatum,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,41.11778,-120.27861,California,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,Russian Federation,,NA,NA,Stavropol,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,Russian Federation,,NA,NA,Stavropol,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,Russian Federation,,NA,NA,Stavropol,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,Soviet Union,,NA,NA,Former,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,Russian Federation,,NA,NA,Stavropol,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,Russian Federation,,NA,NA,Stavropol,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,California,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Oregon,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Ohio,Not Available
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Idaho,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Add to cart
NPGS,G,Achillea millefolium,DEVELOPED,United States,,NA,NA,Utah,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Montana,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Idaho,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Wyoming,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Idaho,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Oregon,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Colorado,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Colorado,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Oregon,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,California,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Oregon,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Nevada,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Alaska,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,Idaho,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,NA,,NA,NA,NA,Add to cart
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,New Mexico,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,California,Not Available
NPGS,G,Achillea millefolium,COLLECTED,United States,,NA,NA,California,Not Available
