"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Accession","Name","Taxonomy","Origin","Repository","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","CN 105002","63","Achillea millefolium L.","British Columbia, Canada","PGRC","Achillea","millefolium","","","","","Achillea millefolium"
"2","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","CN 105003","860","Achillea millefolium L.","British Columbia, Canada","PGRC","Achillea","millefolium","","","","","Achillea millefolium"
"3","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","CN 105004","878","Achillea millefolium L.","British Columbia, Canada","PGRC","Achillea","millefolium","","","","","Achillea millefolium"
"4","Achillea millefolium","Achillea","Achillea millefolium",NA,NA,"Yarrow",NA,"Y","N","Y","medicinal properties","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","CN 105001","558","Achillea millefolium L.","British Columbia, Canada","PGRC","Achillea","millefolium","","","","","Achillea millefolium"
"5","Agrostis perennans","Agrostis","Agrostis perennans",NA,NA,"Bentgrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 105006","","Agrostis perennans (Walter) Tuck.","Prince Edward Island, Canada","PGRC","Agrostis","perennans","","","","","Agrostis perennans"
"6","Agrostis perennans","Agrostis","Agrostis perennans",NA,NA,"Bentgrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 108938","","Agrostis perennans (Walter) Tuck.","Prince Edward Island, Canada","PGRC","Agrostis","perennans","","","","","Agrostis perennans"
"7","Allium cernuum","Allium","Allium cernuum",NA,NA,"Allium",NA,"Y","Y","Y","nodding onion; bulbs and greens","Y","Food","",NA,"Vegetables","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 105007","618","Allium cernuum Roth","British Columbia, Canada","PGRC","Allium","cernuum","","","","","Allium cernuum"
"8","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41142","PGR 14192","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatchewan, Canada","PGRC","Amelanchier","alnifolia","","","","","Amelanchier alnifolia"
"9","Amelanchier alnifolia var. cusickii","Amelanchier","Amelanchier alnifolia","var.","cusickii","Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41145","PGR 14195","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. cusickii (Fernald) C. L. Hitchc.","British Columbia, Canada","PGRC","Amelanchier","alnifolia","cusickii","","var.","cusickii","Amelanchier alnifolia"
"10","Amelanchier arborea","Amelanchier","Amelanchier arborea",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41144","PGR 14194","Amelanchier arborea (F. Michx.) Fernald","Ontario, Canada","PGRC","Amelanchier","arborea","","","","","Amelanchier arborea"
"11","Amelanchier intermedia","Amelanchier","Amelanchier intermedia",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41147","PGR 14197","Amelanchier intermedia Spach","Nova Scotia, Canada","PGRC","Amelanchier","intermedia","","","","","Amelanchier intermedia"
"12","Amelanchier laevis","Amelanchier","Amelanchier laevis",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41149","PGR 14199","Amelanchier laevis Wiegand","Ontario, Canada","PGRC","Amelanchier","laevis","","","","","Amelanchier laevis"
"13","Amelanchier laevis","Amelanchier","Amelanchier laevis",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41148","PGR 14198","Amelanchier laevis Wiegand","Nova Scotia, Canada","PGRC","Amelanchier","laevis","","","","","Amelanchier laevis"
"14","Amelanchier spicata","Amelanchier","Amelanchier spicata",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 41153","PGR 14203","Amelanchier spicata (Lam.) K. Koch","Nova Scotia, Canada","PGRC","Amelanchier","spicata","","","","","Amelanchier spicata"
"15","Astragalus americanus","Astragalus","Astragalus americanus",NA,NA,"Milk-vetch",NA,"Y","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","CN 37511","R-33","Astragalus americanus (Hook.) M. E. Jones","Alberta, Canada","PGRC","Astragalus","americanus","","","","","Astragalus americanus"
"16","Astragalus flexuosus","Astragalus","Astragalus flexuosus",NA,NA,"Milk-vetch",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 37513","R-34","Astragalus flexuosus (Hook.) Douglas ex G. Don","Alberta, Canada","PGRC","Astragalus","flexuosus","","","","","Astragalus flexuosus"
"17","Astragalus flexuosus","Astragalus","Astragalus flexuosus",NA,NA,"Milk-vetch",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 105010","","Astragalus flexuosus (Hook.) Douglas ex G. Don","Alberta, Canada","PGRC","Astragalus","flexuosus","","","","","Astragalus flexuosus"
"18","Bromus ciliatus","Bromus","Bromus ciliatus",NA,NA,"Bromegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 51217","C7107","Bromus ciliatus L.","Ontario, Canada","PGRC","Bromus","ciliatus","","","","","Bromus ciliatus"
"19","Bromus kalmii","Bromus","Bromus kalmii",NA,NA,"Bromegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 51222","C7099","Bromus kalmii A. Gray","Ontario, Canada","PGRC","Bromus","kalmii","","","","","Bromus kalmii"
"20","Elymus canadensis","Elymus","Elymus canadensis",NA,NA,"Wheat","Wild-rye","N","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 37515","R-30","Elymus canadensis L.","Alberta, Canada","PGRC","Elymus","canadensis","","","","","Elymus canadensis"
"21","Elymus canadensis","Elymus","Elymus canadensis",NA,NA,"Wheat","Wild-rye","N","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 51223","C7118","Elymus canadensis L.","Ontario, Canada","PGRC","Elymus","canadensis","","","","","Elymus canadensis"
"22","Festuca occidentalis","Festuca","Festuca occidentalis",NA,NA,"Fescue",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Forage and Feed","Ornamentals","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 51878","S.J.D. 3750","Festuca occidentalis Hook.","British Columbia, Canada","PGRC","Festuca","occidentalis","","","","","Festuca occidentalis"
"23","Festuca subuliflora","Festuca","Festuca subuliflora",NA,NA,"Fescue",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Forage and Feed","Ornamentals","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","CN 51876","S.J.D. 3767","Festuca subuliflora Scribn.","British Columbia, Canada","PGRC","Festuca","subuliflora","","","","","Festuca subuliflora"
"24","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99732","Native 'BC Collection: Site 13'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"25","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99634","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"26","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99263","Native 'BC Collection: Site 40'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"27","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99721","Native 'BC Collection: Site 13'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"28","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99663","Native 'BC Collection: Site 52'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"29","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100032","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"30","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99699","Native 'BC Collection: Site 13'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"31","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99854","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"32","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100154","Native 'BC Collection: Site 20'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
