SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Acmispon americanus,Acmispon americanus,Acmispon americanus (Nutt.) Rydb.,Trefoil,2,2,N,N4,G5,,Y,0,0,0,0,0,0,Y,N,Acmispon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Acmispon americanus,Acmispon americanus var. americanus,Acmispon americanus var. americanus,Trefoil,2,2,N,N4,T5,,Y,0,0,0,0,0,0,Y,Y,Acmispon,var.,americanus,,Y,Food,,NA,Forage and Feed,,,NA,NA
Acmispon denticulatus,Acmispon denticulatus,Acmispon denticulatus (Drew) D.D.Sokoloff,Trefoil,2,2,N,N4,G5,,Y,1,0,1,0,0,0,,Y,Acmispon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Acmispon parviflorus,Acmispon parviflorus,Acmispon parviflorus (Benth.) D.D.Sokoloff,Trefoil,2,2,N,N4,G5,,Y,0,0,0,0,0,0,,Y,Acmispon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Agastache foeniculum,Agastache foeniculum,Agastache foeniculum (Pursh) Kuntze,Hyssop,NA,NA,Y,N5,G5,,N,45,15,30,4,0,4,,Y,Agastache,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Agastache nepetoides,Agastache nepetoides,Agastache nepetoides (L.) Kuntze,Hyssop,NA,NA,Y,N4,G5,,N,17,4,13,2,1,1,,Y,Agastache,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Agastache urticifolia,Agastache urticifolia,Agastache urticifolia (Benth.) Kuntze,Hyssop,NA,NA,Y,N4,G5,,N,42,1,41,0,0,0,,Y,Agastache,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Agrostis exarata,Agrostis exarata,Agrostis exarata Trin.,Bentgrass,2,2,N,N5,G5,,Y,3,0,3,1,0,1,,Y,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Agrostis hyemalis,Agrostis hyemalis,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Bentgrass,2,2,N,N1,G5,,Y,0,0,0,0,0,0,,Y,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Agrostis mertensii,Agrostis mertensii,Agrostis mertensii Trin.,Bentgrass,2,2,N,N5,G5,,Y,5,0,5,2,0,2,,Y,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
