SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Corylus americana,Corylus americana,Corylus americana Walter,Hazelnut,1B,1,Y,N5,G5,,Y,93,50,43,32,32,0,,Y,Corylus,NA,NA,hazelnut; nuts,Y,Food,,NA,Nuts,,,NA,Secondary
Corylus californica,Corylus californica,"Corylus californica hort. ex K.Koch, 1873",Hazelnut,1B,1,Y,N5,T5,,Y,52,5,47,0,0,0,,Y,Corylus,NA,NA,hazelnut; nuts,Y,Food,,NA,Nuts,,,NA,Secondary
Corylus cornuta,Corylus cornuta,Corylus cornuta Marshall,Hazelnut,1C,1,Y,N5,G5,,Y,44,29,15,15,15,0,,Y,Corylus,NA,NA,hazelnut; nuts,Y,Food,,NA,Nuts,,,NA,Tertiary
Crataegus aquacervensis,Crataegus aquacervensis,Crataegus aquacervensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N2,G2,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus atrovirens,Crataegus atrovirens,Crataegus atrovirens J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N3,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus beata,Crataegus beata,Crataegus beata Sarg.,Hawthorn,NA,NA,Y,N1,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus brainerdii,Crataegus brainerdii,Crataegus brainerdii Sarg.,Hawthorn,NA,NA,Y,N2,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus calpodendron,Crataegus calpodendron,Crataegus calpodendron (Ehrh.) Medik.,Hawthorn,NA,NA,Y,N4,G5,,Y,2,0,2,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus canadensis,Crataegus canadensis,Crataegus canadensis Sarg.,Hawthorn,NA,NA,Y,NNR,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus castlegarensis,Crataegus castlegarensis,Crataegus castlegarensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N4,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa,Crataegus chrysocarpa Ashe,Hawthorn,NA,NA,Y,N5,G5,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. blanchardii,Crataegus chrysocarpa var. blanchardii (Sarg.) J.B.Phipps,Hawthorn,NA,NA,Y,NNR,TNR,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,blanchardii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. chrysocarpa,Crataegus chrysocarpa var. chrysocarpa,Hawthorn,NA,NA,Y,N5,T5,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,chrysocarpa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. faxonii,Crataegus chrysocarpa var. faxonii (Sarg.) Eggl.,Hawthorn,NA,NA,Y,NNR,G5,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,faxonii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. phoeniceoides,Crataegus chrysocarpa var. phoeniceoides J.B.Phipps & Sennikov,Hawthorn,NA,NA,Y,NNR,TNR,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,phoeniceoides,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. piperi,Crataegus chrysocarpa var. piperi (Britton) Kruschke,Hawthorn,NA,NA,Y,NNR,T4,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,piperi,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. subrotundifolia,Crataegus chrysocarpa var. subrotundifolia (Sarg.) Phipps,Hawthorn,NA,NA,Y,NNR,TNR,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,subrotundifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. vernonensis,Crataegus chrysocarpa var. vernonensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N2,T2,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,vernonensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa var. virgintistamina,Crataegus chrysocarpa Ashe,Hawthorn,NA,NA,Y,NNR,TNR,,Y,8,0,8,NA,NA,NA,N,Y,Crataegus,var.,virgintistamina,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus coccinea,Crataegus coccinea,Crataegus coccinea L.,Hawthorn,NA,NA,Y,N5,G5,,Y,9,4,5,4,0,4,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus coccinea,Crataegus coccinea var. coccinea,Crataegus coccinea var. coccinea,Hawthorn,NA,NA,Y,N4,G5,,Y,9,4,5,NA,NA,NA,N,Y,Crataegus,var.,coccinea,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus coccinea,Crataegus coccinea var. fulleriana,Crataegus coccinea var. fulleriana (Sarg.) J.A.Macklin & J.B.Phipps,Hawthorn,NA,NA,Y,N2,G4,,Y,9,4,5,NA,NA,NA,N,Y,Crataegus,var.,fulleriana,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus coccinea,Crataegus coccinea var. pringlei,Crataegus coccinea var. pringlei (Sarg.) J.A.Macklin & J.B.Phipps,Hawthorn,NA,NA,Y,N5,G5,,Y,9,4,5,NA,NA,NA,N,Y,Crataegus,var.,pringlei,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus coccinioides,Crataegus coccinioides,Crataegus coccinioides Ashe,Hawthorn,NA,NA,Y,N2,GNR,,Y,1,0,1,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus cognata,Crataegus cognata,Crataegus cognata Sarg.,Hawthorn,NA,NA,Y,NU,GNR,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus compacta,Crataegus compacta,Crataegus compacta Sarg.,Hawthorn,NA,NA,Y,N4,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus crus-galli,Crataegus crus-galli,Crataegus crus-galli L.,Hawthorn,NA,NA,Y,N4,G5,,Y,50,41,9,34,34,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus crus-galli,Crataegus crus-galli var. crus-galli,Crataegus crus-galli var. crus-galli,Hawthorn,NA,NA,Y,N4,T5,,Y,50,41,9,NA,NA,NA,N,Y,Crataegus,var.,crus-galli,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus cupressocollina,Crataegus cupressocollina,Crataegus cupressocollina J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N1,GNR,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus dodgei,Crataegus dodgei,Crataegus dodgei Ashe,Hawthorn,NA,NA,Y,N4,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus douglasii,Crataegus douglasii,Crataegus douglasii Lindl.,Hawthorn,NA,NA,Y,NNR,G5,,Y,19,12,7,5,5,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus enderbyensis,Crataegus enderbyensis,Crataegus enderbyensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N3,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus flabellata,Crataegus flabellata,Crataegus flabellata Bosc ex M.Roem.,Hawthorn,NA,NA,Y,N4,G4,,Y,9,1,8,8,0,8,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus florifera,Crataegus florifera,Crataegus florifera Sarg.,Hawthorn,NA,NA,Y,NU,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus fluviatilis,Crataegus fluviatilis,Crataegus fluviatilis Sarg.,Hawthorn,NA,NA,Y,N2,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus formosa,Crataegus formosa,Crataegus formosa Sarg.,Hawthorn,NA,NA,Y,N2,G2,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus gaylussacia,Crataegus gaylussacia,Crataegus gaylussacia A.Heller,Hawthorn,NA,NA,Y,N5,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus holmesiana,Crataegus holmesiana,Crataegus holmesiana Ashe,Hawthorn,NA,NA,Y,N4,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus intricata,Crataegus intricata,Crataegus intricata Lange,Hawthorn,NA,NA,Y,NH,G5,,Y,14,0,14,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus irrasa,Crataegus irrasa,Crataegus irrasa Sarg.,Hawthorn,NA,NA,Y,NNR,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus jesupii,Crataegus jesupii,Crataegus jesupii Sarg.,Hawthorn,NA,NA,Y,NU,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus jonesiae,Crataegus jonesiae,Crataegus jonesiae Sargent,Hawthorn,NA,NA,Y,NU,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus knieskerniana,Crataegus knieskerniana,Crataegus knieskerniana Sarg.,Hawthorn,NA,NA,Y,NU,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus laevigata,Crataegus laevigata,Crataegus laevigata (Poir.) DC.,Hawthorn,NA,NA,Y,NNA,GNR,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus lemingtonensis,Crataegus lemingtonensis,Crataegus lemingtonensis Sarg.,Hawthorn,NA,NA,Y,NU,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus lumaria,Crataegus lumaria,Crataegus lumaria Ashe,Hawthorn,NA,NA,Y,N2,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus macracantha,Crataegus macracantha,Crataegus macracantha Koehne,Hawthorn,NA,NA,Y,N5,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus macrosperma,Crataegus macrosperma,Crataegus macrosperma Ashe,Hawthorn,NA,NA,Y,N5,G5,,Y,8,1,7,1,1,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus magniflora,Crataegus magniflora,Crataegus magniflora Sarg.,Hawthorn,NA,NA,Y,N3,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus margarettae,Crataegus margarettae,Crataegus margarettae Ashe,Hawthorn,NA,NA,Y,N1,G5,,Y,0,0,0,0,0,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus margarettae,Crataegus margarettae var. angustifolia,Crataegus margarettae var. angustifolia E.J.Palmer,Hawthorn,NA,NA,Y,N1,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,angustifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus margarettae,Crataegus margarettae var. margarettae,Crataegus margarettae f. margarettae,Hawthorn,NA,NA,Y,N1,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,margarettae,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus mollis,Crataegus mollis,Crataegus mollis (Torr. & A.Gray) Scheele,Hawthorn,NA,NA,Y,N4,G5,,Y,70,66,4,48,47,1,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus mollis,Crataegus mollis var. incisifolia,Crataegus mollis var. incisifolia Kruschke ex J.B.Phipps,Hawthorn,NA,NA,Y,NNR,TNR,,Y,70,66,4,NA,NA,NA,N,Y,Crataegus,var.,incisifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus mollis,Crataegus mollis var. mollis,Crataegus mollis var. mollis,Hawthorn,NA,NA,Y,N4,T5,,Y,70,66,4,NA,NA,NA,N,Y,Crataegus,var.,mollis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus nitidula,Crataegus nitidula,Crataegus nitidula Sarg.,Hawthorn,NA,NA,Y,NH,G2,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus okanaganensis,Crataegus okanaganensis,Crataegus okanaganensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N4,G4,,Y,0,0,0,0,0,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus okanaganensis,Crataegus okanaganensis var. okanaganensis,Crataegus okanaganensis var. okanaganensis,Hawthorn,NA,NA,Y,N3,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,okanaganensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus okanaganensis,Crataegus okanaganensis var. wellsii,Crataegus okanaganensis var. wellsii J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N3,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,wellsii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus okennonii,Crataegus okennonii,Crataegus okennonii J.B.Phipps,Hawthorn,NA,NA,Y,N4,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus orbicularis,Crataegus orbicularis,Crataegus orbicularis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N3,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pennsylvanica,Crataegus pennsylvanica,Crataegus pennsylvanica Ashe,Hawthorn,NA,NA,Y,NU,G3,,Y,1,0,1,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus perjucunda,Crataegus perjucunda,Crataegus perjucunda Sarg.,Hawthorn,NA,NA,Y,N1,G1,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus persimilis,Crataegus persimilis,Crataegus persimilis Sarg.,Hawthorn,NA,NA,Y,N1,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus phippsii,Crataegus phippsii,Crataegus phippsii O'Kennon,Hawthorn,NA,NA,Y,N3,G2,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus populnea,Crataegus populnea,Crataegus populnea Ashe,Hawthorn,NA,NA,Y,N4,G5,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus prona,Crataegus prona,Crataegus prona Ashe,Hawthorn,NA,NA,Y,NU,G4,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pruinosa,Crataegus pruinosa,Crataegus pruinosa H.L.Wendl.,Hawthorn,NA,NA,Y,N5,G5,,Y,10,2,8,0,0,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pruinosa,Crataegus pruinosa var. dissona,Crataegus pruinosa var. dissona (Sarg.) J.B.Phipps,Hawthorn,NA,NA,Y,N3,TNR,,Y,10,2,8,NA,NA,NA,N,Y,Crataegus,var.,dissona,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pruinosa,Crataegus pruinosa var. parvula,Crataegus pruinosa var. parvula (Sarg.) J.B.Phipps,Hawthorn,NA,NA,Y,N4,TNR,,Y,10,2,8,NA,NA,NA,N,Y,Crataegus,var.,parvula,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pruinosa,Crataegus pruinosa var. pruinosa,Crataegus pruinosa var. pruinosa,Hawthorn,NA,NA,Y,N4,T5,,Y,10,2,8,NA,NA,NA,N,Y,Crataegus,var.,pruinosa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pruinosa,Crataegus pruinosa var. rugosa,Crataegus pruinosa var. rugosa (Ashe) Kruschke,Hawthorn,NA,NA,Y,NNR,TNR,,Y,10,2,8,NA,NA,NA,N,Y,Crataegus,var.,rugosa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus pruinosa,Crataegus pruinosa var. virella,Crataegus pruinosa var. virella (Ashe) Kruschke,Hawthorn,NA,NA,Y,NNR,TNR,,Y,10,2,8,NA,NA,NA,N,Y,Crataegus,var.,virella,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus punctata,Crataegus punctata,Crataegus punctata Jacq.,Hawthorn,NA,NA,Y,N5,G5,,Y,32,28,4,13,13,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus purpurella,Crataegus purpurella,Crataegus purpurella J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,NNR,GNR,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus rivuloadamensis,Crataegus rivuloadamensis,Crataegus rivuloadamensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N2,G2,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus rivulopugnensis,Crataegus rivulopugnensis,Crataegus rivulopugnensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N1,G1,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus rubribracteolata,Crataegus rubribracteolata,Crataegus rubribracteolata J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N2,G2,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus scabrida,Crataegus scabrida,Crataegus scabrida Sarg.,Hawthorn,NA,NA,Y,N4,G5,,Y,0,0,0,0,0,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus scabrida,Crataegus scabrida var. asperifolia,Crataegus scabrida var. asperifolia (Sarg.) Kruschke,Hawthorn,NA,NA,Y,N1,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,asperifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus scabrida,Crataegus scabrida var. cyclophylla,Crataegus scabrida var. cyclophylla (Sarg.) Kruschke,Hawthorn,NA,NA,Y,N2,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,cyclophylla,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus scabrida,Crataegus scabrida var. egglestonii,Crataegus scabrida var. egglestonii (Sarg.) Kruschke,Hawthorn,NA,NA,Y,NNR,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,egglestonii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus scabrida,Crataegus scabrida var. scabrida,Crataegus scabrida Sarg.,Hawthorn,NA,NA,Y,N3,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,scabrida,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus schuettei,Crataegus schuettei,Crataegus schuettei Ashe,Hawthorn,NA,NA,Y,N4,G5,,Y,3,3,0,3,3,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus schuettei,Crataegus schuettei var. schuettei,Crataegus schuettei var. schuettei,Hawthorn,NA,NA,Y,N4,T5,,Y,3,3,0,NA,NA,NA,N,Y,Crataegus,var.,schuettei,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus sheila-phippsiae,Crataegus sheila-phippsiae,Crataegus sheila-phippsiae J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N3,G3,,Y,0,0,0,0,0,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus sheila-phippsiae,Crataegus sheila-phippsiae var. saskatchewanensis,Crataegus sheila-phippsiae var. saskatchewanensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,NNR,TNR,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,saskatchewanensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus sheila-phippsiae,Crataegus sheila-phippsiae var. sheila-phippsiae,Crataegus sheila-phippsiae var. sheila-phippsiae,Hawthorn,NA,NA,Y,N3,T3,,Y,0,0,0,NA,NA,NA,N,Y,Crataegus,var.,sheila-phippsiae,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus sheridana,Crataegus sheridana,Crataegus sheridana A.Nelson,Hawthorn,NA,NA,Y,N2,GNR,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus shuswapensis,Crataegus shuswapensis,Crataegus shuswapensis J.B.Phipps & O'Kennon,Hawthorn,NA,NA,Y,N3,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus stolonifera,Crataegus stolonifera,Crataegus stolonifera Sarg.,Hawthorn,NA,NA,Y,NU,GNR,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus submollis,Crataegus submollis,Crataegus submollis Sarg.,Hawthorn,NA,NA,Y,N5,G5,,Y,1,1,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus suborbiculata,Crataegus suborbiculata,Crataegus suborbiculata Sarg.,Hawthorn,NA,NA,Y,N2,G3,,Y,0,0,0,0,0,0,,Y,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus succulenta,Crataegus succulenta,Crataegus succulenta Schrad. ex Link,Hawthorn,NA,NA,Y,N5,G5,,Y,56,54,2,35,35,0,N,N,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
Crataegus succulenta,Crataegus succulenta var. gemmosa,Crataegus succulenta var. gemmosa (Sarg.) Kruschke,Hawthorn,NA,NA,Y,NA,NA,,Y,56,54,2,NA,NA,NA,N,Y,Crataegus,var.,gemmosa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA
