"","Accession","Name","Taxonomy","Origin","Repository","Taxon","Genus","Species","Rank","Infraspecific"
"164","CN 102377","RUB0144","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"165","CN 102378","RUB0145","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"166","CN 102380","RUB0147","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"167","CN 102381","RUB0148","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"168","CN 102382","RUB0149","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"169","CN 102383","RUB0150","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"170","CN 102384","RUB0151","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"171","CN 102385","RUB0152","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"172","CN 102387","RUB0154","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"173","CN 102389","RUB0156","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"174","CN 102390","RUB0157","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"175","CN 102391","RUB0158","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"176","CN 102392","RUB0159","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"177","CN 102394","RUB0161","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"178","CN 102395","RUB0162","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"179","CN 102397","RUB0164","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"180","CN 102398","RUB0165","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"181","CN 102399","RUB0166","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"182","CN 102400","RUB0167","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"183","CN 102401","RUB0168","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"184","CN 102402","RUB0169","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"185","CN 102404","RUB0171","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"186","CN 102406","RUB0173","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"187","CN 102407","RUB0174","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"188","CN 102408","RUB0175","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"189","CN 102409","RUB0176","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"190","CN 102410","RUB0177","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"191","CN 102411","RUB0178","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"192","CN 102412","RUB0179","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"193","CN 102413","RUB0180","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"194","CN 102415","RUB0182","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"195","CN 102416","RUB0183","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"196","CN 102418","RUB0185","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"197","CN 102425","RUB0192","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"198","CN 102426","RUB0193","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"199","CN 102427","RUB0194","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"200","CN 102451","RUB0218","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"201","CN 102452","RUB0219","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"202","CN 102453","RUB0220","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"203","CN 102454","RUB0221","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"204","CN 102455","RUB0222","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"205","CN 102456","RUB0223","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"206","CN 102457","RUB0224","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"207","CN 102458","RUB0225","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"208","CN 102459","RUB0226","Rubus spectabilis Pursh","British Columbia, Canada","CCG","Rubus spectabilis  ","Rubus","Rubus spectabilis","",""
"209","CN 102464","RUB0231","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"210","CN 102466","RUB0233","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"211","CN 102467","RUB0234","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"212","CN 102469","RUB0236","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"213","CN 102472","RUB0239","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"214","CN 102485","RUB0252","Rubus idaeus L. var. strigosus (Michx.) Maxim.","Ontario, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"215","CN 102490","Native 'St. John's, NFL'","Rubus idaeus L. subsp. idaeus","Newfoundland and Labrador, Canada","CCG","Rubus idaeus Subsp. idaeus","Rubus","Rubus idaeus","Subsp.","idaeus"
"216","CN 102491","Native 'Port-au-Choix, NFL'","Rubus acaulis Michx.","Newfoundland and Labrador, Canada","CCG","Rubus acaulis  ","Rubus","Rubus acaulis","",""
"217","CN 102614","SAM0108","Sambucus pubens Michx.","British Columbia, Canada","CCG","Sambucus pubens  ","Sambucus","Sambucus pubens","",""
"218","CN 102615","SAM0109","Sambucus pubens Michx.","British Columbia, Canada","CCG","Sambucus pubens  ","Sambucus","Sambucus pubens","",""
"219","CN 102616","Native 'Meyersburg, Ontario'","Sambucus spp.","Ontario, Canada","CCG","Sambucus spp.  ","Sambucus","Sambucus spp.","",""
"220","CN 102617","Native 'Meyersburg, Ontario'","Sambucus spp.","Ontario, Canada","CCG","Sambucus spp.  ","Sambucus","Sambucus spp.","",""
"221","CN 105028 100","","Dalea purpurea Vent.","Saskatchewan, Canada","PGRC","Dalea purpurea  ","Dalea","Dalea purpurea","",""
"222","CN 99987","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"223","CN 100098","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"224","CN 100209","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"225","CN 100320","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"226","CN 100431","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"227","CN 103891","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"228","CN 99151","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"229","CN 99262","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"230","CN 99372","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"231","CN 99482","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"232","CN 99590","Native 'BC Collection: Site 8'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"233","CN 99611","Native 'BC Collection: Site 8'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"234","CN 99622","Native 'BC Collection: Site 8'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"235","CN 99633","Native 'BC Collection: Site 8'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"236","CN 99644","Native 'BC Collection: Site 8'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"237","CN 99656","Native 'BC Collection: Site 8'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"238","CN 99667","Native 'BC Collection: Site 13'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"239","CN 99678","Native 'BC Collection: Site 13'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"240","CN 99689","Native 'BC Collection: Site 13'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"241","CN 99699","Native 'BC Collection: Site 13'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"242","CN 99721","Native 'BC Collection: Site 13'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"243","CN 99732","Native 'BC Collection: Site 13'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"244","CN 99570","Native 'BC Collection: Site 15'","Fragaria vesca L.","British Columbia, Canada","CCG","Fragaria vesca  ","Fragaria","Fragaria vesca","",""
"245","CN 99574","Native 'BC Collection: Site 15'","Fragaria vesca L.","British Columbia, Canada","CCG","Fragaria vesca  ","Fragaria","Fragaria vesca","",""
"246","CN 99743","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"247","CN 99754","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"248","CN 99766","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"249","CN 99777","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"250","CN 99788","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"251","CN 99799","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"252","CN 99810","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"253","CN 99821","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"254","CN 99832","Native 'BC Collection: Site 16'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"255","CN 99843","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"256","CN 99854","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"257","CN 99865","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"258","CN 99877","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"259","CN 99888","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"260","CN 99899","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"261","CN 99910","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"262","CN 99921","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"263","CN 99932","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"264","CN 99943","Native 'BC Collection: Site 18'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"265","CN 99965","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"266","CN 99976","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"267","CN 99988","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"268","CN 99999","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"269","CN 100010","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"270","CN 100021","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"271","CN 100032","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"272","CN 100043","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"273","CN 100054","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"274","CN 100065","Native 'BC Collection: Site 19'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"275","CN 100076","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"276","CN 100087","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"277","CN 100099","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"278","CN 100110","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"279","CN 100121","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"280","CN 100132","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"281","CN 100143","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"282","CN 100154","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
