"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"65","Ulmus rubra","Elm","Ulmus","Ulmus rubra",NA,NA,"Y","Y","Y","bark","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","Ornamentals",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",36,19,17
"66","Ulmus thomasii","Elm","Ulmus","Ulmus thomasii",NA,NA,"Y","Y","Y","seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",8,5,3
"67","Viburnum opulus","Highbush cranberry","Viburnum","Viburnum opulus",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",96,43,53
"68","Viburnum dentatum","Highbush cranberry","Viburnum","Viburnum dentatum",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",103,39,64
"69","Alnus alnobetula","Alder","Alnus","Alnus alnobetula",NA,NA,"N","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",4,4,0
"70","Astragalus canadensis","Milk-vetch","Astragalus","Astragalus canadensis",NA,NA,"N","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",10,2,8
"71","Monarda fistulosa","Monarda","Monarda","Monarda fistulosa",NA,NA,"N","Y","Y","leaves, tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",101,19,82
"72","Nymphaea tetragona","Water-lily","Nymphaea","Nymphaea tetragona",NA,NA,"Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","",4,4,0
"73","Panicum virgatum","Proso-millet","Panicum","Panicum virgatum",NA,NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","",574,46,528
"74","Phalaris arundinacea","Canary Grass","Phalaris","Phalaris arundinacea",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",184,5,179
