TAXON_INFRA,TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,Canada_PGR_accessions_sp,NPGS_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,Canada_PGR_accessions_w_finest_taxon_res,NPGS_accessions_w_finest_taxon_res,SOURCE_OF_TAXON,WUS_SOURCE,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION
Astragalus canadensis,Astragalus canadensis,Astragalus canadensis,2,Y,Y,N,N,G5,N5,,4,2,8,2,6,1,1,1,0,1,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,NA,NA,Astragalus canadensis L.,,,roots,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AL(S1), AR(SNR), CA(SNR), CO(S3), CT(SNR), DC(SX), GA(S1), GS(PNR), IA(S5), ID(SNR), IL(SNR), IN(S4), KS(SNR), KY(SNR), LA(S3), MD(S1), MI(S1S2), MN(SNR), MO(SNR), MS(S2), MT(S5), NC(S3?), ND(SNR), NE(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(S3S4), OH(S2), OK(SNR), OR(SNR), PA(S1), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(S2), VA(S4), VT(S2), WA(SNR), WI(SNR), WV(S4), WY(S3?)","AB(S4), BC(S5), MB(S5), NT(SNR), ON(S4), QC(SNR), SK(S4), YT(SNA)"
Astragalus canadensis var. brevidens,Astragalus canadensis var. brevidens,Astragalus canadensis,2,Y,Y,N,Y,T5,N5,,4,2,8,2,6,NA,NA,NA,NA,NA,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,var.,brevidens,Astragalus canadensis var. brevidens (Gand.) Barneby,,,roots,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), CO(SNR), ID(SNR), MT(S4), NV(SNR), OR(SNR), UT(S2), WA(SNR), WY(S3)",BC(SU)
Astragalus canadensis var. canadensis,Astragalus canadensis var. canadensis,Astragalus canadensis,2,Y,Y,N,Y,T5,N5,,4,2,8,2,6,NA,NA,NA,NA,NA,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,var.,canadensis,Astragalus canadensis var. canadensis,,,roots,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), CO(SNR), CT(SNR), GA(SNR), IA(SNR), ID(SNR), IL(SNR), IN(S4), KS(SNR), KY(S2), LA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NJ(SX.1), NM(SNR), NY(S1), OH(SNR), OK(SNR), PA(SNR), SC(SH), SD(SNR), TN(SNR), TX(SNR), UT(S1), VA(S4), VT(S2), WA(SNR), WI(SNR), WV(S4), WY(S2)","AB(S4), BC(S5), MB(S5), NT(SNR), ON(S4), QC(S3), SK(S4)"
Astragalus canadensis var. mortonii,Astragalus canadensis var. mortonii,Astragalus canadensis,2,Y,Y,N,Y,T5,N5,,4,2,8,2,6,NA,NA,NA,NA,NA,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,var.,mortonii,Astragalus canadensis var. mortonii (Nutt.) S.Watson,,,roots,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(SNR), MT(S4), OR(SNR), WA(SNR)",BC(S5)
Astragalus collinus,Astragalus collinus,Astragalus collinus,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus collinus (Hook.) Douglas ex G.Don,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(SNR), OR(SNR), WA(SNR)",BC(S4S5)
Astragalus collinus var. collinus,Astragalus collinus var. collinus,Astragalus collinus,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,collinus,Astragalus collinus var. collinus,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(S1), OR(SNR), WA(SNR)",BC(S4S5)
Astragalus crassicarpus,Astragalus crassicarpus,Astragalus crassicarpus,2,Y,Y,Y,N,G5,N4,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,NA,NA,Astragalus crassicarpus Nutt.,,,unripe pods and seeds,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AR(SNR), AZ(SNR), CO(SNR), IA(S4), IL(SNR), KS(S2?), LA(SNR), MN(SNR), MO(SNR), MT(S4), ND(SNR), NE(SNR), NM(SNR), OK(SNR), SD(SNR), TX(SNR), WI(S2), WY(SNR)","AB(S3S5), BC(S1), MB(S3S4), SK(S4)"
Astragalus crassicarpus var. crassicarpus,Astragalus crassicarpus var. crassicarpus,Astragalus crassicarpus,2,Y,Y,Y,Y,T5,N4,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,var.,crassicarpus,Astragalus crassicarpus var. crassicarpus,,,unripe pods and seeds,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AR(S2), CO(SNR), IA(SNR), KS(SNR), MN(SNR), MO(SNR), MT(S3S4), ND(SNR), NE(SNR), NM(SNR), OK(SNR), SD(SNR), TX(S3), WI(SNR), WY(S4)","AB(S3S5), MB(SNR), SK(S4)"
Astragalus drummondii,Astragalus drummondii,Astragalus drummondii,2,Y,N,,Y,G5,N4,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus drummondii Douglas ex Hook.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), ID(S2), MT(S4), ND(S1), NE(SNR), NM(SNR), SD(SNR), UT(SNR), WY(S4S5)","AB(S3S5), BC(S1), SK(S4?)"
Astragalus eucosmus,Astragalus eucosmus,Astragalus eucosmus,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus eucosmus B.L.Rob.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), CO(SNR), ID(S3), ME(SX), MT(S3S4), NJ(SNR), WA(SNR), WY(S3)","AB(S4), BC(S5?), LB(S3S4), MB(S3S4), NB(S2), NF(S3), NT(SNR), NU(SU), ON(S4), QC(S4), SK(S4?), YT(S5)"
Astragalus filipes,Astragalus filipes,Astragalus filipes,2,Y,N,,Y,G5,N4,,0,0,2,0,2,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus filipes Torr. ex A.Gray,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), NV(S5), OR(SNR), UT(S1), WA(SNR)",BC(SU)
Astragalus flexuosus,Astragalus flexuosus,Astragalus flexuosus,2,Y,N,,Y,G5,N4,,2,0,3,2,1,2,0,2,2,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus flexuosus (Hook.) Douglas ex G.Don,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AZ(SNR), CO(SNR), IA(SNR), KS(SNR), MN(S3), MT(S4), ND(SNR), NE(SNR), NM(SNR), NV(SNR), SD(SNR), UT(S2), WY(S3)","AB(S4), MB(S3S4), SK(S4)"
Astragalus gilviflorus,Astragalus gilviflorus,Astragalus gilviflorus,2,Y,N,Y,N,G5,N5,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus gilviflorus E.Sheld.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(S2), ID(S2), KS(SNR), MT(S4), ND(SNR), NE(SNR), OK(SNR), SD(SNR), UT(S1), WY(S3)","AB(S3), MB(S1), SK(S5?)"
Astragalus gilviflorus var. gilviflorus,Astragalus gilviflorus var. gilviflorus,Astragalus gilviflorus,2,Y,N,Y,Y,T5,N5,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,gilviflorus,Astragalus gilviflorus var. gilviflorus,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), ID(SNR), KS(S2), MT(SNR), ND(SNR), NE(SNR), OK(S1), SD(SNR), UT(SNR), WY(S3)","AB(S3), MB(S1), SK(S5?)"
Astragalus kentrophyta,Astragalus kentrophyta,Astragalus kentrophyta,2,Y,N,Y,N,G5,N2,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus kentrophyta A.Gray,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AZ(SNR), CA(SNR), CO(SNR), ID(S5), KS(SNR), MT(S4), ND(SNR), NE(SNR), NM(S5), NN(SNR), NV(SNR), OR(SNR), SD(SNR), UT(S4), WA(SNR), WY(S5)","AB(S2), SK(S2)"
Astragalus kentrophyta var. kentrophyta,Astragalus kentrophyta var. kentrophyta,Astragalus kentrophyta,2,Y,N,Y,Y,T4,N2,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,kentrophyta,Astragalus kentrophyta var. kentrophyta,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), KS(SNR), MT(S2S4), ND(SNR), NE(S3S4), SD(SH), WY(S2)","AB(S2), SK(S2)"
Astragalus laxmannii,Astragalus laxmannii,Astragalus laxmannii,2,Y,N,Y,N,G5,N5,,0,0,2,0,2,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus laxmannii Jacq.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), CO(SNR), IA(S1), ID(SNR), MN(SNR), MT(S4S5), ND(SNR), NE(SNR), NM(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S5), BC(S4S5), MB(S5), NT(SNR), ON(SNA), SK(S4), YT(S4)"
Astragalus laxmannii var. robustior,Astragalus laxmannii var. robustior,Astragalus laxmannii,2,Y,N,Y,Y,T5,N5,,0,0,2,0,2,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,robustior,Astragalus laxmannii var. robustior (Hook.) Barneby & S.L.Welsh,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), IA(SNR), ID(SNR), MN(SNR), MT(SNR), ND(SNR), NE(SNR), NM(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S5), BC(S4S5), MB(S5), NT(SNR), ON(SNA), SK(S4), YT(S4)"
Astragalus laxmannii var. tananaicus,Astragalus laxmannii var. tananaicus,Astragalus laxmannii,2,Y,N,Y,Y,T3,N3,,0,0,2,0,2,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,tananaicus,Astragalus laxmannii var. tananaicus (Hult√©n) Barneby & S.L.Welsh,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,AK(SNR),"BC(SU), YT(S3S4)"
Astragalus lentiginosus,Astragalus lentiginosus,Astragalus lentiginosus,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus lentiginosus Douglas ex Hook.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AZ(S5), CA(SNR), CO(SNR), ID(SNR), MT(S3S5), NM(S5), NV(S5), OR(SNR), TX(SNR), UT(S5), WA(SNR), WY(S2S3)",BC(SU)
Astragalus lentiginosus var. salinus,Astragalus lentiginosus var. salinus,Astragalus lentiginosus,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,salinus,Astragalus lentiginosus var. salinus (Howell) Barneby,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), MT(S3S5), NV(SNR), OR(SNR), UT(SNR), WY(S1)",BC(SNR)
Astragalus lotiflorus,Astragalus lotiflorus,Astragalus lotiflorus,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus lotiflorus Hook.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), IA(S4), KS(SNR), MN(SNR), MO(S2), MT(S4), ND(SNR), NE(SNR), NM(SNR), OK(SNR), SD(SNR), TX(SNR), WY(S3)","AB(S3), BC(S4), MB(S1), SK(S4)"
Astragalus microcystis,Astragalus microcystis,Astragalus microcystis,2,Y,N,,Y,G5,N2,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus microcystis A.Gray,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(SH), MT(S4), WA(S2), WY(SNR)",BC(S2S3)
Astragalus miser,Astragalus miser,Astragalus miser,2,Y,Y,Y,N,G5,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,NA,NA,Astragalus miser Douglas ex Hook.,,,seeds,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AZ(SNR), CO(SNR), ID(SNR), MT(S5), NV(SNR), OR(SNR), SD(SH), UT(S5), WA(S4S5), WY(S5)","AB(S4), BC(S5)"
Astragalus miser var. serotinus,Astragalus miser var. serotinus,Astragalus miser,2,Y,Y,Y,Y,T5,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Milk-vetch,,Astragalus,var.,serotinus,Astragalus miser var. serotinus (A.Gray ex E.Cooper) Barneby,,,seeds,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(SNR), MT(SNR), OR(SNR), WA(SNR)","AB(SU), BC(S5)"
Astragalus missouriensis,Astragalus missouriensis,Astragalus missouriensis,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus missouriensis Nutt.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), IA(S2), KS(SNR), MN(S3), MT(S4S5), ND(SNR), NE(SNR), NM(SNR), OK(SNR), SD(SNR), TX(SNR), UT(S1), WY(S4S5)","AB(S3), BC(S1S3), MB(S3), SK(S4)"
Astragalus neglectus,Astragalus neglectus,Astragalus neglectus,2,Y,N,,Y,G4,N3,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus neglectus (Torr. & A.Gray) E.Sheld.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"IA(SNR), MI(S3), MN(S4), ND(S1), NY(S1), OH(S1), PA(S1), SD(SNR), VA(S2), WI(S1), WV(S1)","MB(S1), ON(S3)"
Astragalus pectinatus,Astragalus pectinatus,Astragalus pectinatus,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus pectinatus (Hook.) Douglas ex G.Don,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), KS(SNR), MT(S4), ND(SNR), NE(S1), NM(SNR), SD(SNR), WY(S4)","AB(S5), MB(S2), SK(S4)"
Astragalus purshii,Astragalus purshii,Astragalus purshii,2,Y,N,Y,N,G5,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus purshii Douglas ex G.Don,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), CO(SNR), ID(S5), MT(S4S5), ND(SNR), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S3), BC(S5), SK(S3)"
Astragalus purshii var. glareosus,Astragalus purshii var. glareosus,Astragalus purshii,2,Y,N,Y,Y,T4,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,glareosus,Astragalus purshii var. glareosus (Douglas) Barneby,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(SNR), NV(SNR), OR(SNR), UT(S1), WA(SNR)",BC(S5)
Astragalus purshii var. purshii,Astragalus purshii var. purshii,Astragalus purshii,2,Y,N,Y,Y,T5,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,purshii,Astragalus purshii var. purshii,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), CO(SNR), ID(SNR), MT(S4S5), ND(SNR), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S3), BC(S5), SK(S3)"
Astragalus racemosus,Astragalus racemosus,Astragalus racemosus,2,Y,N,Y,N,G5,N2,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus racemosus Pursh,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), KS(SNR), MN(SH), MT(S2S3), ND(SNR), NE(SNR), NM(SNR), OK(SNR), SD(SNR), TX(SNR), UT(SNR), WY(S2)",SK(S2)
Astragalus racemosus var. racemosus,Astragalus racemosus var. racemosus,Astragalus racemosus,2,Y,N,Y,Y,T5,N2,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,racemosus,Astragalus racemosus var. racemosus,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), KS(SNR), MN(SH), MT(S2S3), ND(SNR), NE(SNR), NM(SNR), OK(SNR), SD(SNR), TX(SNR), WY(S2)",SK(S2)
Astragalus robbinsii,Astragalus robbinsii,Astragalus robbinsii,2,Y,N,Y,N,G5,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus robbinsii (Oakes) A.Gray,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(S3), CO(SNR), ID(SNR), ME(S1), MT(S4), NH(SNR), NM(SNR), NV(S4), OR(SNR), UT(S1), VT(S2), WA(SNR), WY(S2)","AB(S3), BC(S5), LB(S1), NF(S1), NS(S1), NT(SNR), QC(SNR)"
Astragalus robbinsii var. fernaldii,Astragalus robbinsii var. fernaldii,Astragalus robbinsii,2,Y,N,Y,Y,T1,N1,SC - Special Concern (SC) / PrÈoccupante (P),0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,fernaldii,Astragalus robbinsii var. fernaldii (Rydb.) Barneby,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,,"LB(SNR), NF(SNR), QC(S1)"
Astragalus robbinsii var. minor,Astragalus robbinsii var. minor,Astragalus robbinsii,2,Y,N,Y,Y,T5,N5,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,minor,Astragalus robbinsii var. minor (Hook.) Barneby,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), CO(SNR), ID(SNR), ME(S1), MT(SNR), NM(SNR), UT(S1), VT(S2), WA(SNR), WY(S2)","AB(S3), BC(S5), LB(S1), NF(S1), NS(S1), NT(SNR), YT(SNR)"
Astragalus sclerocarpus,Astragalus sclerocarpus,Astragalus sclerocarpus,2,Y,N,,Y,G5,N2,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus sclerocarpus A.Gray,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"OR(S3), WA(SNR)",BC(S2)
Astragalus spatulatus,Astragalus spatulatus,Astragalus spatulatus,2,Y,N,,Y,G5,N3,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus spatulatus E.Sheld.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), ID(S3), KS(S1), MT(S4), ND(SNR), NE(SNR), SD(SNR), UT(SNR), WY(S5)","AB(S3), SK(S3)"
Astragalus tenellus,Astragalus tenellus,Astragalus tenellus,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus tenellus Pursh,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), ID(SNR), MN(SH), MT(S4), ND(SNR), NE(SNR), NM(SNR), NV(SNR), OR(S1?), SD(SNR), UT(SNR), WA(S1), WY(S5)","AB(S4), BC(S5), MB(S4), NT(SNR), ON(S1), SK(S4), YT(S3S4)"
Astragalus umbellatus,Astragalus umbellatus,Astragalus umbellatus,2,Y,N,,Y,G4,N5,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus umbellatus Bunge,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,AK(S4),"BC(S4), NT(SNR), YT(S5)"
Astragalus vexilliflexus,Astragalus vexilliflexus,Astragalus vexilliflexus,2,Y,N,Y,N,G4,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus vexilliflexus E.Sheld.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(S2), MT(S4), ND(S3), SD(SNR), WY(S3)","AB(S3), BC(S4), SK(S2)"
Astragalus vexilliflexus var. vexilliflexus,Astragalus vexilliflexus var. vexilliflexus,Astragalus vexilliflexus,2,Y,N,Y,Y,T4,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,var.,vexilliflexus,Astragalus vexilliflexus var. vexilliflexus,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(S1), MT(SNR), ND(SNR), SD(SNR), WY(S3)","AB(S3), BC(S4), SK(S2)"
Astragalus williamsii,Astragalus williamsii,Astragalus williamsii,2,Y,N,,Y,G4,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Milk-vetch,,Astragalus,NA,NA,Astragalus williamsii Britton & Rydb.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,AK(S3),YT(S4)
Balsamorhiza deltoidea,Balsamorhiza deltoidea,Balsamorhiza deltoidea,NA,N,Y,,Y,G5,N2,E - Endangered (E) / En voie de disparition (VD),6,6,3,0,3,5,5,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Balsamroot,,Balsamorhiza,NA,NA,Balsamorhiza deltoidea Nutt.,,,"roots, sprouts",Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,"CA(SNR), OR(SNR), WA(SNR)",BC(S2)
Balsamorhiza sagittata,Balsamorhiza sagittata,Balsamorhiza sagittata,NA,N,Y,,Y,G5,N5,,0,0,67,0,67,0,0,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Balsamroot,,Balsamorhiza,NA,NA,Balsamorhiza sagittata (Pursh) Nutt.,,,"roots, greens, stems, seeds",Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S4), BC(S5)"
Betula alleghaniensis,Betula alleghaniensis,Betula alleghaniensis,2,Y,Y,,Y,G5,N5,,233,55,192,178,14,211,34,178,177,1,Davidson 1995,Kuhnlein and Turner 2020,Birch,,Betula,NA,NA,Betula alleghaniensis Britton,,,twigs and sap,Y,Forage and Feed,,NA,Forest Resources,,,NA,NA,2,,,,,,,,,,,"CT(SNR), GA(SNR), GS(P5), IA(S3), IL(S1), IN(SNR), KY(S5), MA(SNR), MD(SNR), ME(S5), MI(SNR), MN(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), PA(S5), RI(SNR), SC(S1), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4)","NB(S5), NF(S3), NS(S5), ON(S5), PE(S5), QC(S4S5)"
Betula cordifolia,Betula cordifolia,Betula cordifolia,2,Y,N,,Y,T5,N5,,16,0,16,16,0,15,0,15,15,0,Davidson 1995,,Birch,,Betula,NA,NA,Betula cordifolia Regel,,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,NA,2,,,,,,,,,,,"CT(SNR), GS(P1), IA(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S1), ND(SNR), NH(SNR), NJ(SNR), NY(S3), PA(SNR), TN(S1), TV(SNR), VA(S2), VT(SNR), WI(SNR), WV(S1)","LB(S4S5), NB(S5), NF(S4S5), NS(S5), ON(S4?), PE(S2S3), QC(S5?)"
