TAXON_INFRA,TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,Canada_PGR_accessions_sp,NPGS_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,Canada_PGR_accessions_w_finest_taxon_res,NPGS_accessions_w_finest_taxon_res,SOURCE_OF_TAXON,WUS_SOURCE,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION
Acer pensylvanicum,Acer pensylvanicum,Acer pensylvanicum,1,Y,Y,,Y,G5,N5,,71,43,38,28,10,39,12,27,27,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer pensylvanicum L.,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"CT(SNR), GA(S3S4), GS(P5), KY(S3S4), MA(SNR), MD(SNR), ME(SNR), MI(SNR), NC(S4), NH(SNR), NJ(S4), NY(S5), OH(S2), PA(S5), RI(S1), SC(S2), TN(SNR), VA(S5), VT(SNR), WI(S1), WV(S4)","NB(S5), NS(S5), ON(S4), PE(S5), QC(S5)"
Acer rubrum,Acer rubrum,Acer rubrum,1,Y,Y,N,N,G5,N5,,443,240,228,203,25,265,62,203,203,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer rubrum L.,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(PNR), IA(SU), IL(SNR), IN(S5), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","BC(SNA), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5)"
Acer rubrum var. rubrum,Acer rubrum var. rubrum,Acer rubrum,1,Y,Y,N,Y,T5,NU,,443,240,228,203,25,NA,NA,NA,NA,NA,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,var.,rubrum,Acer rubrum var. rubrum,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DE(S5), GA(S5), GS(P5), IA(SNR), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","BC(SNA), NB(SNR), NS(SNR), ON(SU), PE(SNR), QC(SNR)"
Acer rubrum var. trilobum,Acer rubrum var. trilobum,Acer rubrum,1,Y,Y,N,Y,T5,NU,,443,240,228,203,25,NA,NA,NA,NA,NA,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,var.,trilobum,Acer rubrum var. trilobum Torr. & A.Gray ex K.Koch,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), GS(P1P2), IL(SNR), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S3S4), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5?), VT(SNR), WV(S3)","NB(SNR), NS(SNR), ON(SU), QC(SNR)"
Acer saccharinum,Acer saccharinum,Acer saccharinum,1,Y,Y,,Y,G5,N5,,125,125,1,0,1,85,85,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer saccharinum L.,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S3S4), GS(P1), IA(S5), IL(SNR), IN(S5), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S4), NS(S1), ON(S5), QC(S3S4), SK(SNA)"
Acer saccharum,Acer saccharum,Acer saccharum,1,Y,Y,,Y,G5,N5,,107,65,45,42,3,46,4,42,42,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer saccharum Marshall,,,sugar maple',Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Progenitor,1A,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(SNA), DE(S4), GA(S3), GS(P5), IA(S5), IL(SNR), IN(S5), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(S5), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SH), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(S4), TN(SNR), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S5), NS(S4S5), ON(S5), PE(S4), QC(S5)"
Acer spicatum,Acer spicatum,Acer spicatum,1,Y,Y,,Y,G5,N5,,87,37,59,50,9,65,15,50,50,0,Davidson 1995,,Sugar Maple,,Acer,NA,NA,Acer spicatum Lam.,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"CT(SNR), GA(S2), GS(P4), IA(S2), KY(S1S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S3), NH(SNR), NJ(S4), NY(S4S5), OH(SNR), PA(S5), RI(S1), TN(SNR), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4)","LB(S2), MB(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5), SK(S4)"
Achillea millefolium,Achillea millefolium,Achillea millefolium,NA,N,Y,,Y,T5,NNA,,32,28,147,4,143,4,0,4,4,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Yarrow,,Achillea,NA,NA,Achillea millefolium L.,,,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"CA(SNA), FL(SNR), ID(SNA), IL(SNA), KS(SNA), KY(SNA), MA(SNR), ME(SNA), MI(SNA), MN(SNA), MO(SNA), NJ(SNA), NY(SNA), OR(SNA), PA(SNA), RI(SNA), VT(SNA), WA(SNA), WI(SNA)","AB(SNA), BC(SNA), MB(SNA), NB(SNA), NF(SNA), NS(SNA), ON(SNA), QC(SNA), SK(SNA)"
Acmispon americanus,Acmispon americanus,Acmispon americanus,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Trefoil,,Acmispon,NA,NA,Acmispon americanus (Nutt.) Rydb.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CT(SNR), GA(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), LA(SNR), MA(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), SC(SNR), SD(SNR), TX(SNR), VA(S1), WA(SNR), WI(SNR), WY(S2S3)","BC(S4), MB(S2S3), SK(S3)"
Acmispon americanus var. americanus,Acmispon americanus var. americanus,Acmispon americanus,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Trefoil,,Acmispon,var.,americanus,Acmispon americanus var. americanus,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CT(SNR), IA(SNR), ID(SNR), IL(SNA), IN(SNR), KS(SNR), LA(S2), MA(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), SD(SNR), TX(SNR), WA(SNR), WI(SNR), WY(SNR)","BC(S4), MB(S2S3), SK(S3)"
