"","TAXON","Verified","Pasted_NPGS","Pasted.PGRC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","GENUS","SPECIES","RANK","INFRASPECIFC"
"26","Agrostis exarata","y","y",NA,"Bentgrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Agrostis","Agrostis exarata",NA,NA
"27","Agrostis hyemalis","y","y",NA,"Bentgrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Agrostis","Agrostis hyemalis",NA,NA
"28","Agrostis mertensii","y","y",NA,"Bentgrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Agrostis","Agrostis mertensii",NA,NA
"29","Agrostis perennans","y","y",NA,"Bentgrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Agrostis","Agrostis perennans",NA,NA
"30","Agrostis scabra","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Agrostis","Agrostis scabra",NA,NA
"31","Allium acuminatum","y","y",NA,"Onions, Garlic, Leeks","Y","Y","Y","Hooker's onion; blubs","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium acuminatum",NA,NA
"32","Allium amplectens","y","y",NA,"Onions, Garlic, Leeks","Y","Y","Y","slim leaf onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium amplectens",NA,NA
"33","Allium canadense","y","y",NA,"Onions, Garlic, Leeks","N","Y","Y","Canada onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium canadense",NA,NA
"34","Allium canadense var. canadense","y","",NA,"Onions, Garlic, Leeks","Y","Y","Y","Canada onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium canadense","var.","canadense"
"35","Allium cernuum","y","y",NA,"Onions, Garlic, Leeks","Y","Y","Y","nodding onion; bulbs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium cernuum",NA,NA
"36","Allium crenulatum","y","y",NA,"Onions, Garlic, Leeks","Y","Y","Y","Olympic onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium crenulatum",NA,NA
"37","Allium geyeri","y","y",NA,"Onions, Garlic, Leeks","N","Y","Y","Geyer's onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium geyeri",NA,NA
"38","Allium geyeri var. tenerum","y","",NA,"Onions, Garlic, Leeks","Y","Y","Y","Geyer's onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium geyeri","var.","tenerum"
"39","Allium schoenoprasum","y","y",NA,"Onions, Garlic, Leeks","N","Y","Y","gathered as 'wild chives'","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Allium","Allium schoenoprasum",NA,NA
"40","Allium schoenoprasum var. schoenoprasum","y","",NA,"Onions, Garlic, Leeks","Y","Y","Y","gathered as 'wild chives'","N","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Allium","Allium schoenoprasum","var.","schoenoprasum"
"41","Allium stellatum","y","y",NA,"Onions, Garlic, Leeks","Y","Y","Y","prairie onion or pink flowered onion, both the bulbs and greens consumed","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium stellatum",NA,NA
"42","Allium textile","y","y",NA,"Onions, Garlic, Leeks","Y","Y","Y","wild onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium textile",NA,NA
"43","Allium tricoccum","y","y",NA,"Onions, Garlic, Leeks","N","Y","Y","ramps'; leaves and bulbs","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium tricoccum",NA,NA
"44","Allium tricoccum var. tricoccum","y","",NA,"Onions, Garlic, Leeks","Y","Y","Y","ramps'; leaves and bulbs","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Allium","Allium tricoccum","var.","tricoccum"
"45","Allium burdickii","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Allium","Allium burdickii",NA,NA
"46","Alnus alnobetula","y","y",NA,"Alder","N","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Alnus","Alnus alnobetula",NA,NA
"47","Alnus alnobetula subsp. crispa","y","",NA,"Alder","Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Alnus","Alnus alnobetula","subsp.","crispa"
"48","Alnus alnobetula subsp. sinuata","y","",NA,"Alder","Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Alnus","Alnus alnobetula","subsp.","sinuata"
"49","Alnus incana","y","y",NA,"Alder","N","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Alnus","Alnus incana",NA,NA
"50","Alnus incana subsp. rugosa","y","",NA,"Alder","Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Alnus","Alnus incana","subsp.","rugosa"
"51","Alnus rubra","y","y",NA,"Alder","Y","Y","Y","inner bark and catkins","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Alnus","Alnus rubra",NA,NA
"52","Amaranthus albus","y","y",NA,"Amaranth","Y","Y","Y","greens and seeds used","N","Food","Ornamentals",NA,"Cereals and pseudocereals","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amaranthus","Amaranthus albus",NA,NA
"53","Amaranthus californicus","y","y",NA,"Amaranth","Y","Y","Y","greens and seeds used","Y","Food","Ornamentals",NA,"Cereals and pseudocereals","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amaranthus","Amaranthus californicus",NA,NA
"54","Amaranthus hybridus","y","y",NA,"Amaranth","Y","Y","Y","greens and seeds used","N","Food","Ornamentals",NA,"Cereals and pseudocereals","Ornamentals","",NA,1,"Progenitor","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Amaranthus","Amaranthus hybridus",NA,NA
"55","Amaranthus retroflexus","y","y",NA,"Amaranth","Y","Y","Y","greens and seeds used","N","Food","Ornamentals",NA,"Cereals and pseudocereals","Ornamentals","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Amaranthus","Amaranthus retroflexus",NA,NA
"56","Amaranthus tuberculatus","y","y",NA,"Amaranth","Y","Y","N","","Y","Food","Ornamentals",NA,"Cereals and pseudocereals","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Amaranthus","Amaranthus tuberculatus",NA,NA
"57","Ambrosia chamissonis","y","y",NA,"Ragweed","Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Ambrosia","Ambrosia chamissonis",NA,NA
"58","Amelanchier alnifolia","y","",NA,"Saskatoon","N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier alnifolia",NA,NA
"59","Amelanchier alnifolia var. alnifolia","y","",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier alnifolia","var.","alnifolia"
"60","Amelanchier alnifolia var. cusickii","y","",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier alnifolia","var.","cusickii"
"61","Amelanchier alnifolia var. semiintegrifolia","y","",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier alnifolia","var.","semiintegrifolia"
"62","Amelanchier alnifolia var.humptulipensis","y","",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Amelanchier","Amelanchier alnifolia","var.humptulipensis",NA
"63","Amelanchier arborea","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier arborea",NA,NA
"64","Amelanchier bartramiana","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier bartramiana",NA,NA
"65","Amelanchier canadensis","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier canadensis",NA,NA
"66","Amelanchier humilis","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier humilis",NA,NA
"67","Amelanchier interior","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier interior",NA,NA
"68","Amelanchier intermedia","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier intermedia",NA,NA
"69","Amelanchier laevis","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier laevis",NA,NA
"70","Amelanchier pumila","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier pumila",NA,NA
"71","Amelanchier sanguinea","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier sanguinea",NA,NA
"72","Amelanchier spicata","y","y",NA,"Saskatoon","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier","Amelanchier spicata",NA,NA
"73","Amphicarpaea bracteata","y","y",NA,"Hog-peanut","Y","N","Y","Hog-peanut; seeds","Y","Food","",NA,"Pulses","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Amphicarpaea","Amphicarpaea bracteata",NA,NA
"74","Amphicarpaea bracteata var. bracteata","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Amphicarpaea","Amphicarpaea bracteata","var.","bracteata"
"75","Amphicarpaea bracteata var. comosa","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Amphicarpaea","Amphicarpaea bracteata","var.","comosa"
"76","Andropogon hallii","y","y",NA,"Bluestem","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Andropogon","Andropogon hallii",NA,NA
"77","Apios americana","y","y",NA,"Ground nut","Y","N","Y","ground nut' or 'potato bean' edible tuber","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Apios","Apios americana",NA,NA
"78","Aralia nudicaulis","y","y",NA,"Wild-sarsaparilla","Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Aralia","Aralia nudicaulis",NA,NA
"79","Arbutus menziesii","y","y",NA,"Arbutus","Y","N","Y","medicinal properties","Y","Medicinals","Food",NA,"Medicinals","Fruits","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Arbutus","Arbutus menziesii",NA,NA
"80","Poa eminens","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Poa","Poa eminens",NA,NA
"81","Arctopoa eminens","","",NA,"Bluegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Arctopoa","Arctopoa eminens",NA,NA
"82","Arctostaphylos columbiana","y","y",NA,"Bearberry","Y","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Arctostaphylos","Arctostaphylos columbiana",NA,NA
"83","Arctous rubra","y","y",NA,"Bearberry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Arctous","Arctous rubra",NA,NA
"84","Arctostaphylos uva-ursi","y","y",NA,"Bearberry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Arctostaphylos","Arctostaphylos uva-ursi",NA,NA
"85","Potentilla anserina","y","y",NA,"Potentilla","N","N","Y","","Y","Medicinals","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Potentilla","Potentilla anserina",NA,NA
"86","Potentilla anserina subsp. anserina","y","y",NA,"Potentilla","Y","N","Y","","Y","Medicinals","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Potentilla","Potentilla anserina","subsp.","anserina"
"87","Potentilla anserina subsp. groenlandica","y","y",NA,"Potentilla","Y","N","Y","","Y","Medicinals","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Potentilla","Potentilla anserina","subsp.","groenlandica"
"88","Arnica cordifolia","y","y",NA,"Arnica","Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Arnica","Arnica cordifolia",NA,NA
"89","Aruncus dioicus","y","y",NA,"Goatsbeard","Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Aruncus","Aruncus dioicus",NA,NA
"90","Aruncus dioicus var. acuminatus","y","y",NA,"Goatsbeard","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Aruncus","Aruncus dioicus","var.","acuminatus"
"91","Asarum canadense","y","y",NA,"Wild-ginger","Y","N","Y","wild ginger; rhizomes as condiment","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Asarum","Asarum canadense",NA,NA
"92","Asarum caudatum","y","y",NA,"Wild-ginger","Y","N","Y","wild ginger; rhizomes as condiment","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Asarum","Asarum caudatum",NA,NA
