"","TAXON","Verified","Pasted_NPGS","Pasted.PGRC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","GENUS","SPECIES","RANK","INFRASPECIFC"
"1","Abies amabilis","y","y",NA,"Fir","Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Abies","Abies amabilis",NA,NA
"2","Abies balsamea","y","y",NA,"Fir","Y","Y","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies","Abies balsamea",NA,NA
"3","Abies grandis","y","y",NA,"Fir","Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Abies","Abies grandis",NA,NA
"4","Abies lasiocarpa","y","y",NA,"Fir","Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Abies","Abies lasiocarpa",NA,NA
"5","Acer circinatum","y","y",NA,"Sugar Maple","Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Acer","Acer circinatum",NA,NA
"6","Acer glabrum","y","y",NA,"Sugar Maple","N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer glabrum",NA,NA
"7","Acer glabrum var. douglasii","y","",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer glabrum","var.","douglasii"
"8","Acer macrophyllum","y","y",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer macrophyllum",NA,NA
"9","Acer negundo","y","y",NA,"Sugar Maple","N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer negundo",NA,NA
"10","Acer negundo var. negundo","y","",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer negundo","var.","negundo"
"11","Acer pensylvanicum","y","y",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer pensylvanicum",NA,NA
"12","Acer rubrum","y","y",NA,"Sugar Maple","N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer rubrum",NA,NA
"13","Acer rubrum var. rubrum","y","",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer rubrum","var.","rubrum"
"14","Acer rubrum var. trilobum","y","",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer rubrum","var.","trilobum"
"15","Acer saccharinum","y","y",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer","Acer saccharinum",NA,NA
"16","Acer saccharum","y","y",NA,"Sugar Maple","Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer","Acer saccharum",NA,NA
"17","Acer spicatum","y","y",NA,"Sugar Maple","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Acer","Acer spicatum",NA,NA
"18","Achillea millefolium","y","y",NA,"Yarrow","Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Achillea","Achillea millefolium",NA,NA
"19","Acmispon americanus","y","y",NA,"Trefoil","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Acmispon","Acmispon americanus",NA,NA
"20","Acmispon americanus var. americanus","y","",NA,"Trefoil","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Acmispon","Acmispon americanus","var.","americanus"
"21","Acmispon denticulatus","y","y",NA,"Trefoil","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Acmispon","Acmispon denticulatus",NA,NA
"22","Acmispon parviflorus","y","y",NA,"Trefoil","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Acmispon","Acmispon parviflorus",NA,NA
"23","Agastache foeniculum","y","y",NA,"Hyssop","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Agastache","Agastache foeniculum",NA,NA
"24","Agastache nepetoides","y","y",NA,"Hyssop","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Agastache","Agastache nepetoides",NA,NA
"25","Agastache urticifolia","y","y",NA,"Hyssop","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Agastache","Agastache urticifolia",NA,NA
