ELEMENT_GLOBAL_ID,GLOBAL_UNIQUE_IDENTIFIER,ELEMENT_NATIONAL_ID,ELEMENT_CODE,CATEGORY,TAX_GROUP,GLOBAL_SCIENTIFIC_NAME,CLASSIFICATION_STATUS,GNAME_LEVEL,CONCEPT_REF_CODE,CONCEPT_REF_FULL,TAX_COM,GLOBAL_ENGL_NAME,GLOB_FR_NAME,GLOBAL_SYNONYMS,CA_NNAME_LEVEL,NATIONAL_SCIENTIFIC_NAME,NATIONAL_ENGL_NAME,NATIONAL_FR_NAME,NATIONAL_SYNONYMS,G_RANK,ROUNDED_G_RANK,G_RANK_CHANGE_DATE,G_RANK_REVIEW_DATE,N_RANK,ROUNDED_N_RANK,N_RANK_CHANGE_DATE,N_RANK_REVIEW_DATE,BCD_STYLE_N_RANK,SARA_STATUS,SARA_DATE,COSEWIC_ID,COSEWIC_DESC,COSEWIC_DATE,COSEWIC_SUMMARY,COSEWIC_NAME,GRANK_REASONS,CURRENT_CA_DISTRIBUTION,CURRENT_US_DISTRIBUTION
149227,2-149227,226476,PMPOA4K1Z4,Vascular Plant,Monocots,Panicum rigidulum ssp. pubescens,Standard,Subspecies,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",Panicum rigidulum var. pubescens of Flora of North America Editorial Committee (2003) is equivalent to Coleataenia longifolia ssp. longifolia of Soreng (2010).,Coastal Plain Panicgrass,Panic pubescent,"Coleataenia longifolia ssp. longifolia, Panicum longifolium var. longifolium, Panicum rigidulum var. pubescens",Subspecies,Coleataenia longifolia ssp. longifolia,Coastal Plain Panicgrass,Panic pubescent,"Panicum longifolium var. longifolium, Panicum rigidulum ssp. pubescens, Panicum rigidulum var. pubescens",G5T5?,T5,10/22/2000,10/22/2000,N3,N3,3/5/2012,12/20/2017,,,,,,,,,,NS(S3),"AL(SNR), AR(SNR), CT(SU), DC(SNR), DE(S4), FL(SNR), GA(SNR), IL(SNR), IN(S1), LA(SNR), MA(S2), MD(SNR), MI(SNR), MO(SU), MS(SNR), NC(S4), NH(SH), NJ(S4S5), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5?)"
128286,2-128286,212365,PDROS24010,Vascular Plant,Dicots,Comarum palustre,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Marsh Cinquefoil,Comaret des marais,"Comarum palustris, Potentilla palustris",Species,Comarum palustre,Marsh Cinquefoil,Comaret des marais,"Comarum palustris, Potentilla palustris",G5,G5,6/25/1984,9/23/2015,N5,N5,3/5/2012,9/5/2017,,,,,,,,,,"AB(S5), BC(S5), LB(S4S5), MB(S5), NB(S5), NF(S4S5), NS(S5), NT(SNR), NU(SU), ON(S5), PE(S4), QC(S5), SK(S4), YT(S5)","AK(SNR), CA(SNR), CO(S3), CT(SNR), IA(S3), ID(SNR), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S4), ND(S2), NH(SNR), NJ(S1), NY(S4), OH(S2), OR(SNR), PA(SNR), UT(S1), VT(SNR), WA(SNR), WI(SNR), WY(S1S2)"
157301,2-157301,237626,PDAPI0P020,Vascular Plant,Dicots,Conioselinum gmelinii,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Western Hemlock-parsley,Coniosélinum du Pacifique,Conioselinum pacificum,Species,Conioselinum pacificum,Pacific Hemlock-parsley,Coniosélinum du Pacifique,Conioselinum gmelinii,G5,G5,12/28/1993,5/13/2016,N5,N5,2/25/2014,10/26/2017,,,,,,,,,"Grows on ocean bluffs, often in coastal scrub, from n CA to AK, and n Japan.",BC(S5),"CA(SNR), OR(SNR), WA(SNR)"
157344,2-157344,237741,PDCOR01020,Vascular Plant,Dicots,Cornus amomum,Nonstandard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Kartesz (1994) includes Cornus obliqua in Cornus amomum as a subspecies. This record represents a broader concept than FNA (2016) and Weakley (2018), who recognize Cornus obliqua as a distinct species.",Silky Dogwood,,,Species,Cornus amomum,,,,G5,G5,2/29/1984,2/29/1984,N5,N5,4/14/2014,4/14/2014,NSYN,,,,,,,,,"NB(SNR), ON(SNR), QC(SNR)","AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P3), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S5)"
145276,2-145276,198197,PDCOR01021,Vascular Plant,Dicots,Cornus amomum,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Silky Dogwood,,"Cornus amomum ssp. amomum, Cornus amomum var. amomum, Swida amomum",Subspecies,Cornus amomum ssp. amomum,,,"Cornus amomum, Cornus amomum var. amomum, Swida amomum",G5,G5,2/9/2000,2/9/2000,NNA,NNA,10/4/2005,10/4/2005,NRF,,,,,,,,,,"AL(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), IA(SNR), IL(SNR), IN(S1), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)"
136853,2-136853,196725,PDCOR01040,Vascular Plant,Dicots,Cornus canadensis,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Dwarf Dogwood,Quatre-temps,,Species,Cornus canadensis,Bunchberry,Quatre-temps,,G5,G5,9/6/1983,5/16/2016,N5,N5,11/15/1996,9/5/2017,,,,,,,,,,"AB(S5), BC(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SU), ON(S5), PE(S5), QC(S5), SK(S5), YT(S5)","AK(SNR), CA(S2), CO(S3), CT(SNR), IA(S1), ID(SNR), IL(S1), IN(S1), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MT(S4S5), ND(S4), NH(SNR), NJ(S1), NM(S1), NY(S4S5), OH(S1), OR(SNR), PA(SNR), RI(S2), SD(SNR), VA(S1), VT(SNR), WA(SNR), WI(SNR), WV(S2), WY(S2)"
139112,2-139112,236408,PDCOR01022,Vascular Plant,Dicots,Cornus obliqua,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Treated as the species Cornus obliqua, distinct from the species Cornus amomum, in Kartesz (1999), FNA (2016), and Weakley (2015); has also been treated as a subspecies (ssp. obliqua) or a variety (var. schuetzeana) of a more broadly defined Cornus amomum. LEM 23Aug01.",Pale Dogwood,Cornouiller oblique,"Cornus amomum ssp. obliqua, Cornus amomum var. schuetzeana, Swida obliqua",Species,Cornus obliqua,Silky Dogwood,Cornouiller oblique,"Cornus amomum ssp. obliqua, Cornus amomum var. schuetzeana, Swida obliqua",G5,G5,12/30/1999,5/13/2016,N5,N5,8/23/2001,4/12/2016,,,,,,,,,,"NB(S3), ON(S5), QC(S3)","AL(SNR), AR(SNR), CT(SNR), DC(SX), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), ND(SNR), NE(S2S4), NH(SNR), NJ(S1), NY(S2?), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SD(SNR), TN(S2), TV(SNR), VA(S1), VT(SNR), WI(SNR), WV(S4)"
143597,2-143597,236074,PDCOR010C3,Vascular Plant,Dicots,Cornus sericea ssp. occidentalis,Standard,Subspecies,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,Western Dogwood,,"Cornus occidentalis, Cornus sericea var. occidentalis, Cornus stolonifera var. occidentalis",Species,Cornus occidentalis,Western Dogwood,Cornouiller de l'Ouest;  Cornouiller stolonifère occidental,"Cornus sericea ssp. occidentalis, Cornus sericea var. occidentalis, Cornus stolonifera var. occidentalis",G5T4T5,T4,3/7/2003,3/7/2003,NNR,NNR,8/8/1993,,,,,,,,,,"Preferred habitat: moist habitats. Range widespread north and south along west coast of North America, common.","AB(SNR), BC(SNR)","AK(SNR), CA(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), WA(SNR)"
140261,2-140261,236849,PDCOR010C0,Vascular Plant,Dicots,Cornus sericea,Standard,Species,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,Red-osier Dogwood,Cornouiller stolonifère,Cornus stolonifera,Species,Cornus sericea,Red-osier Dogwood,Cornouiller stolonifère,Cornus stolonifera,G5,G5,2/29/1984,5/16/2016,N5,N5,3/5/2012,3/23/2016,NSYN,,,,,,,,<i>Cornus</i> spp. have many characteristics that make them a widely dispersed and successful species in woodland ecosystems of North America. <i>Cornus sericea </i>is also widespread and found in the typical woodland/woodland-riparian habitat.<br>,"AB(S5), BC(S5), LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NT(SNR), NU(SNR), ON(S5), PE(SNR), QC(S5), SK(S5), YT(SNR)","AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SU), IA(S3), ID(SNR), IL(SNR), IN(SNR), KY(S1S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OR(SNR), PA(S5), RI(SNR), SD(SNR), UT(SNR), VA(S1), VT(SNR), WA(SNR), WI(SNR), WV(SNA), WY(S4)"
136118,2-136118,213856,PDCOR010C2,Vascular Plant,Dicots,Cornus sericea ssp. sericea,Standard,Subspecies,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,Red-osier Dogwood,Cornouiller stolonifère,"Cornus sericea, Cornus stolonifera, Cornus stolonifera var. baileyi, Cornus stolonifera var. interior, Cornus stolonifera var. stolonifera, Swida sericea",Species,Cornus sericea,Red-osier Dogwood,Cornouiller stolonifère,"Cornus sericea ssp. sericea, Cornus stolonifera, Cornus stolonifera var. baileyi, Cornus stolonifera var. interior, Cornus stolonifera var. stolonifera, Swida sericea",G5T5,T5,2/9/1988,5/16/2016,N5,N5,3/5/2012,4/12/2016,,,,,,,,,"Many, generally moist habitats; common in cultivation, rare in portions of range.","AB(SNR), BC(SNR), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SH), ON(SNR), PE(S5), QC(SNR), SK(S5), YT(S4)","AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NV(SNR), NY(S5), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNA), WY(SNR)"
