ELEMENT_GLOBAL_ID,GLOBAL_UNIQUE_IDENTIFIER,ELEMENT_NATIONAL_ID,ELEMENT_CODE,CATEGORY,TAX_GROUP,GLOBAL_SCIENTIFIC_NAME,CLASSIFICATION_STATUS,GNAME_LEVEL,CONCEPT_REF_CODE,CONCEPT_REF_FULL,TAX_COM,GLOBAL_ENGL_NAME,GLOB_FR_NAME,GLOBAL_SYNONYMS,CA_NNAME_LEVEL,NATIONAL_SCIENTIFIC_NAME,NATIONAL_ENGL_NAME,NATIONAL_FR_NAME,NATIONAL_SYNONYMS,G_RANK,ROUNDED_G_RANK,G_RANK_CHANGE_DATE,G_RANK_REVIEW_DATE,N_RANK,ROUNDED_N_RANK,N_RANK_CHANGE_DATE,N_RANK_REVIEW_DATE,BCD_STYLE_N_RANK,SARA_STATUS,SARA_DATE,COSEWIC_ID,COSEWIC_STATUS,COSEWIC_DESC,COSEWIC_DATE,INTERP_COSEWIC,INTERP_COSEWIC_DATE,COSEWIC_SUMMARY,COSEWIC_NAME,ENGLISH_COSEWIC_COM_NAME,FRENCH_COSEWIC_COM_NAME,GRANK_REASONS,CURRENT_CA_DISTRIBUTION,CURRENT_US_DISTRIBUTION
152917,2-152917,225216,PDROS0H2L0,Vascular Plant,Dicots,Crataegus irrasa,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Kartesz (1994, 1999) included both C. oakesiana and C. irrasa var. blanchardii in C. irrasa (with no infrataxa recognized). In contrast, Flora of North America Editorial Committee (2014) recognizes C. oakesiana as a distinct species and places C. irrasa var. blanchardii in C. chrysocarpa (as C. chrysocarpa var. blanchardii).",Blanchard's Hawthorn,Aubépine pubérulente,,Species,Crataegus irrasa,Unshorn Hawthorn,Aubépine pubérulente,,G4?,G4,1/29/1997,8/16/2016,NNR,NNR,11/17/2019,11/17/2019,NSYN,,,,,,,,,,,,,,"ON(S4?), QC(S3)","MI(SNR), MN(SNR), NY(SH), OH(SNR), VT(SNR)"
140797,2-140797,946484,PDROS0H2M0,Vascular Plant,Dicots,Crataegus jesupii,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Jesup's Hawthorn,Aubépine de Jesup,,Species,Crataegus jesupii,Jesup Hawthorn,Aubépine de Jesup,,G4G5,G4,2/10/1986,2/10/1986,NU,NU,8/25/2015,12/20/2017,,,,,,,,,,,,,,,ON(SU),"CT(SNR), MI(SNR), NH(SNR), NJ(SNR), NY(SH), OH(SNR), PA(SNR), VT(SH), WI(SNR)"
156311,2-156311,231079,PDROS0H2N0,Vascular Plant,Dicots,Crataegus jonesiae,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Jones' Hawthorn,Aubépine de Jones,,Species,Crataegus jonesiae,Jones' Hawthorn,Aubépine de Jones,,G4G5,G4,11/8/1994,11/8/1994,NU,NU,9/7/2017,9/7/2017,,,,,,,,,,,,,,,"NB(S1), NS(SU), PE(SU)","ME(SNR), MN(SNR), NH(SNR), NY(SNR), RI(SNR), VT(SNR)"
148451,2-148451,201003,PDROS0H2Q0,Vascular Plant,Dicots,Crataegus knieskerniana,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Knieskern's Hawthorn,Aubépine de Knieskern,,Species,Crataegus knieskerniana,Knieskern's Hawthorn,Aubépine de Knieskern,,G3G5Q,G4,12/5/1994,12/5/1994,NU,NU,9/6/2017,9/6/2017,,,,,,,,,,,,,,,QC(SU),NY(SNR)
136321,2-136321,210367,PDROS0H6C0,Vascular Plant,Dicots,Crataegus laevigata,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","An Old World species occasionally escaped from cultivation in the United States (Voss, 1985).",Quick-set Hawthorn,Aubépine épineuse,,Species,Crataegus laevigata,,,,GNR,GNR,11/17/1996,,NNA,NNA,9/14/1995,1/20/2016,NRF,,,,,,,,,,,,,,,"MA(SNR), MI(SNA)"
142471,2-142471,194594,PDROS0H2Y0,Vascular Plant,Dicots,Crataegus lemingtonensis,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA (vol. 9, 2014) includes Crataegus lemingtonensis as a variety in C. chrysocarpa as C. chrysocarpa var. praecox.",Lemington Hawthorn,Aubépine de Lemington,"Crataegus chrysocarpa var. praecox, Crataegus praecox",Species,Crataegus lemingtonensis,Lemington Hawthorn,Aubépine de Lemington,"Crataegus chrysocarpa var. praecox, Crataegus praecox",G4G5Q,G4,12/5/1994,12/5/1994,NU,NU,10/19/2016,10/19/2016,,,,,,,,,,,,,,,QC(SU),"MA(SNR), ME(SNR), NH(SNR), NY(SH), VT(SH)"
154555,2-154555,202230,PDROS0H5V0,Vascular Plant,Dicots,Crataegus lumaria,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Roundleaf Hawthorn,Aubépine ronce,,Species,Crataegus lumaria,Round-leaved Hawthorn,Aubépine ronce,,G3G4,G3,1/30/1997,7/1/1996,N2,N2,12/5/2017,12/5/2017,,,,,,,,,,,,,,"Locally common in extreme southwestern Ontario and also reported from Connecticut, New York, Michigan, and southeastern Wisconsin. Current status in the United States is unknown.","ON(S2), QC(SU)","CT(SNR), MA(SH), MI(SNR), NY(SH), WI(SNR)"
138538,2-138538,220139,PDROS0H350,Vascular Plant,Dicots,Crataegus macrosperma,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Kartesz (1999) includes Crataegus fluviatilis (= C. apiomorpha) in C. macrosperma, while Kartesz (1994) and FNA (vol. 9, 2014) here treat them as distinct.",Big-fruit Hawthorn,Aubépine à lobes aigus,Crataegus macrosperma var. acutiloba,Species,Crataegus macrosperma,Big-fruited Hawthorn,Aubépine à lobes aigus,Crataegus macrosperma var. acutiloba,G5,G5,2/29/1984,6/25/2015,N5,N5,6/25/2015,10/26/2017,,,,,,,,,,,,,,,"NB(S2?), NF(S1), NS(S4), ON(S5), QC(S3)","AR(S1), CT(SNR), DE(SU), GA(SNR), GS(P4), IL(SNR), IN(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SU), NC(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), TN(SNR), VA(S4), VT(SNR), WI(SNR), WV(S4)"
159862,2-159862,223005,PDROS0H160,Vascular Plant,Dicots,Crataegus magniflora,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Michigan treats as Crataegus hillii, following Voss (1985). According to FNA (2014, vol. 9), ""Crataegus magniflora was often identified as C. corusca Sargent before it was recognized that the latter represented a putative interserial hybrid of ser. Coccineae × ser. Molles origin.""",Shining-branch Hawthorn,Aubépine à grandes fleurs,"Crataegus corusca, Crataegus hillii",Species,Crataegus magniflora,Shining-Branch Hawthorn,Aubépine à grandes fleurs,"Crataegus corusca, Crataegus hillii",G3G5,G4,11/8/1994,11/8/1994,N3,N3,6/25/2015,10/14/2017,,,,,,,,,,,,,,,ON(S3),"IL(SNR), MI(SNR), NY(SH), OH(SNR), WI(SNR)"
160192,2-160192,244677,PDROS0H6E0,Vascular Plant,Dicots,Crataegus margarettae,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Name spelled 'margarettae' in most floras. FNA (vol. 9, 2014) recognizes four varieties under Crataegus margarettae (angustifolia, brownii, margarettae, and meiophylla).",Margarett's Hawthorn,Aubépine de Margarett,"Crataegus margaretta, Crataegus margarettiae",Species,Crataegus margarettae,Margarett's Hawthorn,Aubépine de Margarett,"Crataegus margaretta, Crataegus margarettiae",G5?,G5,11/8/1994,11/8/1994,N1,N1,2/29/1984,10/14/2017,,,,,,,,,,,,,,,ON(S1),"IA(S4), IL(SNR), IN(SNR), MD(SNR), MI(SNR), MO(SNR), OH(SNR), PA(SNR), TN(SNR), VA(SU), WI(SNR), WV(SH)"
951376,2-951376,951377,PDROS0H6E1,Vascular Plant,Dicots,Crataegus margarettae var. angustifolia,Provisional,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.",,Narrowleaf Margaret's Hawthorn,Aubépine à feuilles étroites,,Variety,Crataegus margarettae var. angustifolia,Narrow-leaved Margarett's Hawthorn,Aubépine à feuilles étroites,,G5?TNR,TNR,,,N1,N1,5/4/2020,5/4/2020,,,,,,,,,,,,,,,ON(S1),"IN(SNR), MI(SNR)"
951387,2-951387,951388,PDROS0H6E3,Vascular Plant,Dicots,Crataegus margarettae var. margarettae,Provisional,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.",,Margarett's Hawthorn,Aubépine de Margarett,,Variety,Crataegus margarettae var. margarettae,Margarett's Hawthorn,Aubépine de Margarett,,G5?TNR,TNR,,,N1,N1,5/4/2020,5/4/2020,,,,,,,,,,,,,,,ON(S1),"IA(SNR), IL(SNR), IN(SNR), KY(SNR), MI(SNR), MO(SNR), OH(SNR), PA(SNR), VA(SNR), WI(SNR), WV(SNR)"
951405,2-951405,951406,PDROS0HC20,Vascular Plant,Dicots,Crataegus mollis,Provisional,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","FNA (vol. 9, 2014) as presented here includes Crataegus meridionalis (= C. mollis var. meridionalis) and C. viburnifolia (= C. mollis var. viburnifolia) as varieties of C. mollis and recognizes varieties dumetosa, incisifolia, and mollis.",Downy Hawthorn,Aubépine duveteuse,,Species,Crataegus mollis,Downy Hawthorn,Aubépine duveteuse,,G5,G5,8/26/2015,8/26/2015,N4N5,N4,12/5/2017,12/5/2017,,,,,,,,,,,,,,,"ON(S4S5), QC(SNR)","AL(SNR), AR(SNR), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), ND(SNR), NE(SNR), OH(SNR), OK(SNR), SD(SNR), TN(SNR), TX(SNR), WI(SNR)"
951414,2-951414,951415,PDROS0HC22,Vascular Plant,Dicots,Crataegus mollis var. incisifolia,Provisional,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.",,Incised-leaf Downy Hawthorn,Aubépine à feuilles incisées,Crataegus arkansana,Variety,Crataegus mollis var. incisifolia,Incised-leaved Downy Hawthorn,Aubépine à feuilles incisées,Crataegus arkansana,G5TNR,TNR,,,NNR,NNR,,,,,,,,,,,,,,,,,ON(SU),"IL(SNR), MO(SNR), TX(SNR), WI(SNR)"
889700,2-889700,946503,PDROS0H3F1,Vascular Plant,Dicots,Crataegus mollis var. mollis,Provisional,Variety,B12WEA01HQUS,"Weakley, A. S., J. C. Ludwig, and J. F. Townsend. 2012a. Flora of Virginia. Bland Crowder, ed. Foundation of the Flora of Virginia Project Inc., Richmond. Fort Worth: Botanical Research Institute of Texas Press.","Recognized in the Flora of Virginia (Weakley et al. 2012), and apparently broader in concept than Kartesz (1999)'s concept of C. mollis. FNA (2014, vol. 9) includes C. mollis var. sera, C. gravida, C. limaria, C. sera, and C. transmississippiensis in synonymy.",Downy Hawthorn,Aubépine duveteuse,,Variety,Crataegus mollis var. mollis,Downy Hawthorn,Aubépine duveteuse,,G5T5,T5,8/25/2015,8/25/2015,N4N5,N4,12/20/2017,12/20/2017,,,,,,,,,,,,,,,"ON(S4S5), QC(SU)","KY(SNR), VA(S1)"
151531,2-151531,194084,PDROS0H3K0,Vascular Plant,Dicots,Crataegus nitidula,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA (vol. 9, 2014) suggests that Crataegus nitidula is a very rare form of C. suborbiculata, which has narrower leaves (elliptic-rhombic) and small anthers.",Ontario Hawthorn,Aubépine chatoyante,,Species,Crataegus nitidula,Ontario Hawthorn,Aubépine chatoyante,,G1G3Q,G2,8/14/1996,9/16/2016,NH,NH,8/14/1996,12/20/2017,,,,,,,,,,,,,,"Reported from Wisconsin, Michigan, and Pennsylvania in the United States; current status in those states is unknown. One collection was made in 1978 in Ontario, Canada, but that population could not be relocated in 1994-1995.",ON(SH),"MI(SNR), PA(SNR), WI(SNR)"
735839,2-735839,735841,PDROS0H890,Vascular Plant,Dicots,Crataegus okanaganensis,Standard,Species,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.","FNA (vol. 9, 2014) recognizes two varieties (okanaganensis and wellsii) while Kartesz (1999) does not. Phipps (2013) also recognizes a third variety (var. longispina).",Okanagan Valley Hawthorn,Aubépine de l'Okanagan,,Species,Crataegus okanaganensis,Okanagan Hawthorn,Aubépine de l'Okanagan,,G4,G4,1/20/2016,1/20/2016,N4,N4,10/17/2019,10/17/2019,,,,,,,,,,,,,,,BC(S4),"ID(SNR), MT(SNR), WA(SNR)"
938648,2-938648,938649,PDROS0H892,Vascular Plant,Dicots,Crataegus okanaganensis var. okanaganensis,Provisional,Variety,A98PHI01NACA,"Phipps, J.B. and R.J. O’Kennon 1998. Three new species of Crataegus (Rosaceae) from western North America: C. okennonii, C. okanaganensis, and C. phippsii. Sida 18:169–191.",,Okanagan Hawthorn,Aubépine de l'Okanagan,,Variety,Crataegus okanaganensis var. okanaganensis,Okanagan Hawthorn,Aubépine de l'Okanagan,,G4TNR,TNR,,,N3?,N3,8/24/2015,8/24/2015,,,,,,,,,,,,,,,BC(S3?),"ID(SNR), WA(SNR)"
938651,2-938651,938652,PDROS0H893,Vascular Plant,Dicots,Crataegus okanaganensis var. wellsii,Provisional,Variety,A02PHI01HQUS,"Phipps, J. B. and R. J. O'Kennon.  2002.  New taxa of Crataegus (Rosaceae) from the northern Okanagan-southwestern Shuswap diversity center.  SIDA 20(1): 115-144.",,Wells' Hawthorn,Aubépine de Wells,,Variety,Crataegus okanaganensis var. wellsii,Wells' Hawthorn,Aubépine de Wells,,G4TNR,TNR,,,N3N4,N3,8/24/2015,8/24/2015,,,,,,,,,,,,,,,BC(S3S4),WA(SNR)
138943,2-138943,194924,PDROS0H7Y0,Vascular Plant,Dicots,Crataegus okennonii,Standard,Species,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,O'Kennon's Hawthorn,Aubépine de O'Kennon,,Species,Crataegus okennonii,O'Kennon's Hawthorn,Aubépine de O'Kennon,,G2G4,G3,9/30/2002,9/30/2002,N4,N4,11/12/2019,11/12/2019,,,,,,,,,,,,,,,BC(S4),"ID(SNR), MT(SNR), WA(SNR)"
938633,2-938633,938634,PDROS0HB70,Vascular Plant,Dicots,Crataegus orbicularis,Provisional,Species,A02PHI01HQUS,"Phipps, J. B. and R. J. O'Kennon.  2002.  New taxa of Crataegus (Rosaceae) from the northern Okanagan-southwestern Shuswap diversity center.  SIDA 20(1): 115-144.",,Oval Hawthorn,Aubépine orbiculaire,,Species,Crataegus orbicularis,Orbicular-leaved Hawthorn,Aubépine orbiculaire,,G3,G3,11/9/2019,11/9/2019,N3,N3,11/9/2019,11/9/2019,,,,,,,,,,,,,,Endemic to British Columbia. GRANK set to match BC SRANK/Canadian NRANK.,BC(S3),
145144,2-145144,777924,PDROS0H3V0,Vascular Plant,Dicots,Crataegus pennsylvanica,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Pennsylvania Hawthorn,Aubépine de Pennsylvanie,,Species,Crataegus pennsylvanica,Pennsylvania Thorn,Aubépine de Pennsylvanie,,G3,G3,2/26/2001,8/24/2015,NU,NU,12/5/2017,12/5/2017,,,,,,,,,,,,,,,ON(S1S2),"DE(SU), MD(SNR), NJ(S1.1), NY(S1), OH(S1), PA(S2S3), VA(SNR), WV(SNR)"
159037,2-159037,214587,PDROS0H5W0,Vascular Plant,Dicots,Crataegus perjucunda,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Epithet spelled 'perjuncunda' in 1994 Kartesz list, corrected to 'perjucunda' in 1998 list (8/98 draft), conforming with spelling by Ontario CDC, by Flora of Canada, and by Phipps (in letter to Ontario CDC dated 12Feb96). Species is taxonomically questionable, according to Ontario CDC (letter 23Feb94) and according to Phipps (1996 letter). FNA (vol. 9, 2014) describes C. perjucunda as being native to Middlesex County, Ontario, and is a distinctive local species similar to C. cognata but with shorter (2-3 cm) and finer thorns as well as relatively wider leaves (length/width = 1.2).",Middlesex Frosted Hawthorn,Aubépine agréable,Crataegus perjuncunda,Species,Crataegus perjucunda,Middlesex Frosted Hawthorn,Aubépine agréable,Crataegus perjuncunda,G1?,G1,2/29/1996,2/8/2016,N1?,N1,5/5/1998,2/8/2016,,,,,,,,,,,,,,"Known recently from only 2 occurrences in Ontario, Canada. Also reported in 1925 from New York.",ON(S1?),NY(SNR)
135775,2-135775,222060,PDROS0H5X0,Vascular Plant,Dicots,Crataegus persimilis,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Considered a ""stabilized hybrid"" by Phipps (letter to M. Oldham, 12Feb96).",Plumleaf Hawthorn,Aubépine à feuilles de prunier,,Species,Crataegus persimilis,Plum-leaved Hawthorn,Aubépine à feuilles de prunier,,G5?,G5,12/5/1994,12/5/1994,N1,N1,9/19/2016,9/19/2016,,,,,,,,,,,,,,,ON(S1),"KY(SNR), NY(SH), OH(SNR), PA(SNR)"
160367,2-160367,211275,PDROS0H7Z0,Vascular Plant,Dicots,Crataegus phippsii,Standard,Species,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,Phipps' Hawthorn,Aubépine de Phipps,,Species,Crataegus phippsii,Phipps' Hawthorn,Aubépine de Phipps,,G2G3,G2,8/24/2015,8/24/2015,N3N4,N3,11/9/2019,11/9/2019,,,,,,,,,,,,,,,BC(S3S4),"MT(SNR), WA(S1)"
143656,2-143656,222326,PDROS0H120,Vascular Plant,Dicots,Crataegus populnea,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Poplar-like Hawthorn,Aubépine faux-peuplier,Crataegus compta,Species,Crataegus populnea,Poplar-like Hawthorn,Aubépine faux-peuplier,Crataegus compta,G5?,G5,2/29/1996,2/29/1996,N4,N4,8/24/2015,10/26/2017,,,,,,,,,,,,,,,ON(S4),"CT(SNR), MA(SNR), ME(SNR), MI(SNR), NH(SNR), NY(S1?), OH(SNR), PA(SNR), RI(SNR), VT(SNR)"
160061,2-160061,248465,PDROS0H420,Vascular Plant,Dicots,Crataegus prona,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Illinois Hawthorn,,,Species,Crataegus prona,Illinois Hawthorn,Aubépine d'Illinois,,G4G5,G4,11/8/1994,11/8/1994,NU,NU,5/24/2017,5/24/2017,,,,,,,,,,,,,,,ON(SU),"IN(SNR), MI(SNR), NY(SNR), OH(SNR), PA(SNR), WV(SNR)"
951257,2-951257,951258,PDROS0HC50,Vascular Plant,Dicots,Crataegus pruinosa,Standard,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","FNA (vol. 9, 2014) as presented here includes Crataegus dissona (= C. pruinosa var. dissona) and C. leiophylla (= Crataegus pruinosa var. rugosa) as varieties of C. pruinosa and also recognizes varieties magnifolia and virella. Six varieties are recognized in total (dissona, magnifolia, parvula, pruinosa, rugosa, and virella).",Frosted Hawthorn,Aubépine givrée,,Species,Crataegus pruinosa,Frosted Hawthorn,Aubépine givrée,,G5,G5,8/21/2015,8/21/2015,N5,N5,4/27/2016,4/27/2016,,,,,,,,,,,,,,,"ON(S5), QC(SNR)","AR(SNR), CT(SNR), DE(SU), GA(S3S4), IA(SH), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), NC(SNR), NH(SNR), NJ(S4), NY(SNR), OH(SNR), PA(SNR), RI(SNR), TN(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S4)"
1152923,2-1152923,1152940,PDROS0H436,Vascular Plant,Dicots,Crataegus pruinosa var. dissona,Standard,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.",,Northern Hawthorn,Aubépine différente,Crataegus dissona,Variety,Crataegus pruinosa var. dissona,Different Hawthorn,Aubépine différente,Crataegus dissona,G5TNR,TNR,5/27/2020,5/27/2020,N3,N3,11/8/1996,8/20/2015,,,,,,,,,,,,,,"Widespread species, abundant in Ontario, with little information from elsewhere in range.",ON(S3),"CT(SNR), DE(SNR), IL(SNR), KY(SNR), MA(SNR), MD(SNR), MI(SNR), MO(SNR), NH(SNR), NY(SNR), OH(SNR), PA(SNR), VT(SH), WI(SNR)"
721195,2-721195,721196,PDROS0H434,Vascular Plant,Dicots,Crataegus pruinosa var. parvula,Standard,Variety,A80PHI01HQUS,"Phipps, J.B. and M. Muniyamma. 1980. A taxonomic revision of Crataegus (Rosaceae) in Ontario. Canadian Journal of Botany 58:1621-1699.","Kartesz (1999) does not recognize varieties of Crataegus pruinosa, however, Phipps and Muniyamma (1980) do, including C. pruinosa var. parvula.",Small-leaf Frosted Hawthorn,Aubépine à petites feuilles,,Variety,Crataegus pruinosa var. parvula,Small-leaved Frosted Hawthorn,Aubépine à petites feuilles,,G5TNR,TNR,,,N4?,N4,8/3/2015,8/3/2015,,,,,,,,,,,,,,,ON(S4?),"MA(SNR), MI(SNR), NC(SNR), NY(SNR), VA(SNR)"
151654,2-151654,234289,PDROS0H431,Vascular Plant,Dicots,Crataegus pruinosa var. pruinosa,Standard,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.",,Frosted Hawthorn,Aubépine givrée,,Variety,Crataegus pruinosa var. pruinosa,Frosted Hawthorn,Aubépine givrée,,G5T5,T5,2/29/1996,2/29/1996,N4N5,N4,7/15/2015,7/15/2015,,,,,,,,,,,,,,,"ON(S4S5), QC(SNR)","CT(SNR), IA(SNR), IL(SNR), IN(SNR), KS(S2), KY(SNR), MA(SNR), ME(SNR), MI(SNR), MO(SNR), NC(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), TN(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR)"
951338,2-951338,951339,PDROS0HC53,Vascular Plant,Dicots,Crataegus pruinosa var. rugosa,Standard,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","FNA (vol. 9, 2014) includes Crataegus rugosa and Crataegus leiophylla in C. pruinosa var. rugosa.",Broadleaf Frosted Hawthorn,Aubépine à feuilles rugueuses,Crataegus rugosa,Variety,Crataegus pruinosa var. rugosa,Broad-leaved Frosted Hawthorn,Aubépine à feuilles rugueuses,Crataegus rugosa,G5TNR,TNR,,,NNR,NNR,,,,,,,,,,,,,,,,,ON(S4?),"IA(SNR), IL(SNR), IN(SNR), KY(SNR), MI(SNR), MO(SNR), NC(SNR), NY(SNR), OH(SNR), PA(SNR), TN(SNR), WI(SNR)"
951292,2-951292,951301,PDROS0HC52,Vascular Plant,Dicots,Crataegus pruinosa var. virella,Standard,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.",,Greenish Frosted Hawthorn,Aubépine verdâtre,Crataegus virella,Variety,Crataegus pruinosa var. virella,Greenish Frosted Hawthorn,Aubépine verdâtre,Crataegus virella,G5TNR,TNR,8/21/2015,,NNR,NNR,,,,,,,,,,,,,,,,,ON(SU),"AR(SNR), MI(SNR), MO(SNR), NY(SNR), OH(SNR), PA(SNR), WI(SNR)"
1115475,2-1115475,1117246,PDROS0HH20,Vascular Plant,Dicots,Crataegus punctata,Provisional,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","This concept of Crataegus punctata is the strict sense of FNA (2014, vol. 9), excluding C. collina.",Dotted Hawthorn,aubépine ponctuée,,Species,Crataegus punctata,Dotted Hawthorn,aubépine ponctuée,,G5,G5,2/29/1984,8/24/2015,N5,N5,8/8/2002,10/26/2017,,,,,,,,,,,,,,,"NS(SNA), ON(S5), QC(S3S4)","CT(SNR), DE(SU), GS(PNR), IA(S5), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), MI(SNR), MN(SNR), NC(SNR), NH(SNR), NJ(S2), NY(S4), OH(SNR), PA(SNR), RI(SNR), TN(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S4)"
