ELEMENT_GLOBAL_ID,GLOBAL_UNIQUE_IDENTIFIER,ELEMENT_NATIONAL_ID,ELEMENT_CODE,CATEGORY,TAX_GROUP,GLOBAL_SCIENTIFIC_NAME,CLASSIFICATION_STATUS,GNAME_LEVEL,CONCEPT_REF_CODE,CONCEPT_REF_FULL,TAX_COM,GLOBAL_ENGL_NAME,GLOB_FR_NAME,GLOBAL_SYNONYMS,CA_NNAME_LEVEL,NATIONAL_SCIENTIFIC_NAME,NATIONAL_ENGL_NAME,NATIONAL_FR_NAME,NATIONAL_SYNONYMS,G_RANK,ROUNDED_G_RANK,G_RANK_CHANGE_DATE,G_RANK_REVIEW_DATE,N_RANK,ROUNDED_N_RANK,N_RANK_CHANGE_DATE,N_RANK_REVIEW_DATE,BCD_STYLE_N_RANK,SARA_STATUS,SARA_DATE,COSEWIC_ID,COSEWIC_STATUS,COSEWIC_DESC,COSEWIC_DATE,INTERP_COSEWIC,INTERP_COSEWIC_DATE,COSEWIC_SUMMARY,COSEWIC_NAME,ENGLISH_COSEWIC_COM_NAME,FRENCH_COSEWIC_COM_NAME,GRANK_REASONS,CURRENT_CA_DISTRIBUTION,CURRENT_US_DISTRIBUTION
156312,2-156312,231078,PDROS0H1W0,Vascular Plant,Dicots,Crataegus fulleriana,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Fuller's Hawthorn,Aubépine de Fuller,Crataegus coccinea var. fulleriana,Variety,Crataegus coccinea var. fulleriana,Fuller's Hawthorn,Aubépine de Fuller,Crataegus fulleriana,G3G5Q,G4,12/5/1994,12/5/1994,N2?,N2,8/6/2011,1/9/2018,,,,,,,,,,,,,,,ON(S2?),"IL(SNR), MI(SNR), NY(SNR), WI(SNR)"
158041,2-158041,249990,PDROS0H410,Vascular Plant,Dicots,Crataegus pringlei,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA (vol. 9, 2014) includes Crataegus pringlei as a variety of C. coccinea.",Pringle's Hawthorn,Aubépine de Pringle,Crataegus coccinea var. pringlei,Variety,Crataegus coccinea var. pringlei,Pringle's Hawthorn,Aubépine de Pringle,Crataegus pringlei,G5,G5,2/29/1984,7/29/2015,N5,N5,7/29/2015,7/29/2015,,,,,,,,,,,,,,,"ON(S5), QC(SU)","CT(SNR), IL(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SH), NH(SNR), NY(S2?), OH(SNR), PA(SNR), VT(SNR), WI(SNR), WV(SH)"
943851,2-943851,943853,PDROS0HC00,Vascular Plant,Dicots,Crataegus coccinioides,Provisional,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","The FNA (2014, vol. 9) treatment of Crataegus coccinioides includes C. dilatata which was treated as a distinct species by Kartesz (1994 and 1999).",Kansas Hawthorn,Aubépine dilatée,,Species,Crataegus coccinioides,Kansas Hawthorn,Aubépine dilatée,,GNR,GNR,,,N2,N2,9/21/2015,10/26/2017,,,,,,,,,,,,,,,"ON(S2), QC(SNR)","AR(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MO(SNR), NY(SNR), OH(SNR), PA(SNR)"
721404,2-721404,721405,PDROS0H435,Vascular Plant,Dicots,Crataegus cognata,Standard,Species,A80PHI01HQUS,"Phipps, J.B. and M. Muniyamma. 1980. A taxonomic revision of Crataegus (Rosaceae) in Ontario. Canadian Journal of Botany 58:1621-1699.","Kartesz (1999) does not recognize Crataegus pruinosa var. cognata even in synonymy. FNA (vol. 9, 2014) accepts it as a distinct species.",Cognate Hawthorn,Aubépine parente,Crataegus pruinosa var. cognata,Species,Crataegus cognata,Cognate Hawthorn,Aubépine parente,Crataegus pruinosa var. cognata,GNR,GNR,6/25/2015,6/25/2015,NU,NU,9/7/2017,9/7/2017,,,,,,,,,,,,,,,ON(S4S5),"MA(SNR), MI(SNR), MT(SNR), NY(SNR)"
154602,2-154602,242838,PDROS0H110,Vascular Plant,Dicots,Crataegus compacta,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Clustered Hawthorn,Aubépine compacte,,Species,Crataegus compacta,Clustered Hawthorn,Aubépine compacte,,G5,G5,2/29/1984,2/29/1996,N4,N4,8/24/2015,10/17/2017,,,,,,,,,,,,,,"Rank 'G5' recommended by Phipps (in letter to M. Oldham, Ontario CDC).",ON(S4),"KY(SNR), MI(SNR), NJ(SNR), OH(SNR), PA(SNR)"
962313,2-962313,962314,PDROS0HD20,Vascular Plant,Dicots,Crataegus crus-galli,Provisional,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","FNA (vol. 9, 2014) here recognizes two varieties in Crataegus crus-galli: C. crus-galli var. pyracanthifolia (= C. limnophila) and C. crus-galli var. crus-galli. Kartesz's (1994) C. crus-galli would be equivalent to FNA's C. crus-galli var. crus-galli, except that Kartesz broader concept includes C. schizophylla in C. crus-galli, while FNA here treats them as distinct.",Cockspur Hawthorn,Aubépine ergot-de-coq,,Species,Crataegus crus-galli,Cockspur Hawthorn,Aubépine ergot-de-coq,,G5,G5,4/27/2016,4/27/2016,N4,N4,12/5/2017,12/5/2017,,,,,,,,,,,,,,,"NS(SNA), ON(S4), QC(SNR)","AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), WI(SNR), WV(SNR)"
815385,2-815385,834719,PDROS0H172,Vascular Plant,Dicots,Crataegus crus-galli var. crus-galli,Provisional,Variety,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","FNA's (vol. 9, 2014) concept of Crataegus crus-galli var. galli would be equivalent to Kartesz's (1994) C. crus-galli, except that Kartesz's broader concept includes C. schizophylla in C. crus-galli, while FNA here treats them as distinct.",Cockspur Hawthorn,Aubépine ergot-de-coq,,Variety,Crataegus crus-galli var. crus-galli,Cockspur Hawthorn,Aubépine ergot-de-coq,,G5T5,T5,12/22/2009,8/24/2015,N4,N4,12/5/2017,12/5/2017,,,,,,,,,,,,,,,"NS(SNA), ON(S4), QC(S1)",KY(SNR)
925792,2-925792,925793,PDROS0HA60,Vascular Plant,Dicots,Crataegus cupressocollina,Provisional,Species,J07BRI01NACA,"Botanical Research Institute of Texas, Inc. 2007. Journal of the Botanical Research Institute of Texas. 509 Pecan St. Fort Worth, TX. Volume 1, Number 2. Available online: <https://openlibrary.org/books/OL25471881M/Journal_of_the_Botanical_Research_Institute_of_Texas>. Accessed Aug 2014.",,Cypress Hills Hawthorn,Aubépine des Cypress Hills,,Species,Crataegus cupressocollina,Cypress Hills Hawthorn,Aubépine des Cypress Hills,,GNR,GNR,,,N1,N1,9/5/2017,9/5/2017,,,,,,,,,,,,,,,"AB(S1), SK(SNR)",MT(SNR)
138537,2-138537,220143,PDROS0H1G0,Vascular Plant,Dicots,Crataegus dodgei,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA (vol. 9, 2014) does not recognize any subspecific taxa and includes Crataegus flavida in Crataegus dodgei. This matches the Kartesz (1994 and 1999) treatment.",Dodge's Hawthorn,Aubépine de Dodge,,Species,Crataegus dodgei,Dodge's Hawthorn,Aubépine de Dodge,Crataegus flavida,G4,G4,2/29/1996,2/29/1996,N4,N4,3/12/1997,10/4/2017,,,,,,,,,,,,,,"Rank 'G4' recommended by Phipps, letter to M. Oldham, 12Feb96.",ON(S4),"CT(SNR), IL(SNR), IN(SNR), MA(SH), MD(SNR), ME(SNR), MI(SNR), NH(SNR), NJ(S1), NY(SNR), PA(SNR), RI(SNR), VT(SNR), WI(SNR)"
938642,2-938642,938643,PDROS0HB60,Vascular Plant,Dicots,Crataegus enderbyensis,Provisional,Species,A02PHI01HQUS,"Phipps, J. B. and R. J. O'Kennon.  2002.  New taxa of Crataegus (Rosaceae) from the northern Okanagan-southwestern Shuswap diversity center.  SIDA 20(1): 115-144.",,Enderby Hawthorn,Aubépine d'Enderby,,Species,Crataegus enderbyensis,Enderby Hawthorn,Aubépine d'Enderby,,G3,G3,11/9/2019,11/9/2019,N3,N3,11/9/2019,11/9/2019,,,,,,,,,,,,,,Endemic to British Columbia. GRANK/Canadian NRANK set to match BC SRANK.,BC(S3),
133922,2-133922,238206,PDROS0H1R0,Vascular Plant,Dicots,Crataegus flabellata,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","As treated currently (1994) by Kartesz, excludes the widespread Crataegus macrosperma, which by some has been lumped into this otherwise rather rare species.",Fanleaf Hawthorn,Aubépine flabelliforme,,Species,Crataegus flabellata,Fan-leaved Hawthorn,Aubépine flabelliforme,,G4G5,G4,7/3/2015,7/3/2015,N4N5,N4,7/3/2015,10/26/2017,,,,,,,,,,,,,,"Widespread throughout eastern North America; known to be common (S4S5) in Ontario. However, as treated here excludes the abundant species C. macrosperma.","NB(S4S5), NS(SU), ON(S4), QC(S4)","AL(SNR), AR(SNR), CT(SNR), FL(SNR), GA(SNR), IL(SNR), LA(SNR), MA(S2S3), MI(SNR), MN(SNR), MS(SNR), NC(SNR), NH(SNR), NJ(SNR), NY(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S4?), VT(SNR), WV(SH)"
145866,2-145866,204691,PDROS0H7N0,Vascular Plant,Dicots,Crataegus florifera,Provisional,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","Crataegus sylvestris is included in synonymy of the widespread C. succulenta by Kartesz (1994 checklist), but recognized as distinct by the Morton (1990) and by the Ontario Conservation Data Centre and by Phipps (letter to M. Oldham, 12Feb96), where a 'G3' rank suggested. FNA vol. 9 (2014) also recognizes this species as an entity of C. florifera.",Woodland Hawthorn,Aubépine florifère,"Crataegus celsa, Crataegus sylvestris",Species,Crataegus florifera,Woodland Hawthorn,Aubépine florifère,"Crataegus celsa, Crataegus sylvestris",G3?,G3,4/3/1997,4/3/1997,NU,NU,8/24/2015,10/26/2017,,,,,,,,,,,,,,,ON(S3),NY(SNR)
161742,2-161742,201906,PDROS0H090,Vascular Plant,Dicots,Crataegus fluviatilis,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Crataegus fluviatilis (= C. apiomorpha) is recognized as a distinct species by Kartesz (1994) and FNA (vol. 9, 2014). Kartesz (1999) includes in C. macrosperma. Considered a hybrid by Gleason & Cronquist (1991).",Fort Sheridan Hawthorn,Aubépine fluviatile,Crataegus apiomorpha,Species,Crataegus fluviatilis,Fort Sheridan Hawthorn,Aubépine fluviatile,Crataegus apiomorpha,G3G4Q,G3,1/29/1997,1/29/1997,N2,N2,9/7/2017,9/7/2017,,,,,,,,,,,,,,"Rare in Ontario, Canada. Reported from Wisconsin, Michigan, Illinois, Ohio, and Pennsylvania in the United States. Status in the U.S. poorly known.","ON(S2), QC(SU)","CT(SNR), IL(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NY(SNR), RI(SNR), VT(SU), WI(SNR)"
136323,2-136323,210368,PDROS0H5L0,Vascular Plant,Dicots,Crataegus formosa,Provisional,Species,B14FNA09HQUS,"Flora of North America Editorial Committee. 2014b. Flora of North America North of Mexico. Vol. 9. Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York. xxiv + 713 pp.","Kartesz (1994) includes Crataegus formosa in C. pruinosa. Scoggan (1978) includes it in C. flabellata var. flabellata and says it may be a hybrid between C. pruinosa and C. flabellata. FNA (vol. 9, 2014) recognizes it as distinct.",Beautiful Hawthorn,Aubépine jolie,,Species,Crataegus formosa,Beautiful Hawthorn,Aubépine jolie,,G2G3,G2,5/22/1990,8/17/2016,N2?,N2,12/4/2017,12/4/2017,,,,,,,,,,,,,,,ON(S2?),"NY(SNR), OH(SNR), WI(SNR)"
151673,2-151673,237691,PDROS0H4Y0,Vascular Plant,Dicots,Crataegus gaylussacia,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Suksdorf's Hawthorn,Aubépine à fruits de gaylussaquier,"Crataegus douglasii var. suksdorfii, Crataegus suksdorfii",Species,Crataegus gaylussacia,Huckleberry Hawthorn,Aubépine de Suksdorf;  Aubépine à fruits de gaylussaquier,"Crataegus douglasii var. suksdorfii, Crataegus suksdorfii",G4G5,G4,12/5/1994,7/8/2016,N5,N5,11/14/2019,11/14/2019,,,,,,,,,,,,,,,BC(S5),"CA(SNR), MT(SNR), OR(SNR), WA(SNR)"
135429,2-135429,223620,PDROS0H270,Vascular Plant,Dicots,Crataegus holmesiana,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Widespread but questionably distinct, according to Phipps (letter to M.J. Oldham, 12Feb96).",Holmes' Hawthorn,Aubépine de Holmes,,Species,Crataegus holmesiana,Holmes' Hawthorn,Aubépine de Holmes,,G5,G5,2/29/1984,8/17/2016,N4N5,N4,8/25/2015,10/26/2017,,,,,,,,,,,,,,,"ON(S4S5), PE(S1), QC(SU)","CT(SNR), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NJ(S1), NY(S2?), OH(SNR), PA(SNR), RI(SNR), VT(SNR), WI(SNR), WV(SH)"
131892,2-131892,229926,PDROS0H2H0,Vascular Plant,Dicots,Crataegus intricata,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Kartesz (1994 checklist) includes Crataegus foetida here; Phipps (letter to M. Oldham, 1996) had recognized C. foetida separately and recommended a G4 rank for it, calling it ""not uncommon in eastern US"". LEM 29Feb96",Copenhagen Hawthorn,Aubépine intriquée,,Species,Crataegus intricata,Copenhagen Hawthorn,Aubépine intriquée,,G5,G5,2/29/1984,5/29/2015,NH,NH,10/1/2000,9/6/2017,,,,,,,,,,,,,,,ON(SH),"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SU), GA(S4?), IL(SNR), IN(S3), KY(SNR), MA(SNR), MD(SNR), MI(SNR), MO(SNR), NC(SNR), NH(SNR), NJ(S4), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), TN(SNR), VA(S4), VT(SNR), WI(SNR), WV(S4)"
