PRIMARY_ASSOCIATED_CROP_COMMON_NAME,TAXON,GENUS,PGRC,SPECIES,RANK,INFRASPECIFIC,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
Quinoa,Chenopodium watsonii,Chenopodium,Y,Chenopodium watsonii,NA,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Quinoa,Oxybasis rubra,Oxybasis,Y,Oxybasis rubra,NA,NA,N,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
Quinoa,Oxybasis rubra var. humilis,Oxybasis,Y,Oxybasis rubra,var.,humilis,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
Quinoa,Oxybasis rubra var. rubra,Oxybasis,Y,Oxybasis rubra,var.,rubra,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
Ragweed,Ambrosia chamissonis,Ambrosia,Y,Ambrosia chamissonis,NA,NA,Y,N,Y,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rhodiola,Rhodiola rosea,Rhodiola,Y,Rhodiola rosea,NA,NA,Y,N,Y,,Y,,Food,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa acicularis,Rosa,Y,Rosa acicularis,NA,NA,N,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa acicularis subsp. sayi,Rosa,Y,Rosa acicularis,subsp.,sayi,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa arkansana,Rosa,Y,Rosa arkansana,NA,NA,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa blanda,Rosa,Y,Rosa blanda,NA,NA,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa carolina,Rosa,Y,Rosa carolina,NA,NA,N,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa carolina subsp. carolina,Rosa,Y,Rosa carolina,subsp.,carolina,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa carolina subsp. subserrulata,Rosa,Y,Rosa carolina,subsp.,subserrulata,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa gymnocarpa,Rosa,Y,Rosa gymnocarpa,NA,NA,N,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa gymnocarpa var. gymnocarpa,Rosa,Y,Rosa gymnocarpa,var.,gymnocarpa,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa nitida,Rosa,Y,Rosa nitida,NA,NA,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa nutkana,Rosa,Y,Rosa nutkana,NA,NA,N,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa nutkana subsp. macdougalii,Rosa,Y,Rosa nutkana,subsp.,macdougalii,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa nutkana subsp. nutkana,Rosa,Y,Rosa nutkana,subsp.,nutkana,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa palustris,Rosa,Y,Rosa palustris,NA,NA,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa pisocarpa,Rosa,Y,Rosa pisocarpa,NA,NA,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa setigera,Rosa,Y,Rosa setigera,NA,NA,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa virginiana,Rosa,Y,Rosa virginiana,NA,NA,N,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa virginiana subsp. virginiana,Rosa,Y,Rosa virginiana,subsp.,virginiana,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa woodsii,Rosa,Y,Rosa woodsii,NA,NA,N,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa woodsii subsp. ultramontana,Rosa,Y,Rosa woodsii,subsp.,ultramontana,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rose,Rosa woodsii subsp. woodsii,Rosa,Y,Rosa woodsii,subsp.,woodsii,Y,Y,Y,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rosinweed,Silphium integrifolium,Silphium,Y,Silphium integrifolium,NA,NA,N,Y,Y,potential as an oilseed crop (see Reinert 2019),N,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Rosinweed,Silphium integrifolium var. laeve,Silphium,Y,Silphium integrifolium,var.,laeve,Y,Y,Y,potential as an oilseed crop (see Reinert 2019),N,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Rosinweed,Silphium perfoliatum,Silphium,Y,Silphium perfoliatum,NA,NA,N,Y,Y,potential as an oilseed crop (see Reinert 2019),Y,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Rosinweed,Silphium perfoliatum var. perfoliatum,Silphium,Y,Silphium perfoliatum,var.,perfoliatum,Y,Y,Y,potential as an oilseed crop (see Reinert 2019),Y,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Rowan,Sorbus americana,Sorbus,Y,Sorbus americana,NA,NA,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rowan,Sorbus decora,Sorbus,Y,Sorbus decora,NA,NA,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rowan,Sorbus scopulina,Sorbus,Y,Sorbus scopulina,NA,NA,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rowan,Sorbus sitchensis,Sorbus,Y,Sorbus sitchensis,NA,NA,N,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rowan,Sorbus sitchensis var. grayi,Sorbus,Y,Sorbus sitchensis,var.,grayi,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Rowan,Sorbus sitchensis var. sitchensis,Sorbus,Y,Sorbus sitchensis,var.,sitchensis,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sainfoin,Hedysarum americanum,Hedysarum,Y,Hedysarum americanum,NA,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Sainfoin,Hedysarum boreale,Hedysarum,Y,Hedysarum boreale,NA,NA,N,Y,Y,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sainfoin,Hedysarum boreale subsp. boreale,Hedysarum,Y,Hedysarum boreale,subsp.,boreale,Y,Y,Y,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sainfoin,Hedysarum boreale subsp. mackenziei,Hedysarum,Y,Hedysarum boreale,subsp.,mackenziei,Y,Y,Y,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sainfoin,Hedysarum occidentale,Hedysarum,Y,Hedysarum occidentale,NA,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Sainfoin,Hedysarum sulphurescens,Hedysarum,Y,Hedysarum sulphurescens,NA,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Salal berry,Gaultheria hispidula,Gaultheria,Y,Gaultheria hispidula,NA,NA,Y,N,Y,"leaves, leaves as tea",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Salal berry,Gaultheria humifusa,Gaultheria,Y,Gaultheria humifusa,NA,NA,Y,N,Y,"fruit, leaves as tea",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Salal berry,Gaultheria ovatifolia,Gaultheria,Y,Gaultheria ovatifolia,NA,NA,Y,N,Y,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Salal berry,Gaultheria procumbens,Gaultheria,Y,Gaultheria procumbens,NA,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Salal berry,Gaultheria shallon,Gaultheria,Y,Gaultheria shallon,NA,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sanicula,Sanicula marilandica,Sanicula,Y,Sanicula marilandica,NA,NA,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier alnifolia,Amelanchier,Y,Amelanchier alnifolia,NA,NA,N,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier alnifolia var. alnifolia,Amelanchier,Y,Amelanchier alnifolia,var.,alnifolia,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier alnifolia var. cusickii,Amelanchier,Y,Amelanchier alnifolia,var.,cusickii,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier alnifolia var. humptulipensis,Amelanchier,Y,Amelanchier alnifolia,var.,humptulipensis,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,
Saskatoon,Amelanchier alnifolia var. semiintegrifolia,Amelanchier,Y,Amelanchier alnifolia,var.,semiintegrifolia,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier arborea,Amelanchier,Y,Amelanchier arborea,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier bartramiana,Amelanchier,Y,Amelanchier bartramiana,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier canadensis,Amelanchier,Y,Amelanchier canadensis,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier humilis,Amelanchier,Y,Amelanchier humilis,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier interior,Amelanchier,Y,Amelanchier interior,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier intermedia,Amelanchier,Y,Amelanchier intermedia,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier laevis,Amelanchier,Y,Amelanchier laevis,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier pumila,Amelanchier,Y,Amelanchier pumila,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier sanguinea,Amelanchier,Y,Amelanchier sanguinea,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Saskatoon,Amelanchier spicata,Amelanchier,Y,Amelanchier spicata,NA,NA,Y,Y,Y,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides,Honckenya,Y,Honckenya peploides,NA,NA,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides subsp. diffusa,Honckenya,Y,Honckenya peploides,subsp.,diffusa,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides subsp. major,Honckenya,Y,Honckenya peploides,subsp.,major,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides subsp. robusta,Honckenya,Y,Honckenya peploides,subsp.,robusta,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedge,Carex obnupta,Carex,Y,Carex obnupta,NA,NA,Y,N,Y,material for weaving,Y,Materials,,NA,Materials,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedum,Sedum divergens,Sedum,Y,Sedum divergens,NA,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedum,Sedum oreganum,Sedum,Y,Sedum oreganum,NA,NA,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedum,Sedum oreganum subsp. oreganum,Sedum,Y,Sedum oreganum,subsp.,oreganum,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedum,Sedum oreganum subsp. tenue,Sedum,Y,Sedum oreganum,subsp.,tenue,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedum,Sedum spathulifolium,Sedum,Y,Sedum spathulifolium,NA,NA,N,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedum,Sedum spathulifolium var. pruinosum,Sedum,Y,Sedum spathulifolium,var.,pruinosum,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Skunk Cabbage,Lysichiton americanus,Lysichiton,Y,Lysichiton americanus,NA,NA,Y,N,Y,,Y,Food,Ornamentals,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Snowberry,Symphoricarpos albus,Symphoricarpos,Y,Symphoricarpos albus,NA,NA,N,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Snowberry,Symphoricarpos albus var. albus,Symphoricarpos,Y,Symphoricarpos albus,var.,albus,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Snowberry,Symphoricarpos albus var. laevigatus,Symphoricarpos,Y,Symphoricarpos albus,var.,laevigatus,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spiderwort,Tradescantia occidentalis,Tradescantia,Y,Tradescantia occidentalis,NA,NA,N,Y,N,,N,Ornamentals,,NA,Ornamentals,,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2022,,
Spiderwort,Tradescantia occidentalis var. occidentalis,Tradescantia,Y,Tradescantia occidentalis,var.,occidentalis,Y,Y,N,,N,Ornamentals,,NA,Ornamentals,,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2023,,
Spiderwort,Tradescantia ohiensis,Tradescantia,Y,Tradescantia ohiensis,NA,NA,Y,Y,N,,N,Ornamentals,,NA,Ornamentals,,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2021,,
Spiderwort,Tradescantia virginiana,Tradescantia,Y,Tradescantia virginiana,NA,NA,Y,Y,N,,N,Ornamentals,,NA,Ornamentals,,,NA,2,NA,2,,,,,,,Ornamental Features (AG),,,,GRIN-Global 2021,GRIN-Global 2021,
Spinach,Blitum capitatum,Blitum,Y,Blitum capitatum,NA,NA,N,Y,Y,strawberry spinach; greens and fruit,Y,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Spinach,Blitum capitatum subsp. capitatum,Blitum,Y,Blitum capitatum,subsp.,capitatum,Y,Y,Y,strawberry spinach; greens and fruit,Y,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Spinach,Blitum nuttallianum,Blitum,Y,Blitum nuttallianum,NA,NA,Y,Y,N,,Y,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Spring-beauty,Claytonia caroliniana,Claytonia,Y,Claytonia caroliniana,NA,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia lanceolata,Claytonia,Y,Claytonia lanceolata,NA,NA,Y,N,Y,"greens, very important",Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia megarhiza,Claytonia,Y,Claytonia megarhiza,NA,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia perfoliata,Claytonia,Y,Claytonia perfoliata,NA,NA,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia perfoliata subsp. intermontana,Claytonia,Y,Claytonia perfoliata,subsp.,intermontana,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia perfoliata subsp. perfoliata,Claytonia,Y,Claytonia perfoliata,subsp.,perfoliata,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia sibirica,Claytonia,Y,Claytonia sibirica,NA,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia virginica,Claytonia,Y,Claytonia virginica,NA,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spruce,Picea engelmannii,Picea,Y,Picea engelmannii,NA,NA,N,Y,Y,"gum, needles, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Spruce,Picea engelmannii var. engelmannii,Picea,Y,Picea engelmannii,var.,engelmannii,Y,Y,Y,"gum, needles, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Spruce,Picea glauca,Picea,Y,Picea glauca,NA,NA,Y,Y,Y,"gum, tea, sap",Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Spruce,Picea mariana,Picea,Y,Picea mariana,NA,NA,Y,Y,Y,"needles, gum, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Spruce,Picea rubens,Picea,Y,Picea rubens,NA,NA,Y,Y,Y,"needles, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
