"","speciesKey"
"1",2704272
"2",7985821
"3",2704246
"4",5289756
"5",2704179
"6",2704207
"7",2704267
"8",2704276
"9",2704265
"10",4131567
"11",2704249
"12",4270535
"13",2704314
"14",4120228
"15",8952395
"16",2704218
"17",2704234
"18",2704229
"19",4120665
"20",5284745
"21",2705116
"22",2704261
"23",2704178
"24",2704195
"25",4109813
"26",2705081
"27",2705089
"28",2685796
"29",2704232
"30",2704219
"31",2704203
"32",2704306
"33",2704239
"34",2705093
"35",2704309
"36",4115160
"37",2702598
"38",8086756
"39",2705162
"40",2704244
"41",4139474
"42",2704190
"43",8300875
"44",2702631
"45",2704316
"46",2986111
"47",2702646
"48",2702680
"49",2702674
"50",2704177
"51",4128988
"52",2704176
"53",2704268
"54",2704279
"55",4123896
"56",2704184
"57",2705143
"58",2704192
"59",2702552
"60",2704258
"61",4148267
"62",8240850
"63",4132147
"64",2702665
"65",2702595
"66",4128673
"67",2702607
"68",5284802
"69",2986159
"70",3040215
"71",3040184
"72",2986208
"73",2986124
"74",5285551
"75",5285053
"76",5284917
"77",10137876
"78",2879947
"79",2705125
"80",2880539
"81",2986121
"82",2986114
"83",2986127
"84",2704325
"85",2704254
"86",2704323
"87",2704205
"88",2704318
"89",2704215
"90",2704259
"91",2704326
"92",2704300
"93",2704201
"94",2878213
"95",5285533
"96",5284982
"97",2705090
"98",5285067
"99",2986164
"100",2702683
"101",2986097
"102",2878470
"103",2702677
"104",2879260
"105",5284827
"106",2705106
"107",2705868
"108",2705092
"109",2705066
"110",7383986
"111",4123136
"112",2705144
"113",2704226
"114",2704324
"115",3040232
"116",2702601
"117",2705145
"118",2986199
"119",9245912
"120",2705136
"121",2879737
"122",2705141
"123",2705124
"124",4121614
"125",2705121
"126",2704222
"127",2702589
"128",5285750
"129",2704647
"130",5285621
"131",5285183
"132",2705115
"133",2702617
"134",2702560
"135",2986152
"136",2986206
"137",2986140
"138",2880340
"139",2986198
"140",8313153
"141",2879759
"142",8086561
"143",2705104
"144",8113655
"145",4137852
"146",2986132
"147",8299322
"148",2986130
"149",4194845
"150",4136298
"151",5284717
"152",5285635
"153",2986184
"154",8012728
"155",7334996
"156",2986116
"157",2986185
"158",7335084
"159",4194774
"160",2986194
"161",2986172
"162",2986187
"163",2986150
"164",2986175
"165",2986120
"166",2986101
"167",2986211
"168",2986171
"169",2704256
"170",2705126
"171",7655137
"172",3040210
"173",3040196
"174",2702574
"175",4129137
"176",2986125
"177",2704303
"178",2986105
"179",2702544
"180",2702570
"181",2986133
"182",4125949
"183",2704311
"184",2986113
"185",2704317
"186",8984635
"187",2704185
"188",2986112
"189",8412627
"190",8718889
"191",2986192
"192",4124391
"193",2986189
"194",2704174
"195",2704322
"196",2704194
"197",2986193
"198",4128839
"199",2704224
"200",2986180
"201",2704204
"202",4146711
"203",3021605
"204",8847729
"205",2704189
"206",7513840
"207",2705094
"208",4136067
"209",2702547
"210",2705098
"211",8495871
"212",2704220
"213",2705100
"214",2986110
"215",2705099
"216",2704212
"217",2704211
"218",2705158
"219",2986145
"220",2986096
"221",9077915
"222",9156036
"223",4111401
"224",2704214
"225",2702556
"226",2986212
"227",2986122
"228",4123376
"229",2704270
"230",8479661
"231",2986158
"232",4113402
"233",2705108
"234",2704301
"235",7642978
"236",2704191
"237",4125106
"238",4194402
"239",8552032
"240",4153922
"241",8664648
"242",2705142
"243",2704242
"244",2705082
"245",7947023
"246",2986221
"247",9002189
"248",2704183
"249",2704313
"250",2704253
"251",7656528
"252",8083070
"253",2986177
"254",2986144
"255",2986218
"256",9176985
"257",2704327
"258",4116864
"259",4132675
"260",4129669
"261",4113464
"262",4137370
"263",4137228
"264",7603960
"265",4137655
"266",2703238
"267",4154952
"268",4121027
"269",4148783
"270",8443407
"271",2702635
"272",2986118
"273",2704312
"274",2704188
"275",4194288
"276",4110955
"277",4112770
"278",7524741
"279",2986128
"280",2986142
"281",2986204
"282",2986104
