"","speciesKey"
"1",5290148
"2",5290148
"3",5290148
"4",5290148
"5",5290148
"6",5290148
"7",5290148
"8",5290148
"9",5290148
"10",5290148
"11",8202780
"12",8202780
"13",5290257
"14",5290148
"15",5290148
"16",5290148
"17",5290148
"18",5290148
"19",8202780
"20",5290148
"21",5290148
"22",5290148
"23",5290148
"24",5290148
"25",5290148
"26",5290148
"27",5290148
"28",5290148
"29",5290148
"30",5290148
"31",5290148
"32",5290148
"33",5290148
"34",5290148
"35",5290148
"36",5290148
"37",8202780
"38",5290148
"39",8202780
"40",5290257
"41",5290148
"42",5290148
"43",5290148
"44",8202780
"45",8202780
"46",5290148
"47",5290148
"48",5290148
"49",5290148
"50",5290148
"51",5290148
"52",5290148
"53",5290148
"54",5671821
"55",5671821
"56",5671821
"57",5671821
"58",5671821
"59",5671821
"60",8202780
"61",5671821
"62",5671821
"63",5290148
"64",5671821
"65",5671821
"66",5671821
"67",5290148
"68",5290148
"69",5290148
"70",5290148
"71",5290148
"72",5290148
"73",5290148
"74",5290148
"75",5290148
"76",5290148
"77",5290148
"78",5290148
"79",5290148
"80",8202780
"81",5671821
"82",4104489
"83",4104489
"84",4104489
"85",5290148
"86",4104489
"87",4104489
"88",5290148
"89",5290148
"90",5290148
"91",5290148
"92",4104489
"93",5290257
"94",5290148
"95",5290257
"96",8202780
"97",5290148
"98",4104489
"99",4104489
"100",4104489
"101",8202780
"102",4104489
"103",8202780
"104",4104489
"105",4104489
"106",5290148
"107",5290148
"108",5290148
"109",4104489
"110",5290148
"111",4104489
"112",8202780
"113",4104489
"114",4104489
"115",4104489
"116",4104489
"117",4104489
"118",4104489
"119",4104489
"120",4104489
"121",4104489
"122",4104489
"123",5290148
"124",4104489
"125",4104489
"126",5290148
"127",4104489
"128",4104489
"129",4104489
"130",4104489
"131",4104489
"132",4104489
"133",4104489
"134",5290148
"135",8202780
"136",5290148
"137",4104489
"138",4104489
"139",5290148
"140",4104489
"141",4104489
"142",4104489
"143",4104489
"144",4104489
"145",4104489
"146",4104489
"147",4104489
"148",4104489
"149",5290148
"150",4104489
"151",4104489
"152",5290148
"153",4104489
"154",4104489
"155",4104489
"156",4104489
"157",4104489
"158",4104489
"159",4104489
"160",4104489
"161",5290148
"162",4104489
"163",4104489
"164",4104489
"165",4104489
"166",4104489
"167",4104489
"168",4104489
"169",4104489
"170",4104489
"171",4104489
"172",4104489
"173",4104489
"174",4104489
"175",4104489
"176",4104489
"177",4104489
"178",4104489
"179",4104489
"180",4104489
"181",4104489
"182",4104489
"183",4104489
"184",4104489
"185",4104489
"186",4104489
"187",4104489
"188",4104489
"189",4104489
"190",4104489
"191",4104489
"192",4104489
"193",4104489
"194",4104489
"195",4104489
"196",4104489
"197",4104489
"198",4104489
"199",4104489
"200",4104489
"201",4104489
"202",4104489
"203",4104489
"204",4104489
"205",4104489
"206",4104489
"207",4104489
"208",4104489
"209",4104489
"210",5290148
"211",4104489
"212",5290148
"213",5290148
"214",4104489
"215",4104489
"216",4104489
"217",4104489
"218",4104489
