,speciesKey
1,8089775
2,8124466
3,6369195
4,6560040
5,5366869
6,6560039
7,5341297
8,8071829
9,7226077
10,3021106
11,3020783
12,3021170
13,8202030
14,3021605
15,3022516
16,3022522
17,6368838
18,6368839
19,3021850
20,6620105
21,3022668
22,6368645
23,6620109
24,2705699
25,2685796
26,2685825
27,2685797
28,2927376
29,2879737
30,2878470
31,2879260
32,2879266
33,2878213
34,2879947
35,8313153
36,2879759
37,2880539
38,8086561
39,2985688
40,2882984
41,4169545
42,2986121
43,2986111
44,7095864
45,4194303
46,2986193
47,2986127
48,7219280
49,2986152
50,2986132
51,7219278
52,2986164
53,2986140
54,6442305
55,4194874
56,2986112
57,7219279
58,2986194
59,2986150
60,2986116
61,2986124
62,6442192
63,6442173
64,7095862
65,6442319
66,2986130
67,7219277
68,2986159
69,2986172
70,2986172
71,3053366
72,3002193
73,6369405
74,3007165
75,3002372
76,3002372
77,3006171
78,7272185
79,3010532
80,3003240
81,7221085
82,3011247
83,3011070
84,6285947
85,7221074
86,3004297
87,3008580
88,7271590
89,3004638
90,9382645
91,8819236
92,7272250
93,3004072
94,3006815
95,7272229
96,2990699
97,2998528
98,7769228
99,8235931
100,2992051
