"","speciesKey"
"1",5341411
"2",5361886
"3",2705162
"4",4148267
"5",2705144
"6",2702595
"7",3188924
"8",2702544
"9",8994150
"10",3188916
"11",3189369
"12",3188930
"13",3188816
"14",7777960
"15",2705104
"16",2702574
"17",2702570
"18",7744278
"19",8344892
"20",3188809
"21",7732613
"22",6560101
"23",3188945
"24",4926467
"25",4154952
"26",8515467
"27",2882940
"28",3666245
"29",3188973
"30",3189038
"31",3189023
"32",7617869
"33",7606331
"34",3188872
"35",7583226
"36",9250411
"37",5361889
"38",4930393
