scientificName,kingdom
Rosa carolina subsp. subserrulata,plantae
Rubus arcticus subsp. arcticus,plantae
Salix discolor,plantae
Salix nigra,plantae
Salix pellita,plantae
Schizachyrium scoparium subsp. scoparium,plantae
Sedum oreganum subsp. tenue,plantae
Silphium integrifolium var. laeve,plantae
Silphium perfoliatum var. perfoliatum,plantae
Tradescantia occidentalis,plantae
Tradescantia occidentalis var. occidentalis,plantae
Tradescantia ohiensis,plantae
Trifolium dichotomum,plantae
Urtica dioica subsp. dioica,plantae
Viburnum cassinoides,plantae
Viburnum lantanoides,plantae
Vicia caroliniana,plantae
