occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Potentilla anserina subsp. groenlandica","Potentilla anserina subsp. groenlandica Tratt.","6560040","EXACT","98","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Argentina","Argentina anserina","Potentilla anserina groenlandica","Tratt."
,"Pseudoroegneria spicata","Pseudoroegneria spicata (Pursh) Á.Löve","2705699","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Elymus","Elymus spicatus","Pseudoroegneria spicata","Á.Löve (Pursh)"
,"Ptelea trifoliata","Ptelea trifoliata L.","3190411","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Ptelea","Ptelea trifoliata","Ptelea trifoliata","L."
,"Ptelea trifoliata subsp. trifoliata","Ptelea trifoliata subsp. trifoliata","7221281","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Ptelea","Ptelea trifoliata","Ptelea trifoliata trifoliata","Linnaeus"
,"Rhododendron columbianum","Rhododendron columbianum (Piper) Harmaja","4165978","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","Rhododendron columbianum","Rhododendron columbianum","Harmaja (Piper)"
,"Rhus aromatica","Rhus aromatica Aiton","3190558","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus aromatica","Rhus aromatica","Aiton"
,"Rhus aromatica var. aromatica","Rhus aromatica var. aromatica","7221285","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus aromatica","Rhus aromatica aromatica","Aiton"
,"Rhus copallinum","Rhus copallina L.","3190557","EDITED","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus copallina","Rhus copallina","L."
,"Rhus copallinum var. copallinum","Rhus copallinum var. copallinum","7095931","EXACT","99","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus copallina","Rhus copallinum copallinum","Linnaeus"
,"Rhus glabra","Rhus glabra L.","3190544","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus glabra","Rhus glabra","L."
,"Rhus typhina","Rhus typhina L.","3190538","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus typhina","Rhus typhina","L."
,"Rosa carolina subsp. carolina","Rosa carolina subsp. carolina","7272185","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","Rosa carolina","Rosa carolina carolina","Linnaeus"
,"Rosa carolina subsp. subserrulata","Rosa carolina subsp. subserrulata (Rydb.) W.H.Lewis","3010532","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","Rosa carolina","Rosa carolina subserrulata","W.H.Lewis (Rydb.)"
,"Rubus arcticus subsp. arcticus","Rubus arcticus subsp. arcticus","7258955","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus arcticus","Rubus arcticus arcticus","Linnaeus"
,"Salix discolor","Salix discolor Muhl.","5372785","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix discolor","Salix discolor","Muhl."
,"Salix nigra","Salix nigra Marshall","5372854","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix nigra","Salix nigra","Marshall"
,"Salix pellita","Salix pellita Andersson","8163274","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix pellita","Salix pellita","Andersson"
,"Schizachyrium scoparium subsp. scoparium","Schizachyrium scoparium subsp. scoparium","6448990","EXACT","99","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Schizachyrium","Schizachyrium scoparium","Schizachyrium scoparium scoparium",
,"Sedum oreganum subsp. tenue","Sedum oreganum subsp. tenue R.T.Clausen","6441798","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Sedum","Sedum oreganum","Sedum oreganum tenue","R.T.Clausen"
,"Silphium integrifolium var. laeve","Silphium integrifolium var. laeve Torr. & A.Gray","4208355","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Silphium","Silphium integrifolium","Silphium integrifolium laeve","Torr. & A.Gray"
,"Silphium perfoliatum var. perfoliatum","Silphium perfoliatum var. perfoliatum","7223120","EXACT","99","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Silphium","Silphium perfoliatum","Silphium perfoliatum perfoliatum","Linnaeus"
,"Tradescantia occidentalis","Tradescantia occidentalis (Britton) Smyth","2765322","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Tradescantia","Tradescantia occidentalis","Tradescantia occidentalis","Smyth (Britton)"
,"Tradescantia occidentalis var. occidentalis","Tradescantia occidentalis var. occidentalis","2765326","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Tradescantia","Tradescantia occidentalis","Tradescantia occidentalis occidentalis","Smyth (Britton)"
,"Tradescantia ohiensis","Tradescantia ohiensis Raf.","2765175","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Tradescantia","Tradescantia ohiensis","Tradescantia ohiensis","Raf."
,"Trifolium dichotomum","Trifolium dichotomum Hook. & Arn.","5359503","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium dichotomum","Trifolium dichotomum","Hook. & Arn."
,"Urtica dioica subsp. dioica","Urtica dioica subsp. dioica","7221272","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica dioica","Urtica dioica dioica","L."
,"Viburnum cassinoides","Viburnum cassinoides L.","6369862","EDITED","119","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","Viburnum nudum","Viburnum cassinoides",
,"Viburnum lantanoides","Viburnum lantanoides Michx.","2888601","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","Viburnum lantanoides","Viburnum lantanoides","Michx."
,"Vicia caroliniana","Vicia caroliniana Walter","2975000","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia","Vicia caroliniana","Vicia caroliniana","Walter"
