"","speciesKey"
"1",2992071
"2",2997679
"3",2975204
"4",2991466
"5",5359025
"6",2687182
"7",2882960
"8",2882908
"9",6369819
"10",3856771
"11",2888608
"12",2684178
"13",5361872
"14",2994912
"15",2888627
"16",7777960
"17",2882828
"18",2882913
"19",2888584
"20",2882847
"21",2992543
"22",2888586
"23",2882849
"24",2888605
"25",2888607
"26",8377235
"27",2995149
"28",2882868
"29",2882895
"30",2975000
"31",8073364
"32",2992051
"33",2989228
"34",2998290
"35",2882880
"36",5372427
"37",2993094
"38",3189866
"39",2687201
"40",2687210
"41",3189864
"42",2991179
"43",5361867
"44",3152042
"45",2685313
"46",2888723
"47",8110785
"48",2989557
"49",2882835
"50",2882940
"51",2888613
"52",3189837
"53",2991369
"54",3189883
"55",2888606
"56",3189848
"57",2882843
"58",2685361
"59",2684171
"60",2993761
"61",2888726
"62",2996525
"63",2992760
"64",8383191
"65",2888590
"66",2888594
"67",2993662
"68",2882965
"69",2990801
"70",2882824
"71",2990545
"72",2882910
"73",2888596
"74",2882861
"75",2882937
"76",2997417
"77",2882911
"78",2882884
"79",2995779
"80",2882833
"81",3189854
"82",2888622
"83",4925723
"84",6369733
"85",4166865
"86",9052838
"87",8809354
"88",2882838
"89",2888601
"90",3189836
"91",2882894
"92",8235931
"93",7936270
"94",2993074
"95",5359034
"96",3189884
"97",2888615
"98",2993308
"99",2990646
"100",2995606
"101",2995508
"102",8185462
"103",2990971
"104",5284570
"105",2685524
"106",6369670
"107",4170496
"108",2990711
"109",3856469
"110",3856659
"111",6369599
"112",7272467
"113",3855535
"114",4930155
"115",7272452
"116",3856739
"117",7490831
"118",2996293
"119",2888626
"120",3856900
"121",5284555
"122",3856990
"123",3857539
"124",2888597
"125",7272669
"126",7272463
"127",7328598
"128",2888625
"129",2994134
"130",2994677
"131",2989222
"132",2989105
"133",2888585
"134",3857151
"135",3857337
"136",7328793
"137",2882961
"138",3855686
"139",4173986
"140",7272728
"141",2991314
"142",2888620
"143",3189835
"144",2999089
"145",8931326
"146",5358858
"147",8344892
"148",2882844
"149",4167742
"150",2882875
"151",5358789
"152",2990287
"153",2992494
"154",2995301
"155",2996841
"156",7769228
"157",2992597
"158",8005388
"159",2993414
"160",2993721
"161",2993031
"162",2999820
"163",2888588
"164",8396842
"165",3857225
"166",2994521
"167",2994784
"168",3856706
"169",2989061
"170",2992616
"171",2882858
"172",5358726
"173",3000069
"174",2998389
"175",2990405
"176",2998629
"177",2989749
"178",2991408
"179",8941701
"180",2997212
"181",2995209
"182",5361875
"183",2997851
"184",3000174
"185",2990699
"186",2996067
"187",9606151
"188",2991256
"189",2998655
"190",2991373
"191",2991959
"192",2988679
"193",2988890
"194",4172049
"195",5359148
"196",2990412
"197",5359492
"198",2996929
"199",2998283
"200",2997456
"201",7887327
"202",2882837
"203",2992911
"204",4930165
"205",2989717
"206",2989820
"207",8095999
"208",2999961
"209",3000188
"210",2991431
"211",2994687
"212",2999259
"213",2989393
"214",2993570
"215",2882934
"216",2993398
"217",8420369
"218",7327996
"219",2991575
"220",2988709
"221",3855499
"222",4172056
"223",2888604
"224",2995314
"225",9088987
"226",3856130
"227",5359007
"228",8390790
"229",2995451
"230",2999587
"231",8038781
"232",2882962
"233",2888599
"234",2993378
"235",4173660
"236",2994718
"237",2996665
"238",8147903
"239",2990258
"240",5359517
"241",2988770
"242",2882935
"243",2888582
"244",8111807
"245",4171021
"246",2988642
"247",8289268
"248",2998263
"249",8826992
"250",8053731
"251",8169043
"252",2994543
"253",2991485
"254",2991817
"255",2998528
"256",2993264
"257",2882832
"258",2888618
"259",2989397
"260",8454937
"261",4983775
"262",4940636
"263",4983673
"264",2882863
"265",8516562
"266",2990385
"267",2992089
"268",7808848
"269",2998593
"270",2988747
"271",2990379
"272",2989537
"273",2997463
"274",2994585
"275",2996680
"276",2882855
"277",2888598
"278",2882931
"279",8019170
"280",2999165
"281",2990630
"282",2992018
"283",2992148
"284",2946898
"285",2992083
"286",8854824
"287",8831763
"288",8755900
"289",8943946
"290",8881633
"291",8898558
"292",8763699
"293",8884363
"294",8901775
"295",9081476
"296",9212606
"297",9057172
"298",8738552
"299",9093002
"300",9048461
"301",8234521
"302",2997460
"303",2991715
"304",2997648
"305",2991924
"306",2991019
"307",2996246
"308",2993488
"309",2992793
"310",3856046
"311",8108495
"312",2994639
"313",2989260
"314",2994042
"315",2990401
"316",2990896
"317",2991313
"318",2990374
"319",2996867
"320",2996922
